句子,标签
找过小姐，有时候半个月一次，有时候20天一次,B_cause I_cause I_cause I_cause O O O O B_frequency I_frequency I_frequency I_frequency I_frequency O O O O B_frequency I_frequency I_frequency I_frequency I_frequency
药片可以吗,O O O O O
如果是很久没做第一次快也不为过吧,O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O
喝酒熬夜有,B_cause I_cause B_cause I_cause O
12分钟就射了，怎么处理？,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O
出现这样的情况多长时间了？就那个圈圈里,O O O O O O O O O O O O O O O O O O O
早泄是不是肾亏,B_symptom I_symptom O O O B_symptom I_symptom
稍等如果确实出现异常问题需要及时控制炎症避免进一步加重但治疗以药物为主也相对比较简单查明病因后治疗恢复不是问题,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
请问您是男性还是女性，今年多大年龄了男性，42岁！,O O O O O O O O O O O O O O O O O O O O O B_age I_age I_age O
当时怎么没治疗呢？,O O O O O O O O O
医生，我是手淫多了吗，还是跟我熬夜有关,O O O O O B_cause I_cause O O O O O O O O B_cause I_cause O O
嗯，在出现这种症状之前是否有受过外伤或者过于剧烈的性生活,O O O O O O O O O O O O O O B_cause I_cause I_cause I_cause O O O O B_cause I_cause I_cause I_cause I_cause I_cause
反正以前都正常，而且时间挺长的恩，那咱们这个情况的出现坑肯定是会造成性生活不和谐的，咱们目前是打算改善下这个问题吗？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
要不这样,O O O O
就是有手淫现像，包皮不长是从性生活开始就这样，还是近期才这样的,O O O B_cause I_cause O O O B_part I_part O O O O O O O O O O O O O O O O O O O O O
先生目前的症状来看考虑是前列腺炎，或是附睾炎导致，具体原因需要做进一步检查才可以确诊，张先生目前是在绵阳吗？,O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_address I_address O O
主要是有的说不正常有的说正常,O O O O O O O O O O O O O O
我已经通过智源肽做了一个小时的精囊疏通和80分钟直肠,O O O O O B_othertreatment I_othertreatment I_othertreatment O O B_datetime I_datetime I_datetime I_datetime O B_othertreatment I_othertreatment I_othertreatment I_othertreatment O B_datetime I_datetime I_datetime I_datetime B_part I_part
这两天不行，要过一段时间,B_datetime I_datetime I_datetime O O O O O O O O O
好的我先考虑一下谢谢医生,O O O O O O O O O O O O
咱们网站上有很多主治大夫,O O O O O O O O O O O O
其实挺害羞的一直没好意思去看,O O B_emotion I_emotion I_emotion O O O B_emotion I_emotion I_emotion I_emotion O O
一直也没有检查一下是什么病因病灶导致的吗？去医院查了一下尿,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
真的不贵？,O O O O O
没有下降，但是心有余而力不足,O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
我看有没优惠现在嗯，先不要着急，我先了解清楚情况,O O O O O O O O O O O O O O O O O O O O O O O O
嗯，上个月是几号来的月经呢,O O B_datetime I_datetime I_datetime O O O O O B_physiology I_physiology O
那你这是疲软的情况,O O O O B_symptom I_symptom O O O
13281565556尿检，血检，前列腺方面检查，肾功等等，具体结合面诊后的实际情况,O O O O O O O O O O O B_check I_check O B_check I_check O B_check I_check I_check I_check I_check I_check I_check O B_check I_check O O O O O O O O O O O O O O O
最近我龟头的官沟上有好多红包颗粒是怎么回事,O O O B_part I_part I_part I_part I_part O O O O B_symptom I_symptom I_symptom I_symptom O O O O O
嗯，这个情况出现多久了呢3年,O O O O O O O O O O O O B_datetime I_datetime
您这种情况多见于睾丸炎、附睾炎或睾丸鞘膜积液的症状感觉以前都没有,O O O O O O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O
毕竟你的情况是属于早期表现,O O O O O O O O O B_datetime I_datetime O O
咱们目前在性生活的话，是否感觉龟头敏感控制不住射精呢？对，就是这个情况，每次射精特别快,O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom
怎样解决手淫的习惯,O O O O B_cause I_cause O O O
我吃点六味地黄丸行不,O O O B_medicine I_medicine I_medicine I_medicine I_medicine O O
您知道自己的微信号吗，我可以加你，或者是电话号,O O O O O O O O O O O O O O O O O O O O O O O
米大，也没感觉，,B_symptom I_symptom O O O O O O
不能排除的咱们目前是有什么主要问题呢？,O O O O O O O O O O O O O O O O O O O
夜间小便多你好，你多大年龄了，男性，还是女性,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O
嗯，做这个检查大概需要多少费用？,O O O O O O O O O O O O O O O O
明后几天，上午都行嗯，那先帮您安排到明天上午吧，您大概几点能赶到医院这边呢？,O O O O O B_datetime I_datetime O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O O O O O O
我们在东三环这里,O O O B_address I_address I_address O O
怀孩子验血能检查出来吗？,O O O B_check I_check O O O O O O O
治疗这个，，，复杂，，吗？,O O O O O O O O O O O O O
绵阳忘记哪个医院了那检查报告还有吗,B_address I_address O O O O O O O O O O O O O O O
就是不太有想法,O O O O O O O
输左氧氟沙星可以吗,O B_medicine I_medicine I_medicine I_medicine I_medicine O O O
有感染，只不过是洗澡时不小心碰破了以后我就自己在那搞破,O O O O O O O O O O O O O O O O O O O O O O O O O O O
18281526265真实有效？,O O O O O O O O O O O O O O O O
肾虚是不是累，疲劳，没精神，沉重。,B_symptom I_symptom O O O B_symptom O B_symptom I_symptom O B_symptom I_symptom I_symptom O B_symptom I_symptom O
哦，早上会特别硬时硬时软的时候不多是吧,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom O O O O O O O
借助药片能比较坚挺，但不能持久，就一，两分钟完事,O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O B_datetime I_datetime I_datetime I_datetime I_datetime O O
你是有什么症状想看呢？,O O O O O O O O O O O
开车近可是我是外地车只能坐地铁,O O O O O O O O O O O O O O O
在不做包皮的情况下，怎么避免呢,O O O B_surgery I_surgery O O O O O O O O O O
这个情况有多长时间了呢？就是一个月,O O O O O O O O O O O O O O B_datetime I_datetime I_datetime
包皮术后肯定是消炎的,B_surgery I_surgery I_surgery O O O O O O O
这样吧，你平时使用QQ还是微信，我添加你，把一些针对你目前情况治疗方式和注意事项给你说下，对你肯定有帮助的微信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你才24就有这么严重早泄,O O B_age I_age O O O O B_symptom I_symptom I_symptom I_symptom
总是感觉心理问题。,O O O O O O O O O
还有就是担心价格问题了,O O O O B_emotion I_emotion O O O O O
不去医院也可以治疗？？？,O O O O O O O O O O O O
啊啊，，和牙膏没关系是吗,O O O O O O O O O O O O
他工作忙，今天刚走，下周能回来,O O O O O B_datetime I_datetime O O O B_datetime I_datetime O O O
1分钟,B_datetime I_datetime I_datetime
勃起障碍是什么原因引起的…,B_symptom I_symptom I_symptom I_symptom O O O O O O O O O
我在新百广场南，坐哪路公交车到蓝天中医院,O O B_address I_address I_address I_address I_address O O O O O O O O O O O O O
说说怎样治疗,O O O O O O
费用得多少啊我们县城医院能看嘛,O O O O O O O O O O O O O O O
您能告诉我这是梅毒吗,O O O O O O O B_symptom I_symptom O
这样是肾虚吗女性46,O O O B_symptom I_symptom O O O B_age I_age
没有腰酸乏力，阴囊潮湿、下腹部、肛门处坠胀和睾丸部酸痛等症状有吗,O O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_part I_part I_part O B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
您先不要着急，我先大概了解一下您的基本情况，以便给您更好的建议。昨晚有点痒,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime B_symptom I_symptom I_symptom
我需要用什么药治疗吗？,O O O O O O O O O O O
想咨询一下早泄现象,O O O O O B_symptom I_symptom O O
最近没有白带正常吗,O O O O B_fluid I_fluid O O O
:检查几个环结？要多久,O O O O O O O O O O O
嗯那您提示一下就诊姓名和联系电话我这边帮您预约申请你们医院具体位置？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
这样吧，你平时使用微信吗。我添加你，给你详细的说下阴虱的治疗方式和注意事项，对你一定有帮助的还在关注对话吗？,O O O O O O O O O O O O O O O O O O O O O O O O O B_virus I_virus O O O O O O O O O O O O O O O O O O O O O O O O O O O
通过您给我的描述现在出现排尿困难帮友局部胀痛。,O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom O
这些检查，三四百可以下来吧,O O O O O B_price I_price I_price O O O O O
那喝黑枸杞泡水怎么感觉尿多,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom
好的我再去检查一下,O O O O O O O O O
东二环什么地方,B_address I_address I_address O O O O
你确定时间了提前给我联系,O O O O O O O O O O O O
在一个思想压力也有点大，脑子很爱想些乱七八糟的事，,O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O
恩好的，女士您贵姓呢刘,O O O O O O O O O O B_name
是什么影响了？,O O O O O O O
是的直接影响就是精子质量降低活动度低下以及精子数量等异常这样你微信或QQ多少我加上你,O O O O O O O O B_fluid I_fluid O O O O O O O O O O O B_fluid I_fluid O O O O O O O O O O O O O O O O O O O
你可做这个检查看看您好，我是★石家庄蓝天中医院★胡医生，微信/电话18931150465，有什么可以帮到您的，请讲…,O O O O O O O O O O O O O O O O O O O O O O O O B_doctor I_doctor I_doctor O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
因为不确定这种是不是存在问题，我需要做什么样的基本检查呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
恩不愿意跟您沟通这个问题吗最严重会怎么样呢？会不会身上挂尿袋子呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_tool I_tool I_tool O O
不休息都可以？,O O O O O O O
左乳头周围瘙痒怎么回事,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
我这边给你申请一个免费的诊号，咱们过来就可以不用花钱挂号了，凭借预约诊号就可以直接就诊了您好，还在关注对话吗？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
术后消炎在咱们这俩三天就可以了。,O O O O O O O O B_datetime I_datetime I_datetime O O O O O
做完阴茎曾长手术上面有疙瘩怎么回事,O O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O O B_symptom I_symptom I_symptom O O O O
你是aa哪个城市的呢,O O B_address I_address O O O O O O
还在关注？刚上了厕所又想上厕所感觉尿不完一样？,O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O
你好。请问。最近咋还不勃起了呢。吃啥药呀,O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O O O
这个有可能是什么原因造成的呢,O O O O O O O O O O O O O O
可以先检查男方？我熬夜喝酒多,O O O O O O O O O B_cause I_cause B_cause I_cause I_cause
这是属于原发性的早泄了，提示自身存在诱发病因，而你这个年纪就早泄，这是有过早的现象,O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom O O O O O O O O O
36岁，第一次,B_age I_age I_age O O O O
怎么可以保守治疗,O O O O O O O O
最近几天窝尿的时候有点疼痛的感觉，也会无法控制的溢出一些液体，这是怎么回事呢？很多原因都会引起类似情况的,O O O O O O O O O O O B_symptom I_symptom O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O
是不是她太松弛,O O O O B_symptom I_symptom I_symptom
可以恩，那还是比较不错的。,O O O O O O O O O O O O O
大夫你觉得我吃啥药,O O O O O O O O O
早泄怎么治疗，除了割皮,B_symptom I_symptom O O O O O O O B_surgery I_surgery
不行，偶尔过一两次也力不从心，时间短,O O O O O O B_frequency I_frequency I_frequency O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom
喝药行吗？,O O O O O
小便后有种想遗精的感觉，那属于滴白吗？,B_physiology I_physiology O O O O B_physiology I_physiology O O O O O O O B_symptom I_symptom O O
恩，那这个情况有带孩子到医院看过吗？看过的，查尿又没什么问题,O O O O O O O O O O O O O O O O O O O O O O B_check I_check O O O O O O
嗯我先了解下您的情况稍后咱们详细分析下情况请问您多大年龄，症状出现多久了？才发现,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
那大概需要多少钱呀？,O O O O O O O O O O
阴茎背神经切除术，，需要多少费用？,B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O O O O O O O O O
那我需要怎么办,O O O O O O O
我就先问问,O O O O O
疱疹是用中药治疗的,B_symptom I_symptom O O O O O O O
我在西站這邊，怎么去你們醫院,O O B_address I_address O O O O O O O O O O
哦，那我在等几天吧，如果还不掉，我就过来看一下每个人的体质不同，线体脱落的时间也是不一样的，要是有什么情况了就直接来医院就可以了，好吧,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_tool I_tool O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你好潜伏性梅毒几天可以查到,O O O O O B_symptom I_symptom O O O O O O
何感？,O O O
我在网上查了说根治不好的话不能生孩子，我今年30还没生孩子很担心,O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O B_age I_age B_symptom I_symptom I_symptom I_symptom I_symptom O B_emotion I_emotion
最近今天出现你有没有去医院看过医生？没有,O O O O O O O O O O O O O O O O O O O O
等治愈后我还得做个包皮环切手术。,O O O O O O O O O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O
女方没反应用吃药吗？,O O B_symptom I_symptom I_symptom O O O O O
尿道口里面发红，撒尿时疼痛咋回事,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O O O
你好，还在关注对话吗/?你好,O O O O O O O O O O O O O O
厉害吗用治疗不,O O O O O O O
你们做手术有分区别吗？,O O O O O O O O O O O
如何提高勃起硬度,O O O O B_physiology I_physiology O O
那这面积大概有多大,O O O O O O O O O
24岁今天才有,B_age I_age I_age B_datetime I_datetime O O
好的，你电话多少呢，，也好帮你提交上就诊，，这样你明天当面了解后再决定是否当天安排手术,O O O O O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime O O O O O O O O O O O O O O O O
就是药物治疗要2500,O O O O O O O B_price I_price I_price I_price
我先简单了解一下你的情况吧？,O O O O O O O O O O O O O O
下次检查如果没感染的话，是不是抗体无端端就转阴性了呢,O O O O O O O O O O O O O O O O O O O O O O O O O O
有，已经很长时间了腰酸乏力，阴囊潮湿、下腹部、肛门处坠胀和睾丸部酸痛等症状有吗,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_part I_part I_part O B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
回头上有红点，痒痒的,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom
我看一下具体症状,O O O O O O O O
睾丸做彩超检查,B_part I_part O B_check I_check I_check I_check
有的生殖有化脓,O O B_symptom I_symptom I_symptom I_symptom I_symptom
我尴尬啊,O B_emotion I_emotion O
平时不动它的话和平常一样没感觉,O O O O O O O O O O O O O O O
左下腹隐痛，老吐酸水，带的心口有烧灼痛是什么原因,B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
看这个病要花很多钱,O O O O O O O O O
我是不是需要先做个B超呀,O O O O O O O B_check I_check I_check I_check O
我老公阴茎弯曲可以治疗吗,O O O B_symptom I_symptom I_symptom I_symptom O O O O O
这是什么原因女士的尿道和阴道是相邻的，如果有感染阴道炎症，是会导致细菌上行感染到尿道引起尿频尿急，严重的话会造成尿失禁的情况,O O O O O O O O O B_part I_part O B_part I_part O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O B_part I_part O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O B_symptom I_symptom I_symptom O O O
请讲我家宝宝睾丸一个大一个小怎么回事,O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
好，那我再去检查一下吧！谢谢医生,O O O O O O O O O O O O O O O O
这样吧，您平时使用QQ还是微信呢？我添加你，给你说一下咱们医院的治疗方式和注意事项，对你一定有帮助效果怎么样啊？？？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
好，我就来，我太信任他了，难怪他老是怀疑我，原来是做贼人防贼这是要经过检查才能确诊的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
他不给我说我想问问你们很多疾病症状都差不多,O O O O O O O O O O O O O O O O O O O O O
早泄手术价格是多钱,B_surgery I_surgery I_surgery I_surgery O O O O O
这里可以治疗早泄吗,O O O O O O B_symptom I_symptom O
你建议我一月可以过几次,O O O O B_datetime I_datetime O O O O O
现在在消肿,O O O O O
座地铁到什么地方下,O O O O O O O O O
