sentence,entity,standard_entity
长期熬夜喝酒,长期熬夜喝酒,熬夜
恩，长期熬夜精神压力大时间长了就会出现一个内分泌紊乱的情况，这也是引起咱们阳痿的一个病因之一,长期熬夜精神压力大,熬夜
就是前几天喝酒喝的不小心碰了下,喝酒喝的不小心,喝酒
我就手淫不射精为什么,手淫不射精,手淫
是不是撸管子撸多了,撸管子撸多了,手淫
我就喜欢撸管,撸管,手淫
就是撸管射的太快了,撸管射的太快,手淫
我工作吧就是那种经常熬夜胡吃海喝,熬夜胡吃海喝,熬夜
症状出现之前有过不洁性接触吗 或者用公共卫浴  比方说宾馆 浴池 温泉这些公共场所,用公共卫浴,出入公共场所
我手淫过渡频繁，导致现在射的特别快，请问我平时应注意什么才能解决我现在的问题,手淫过渡频繁,手淫
还经常熬夜,熬夜,熬夜
症状出现之前有不洁性生活或者用公共卫浴了吗 宾馆 浴池  等,用公共卫浴,出入公共场所
近期频繁手淫,频繁手淫,手淫
就是说磕碰 受伤的情况,磕碰受伤,外伤
有过不洁的性生活,不洁的性生活,不洁性生活
您有没有久坐久站  长期熬夜 经常大量吸烟饮酒的习惯？,久坐久站,久坐
您是从事什么工作的 有久坐  抽烟 喝酒的习惯吗,久坐 抽烟,久坐
之前有没有出入过公共宾馆 浴池 过性生活的情况？,出入过公共宾馆,出入公共场所
这个像是在性生活中用力不当或用力过大就会引起系带断裂,用力过大,外伤
生活压力大精神紧张手淫过度就这几个原因,生活压力大精,压力大
嗯 我就是经常熬夜 饮食还不规律,经常熬夜饮食还不规律,熬夜
天天手淫,手淫,手淫
估计是以前打飞机造成的,以前打飞机,手淫
霉菌是丝带真菌的俗称，像男性如果出现霉菌感染，大多都是由于异性性生活后感染所致,霉菌感染,病菌感染
引起霉菌性的原因常见于平时的卫生和性交时的不洁净,不洁净,不注意卫生
有过公共浴池。公司是共用的坐便器,有过公共浴池,出入公共场所
不是很熬夜，不是很久坐但是坐的时间长了不舒服没有憋尿习惯，爱喝点酒，但是不很大量喝,爱喝点酒,喝酒
昨天晚上喝醉了酒 在KTV 一个人睡了一会,喝醉了酒,喝酒
这个情况出现前有过不洁性生活  或出入过高危场所吗 像宾馆 旅社 桑拿 浴室等,不洁性生活 或出入过高危场所,不洁性生活
我因为工作压力和生活作息也不规率怀疑自己可能还有肾虚。,工作压力和生活,压力大
有吸烟。偶尔熬夜,熬夜,熬夜
您之前长时间的开车久坐，压迫睾丸和前列腺组织，导致局部充血，水肿，这个可能也是引起的其中一个诱因,开车久坐,久坐
我经常自慰,经常自慰,手淫
去过，也有过不洁性事情,不洁性事情,不洁性生活
以前有过口腔性交不知道有没有关系,口腔性交,不洁性生活
手瘾过,手瘾过,手淫
平时久坐，熬夜，辛辣刺激食物不良生活习惯有吗,辛辣刺激食物不良生活,不良饮食
这个是不是跟长期久坐不运动也有关系,长期久坐不运动,久坐
手印过,手印过,手淫
有过自慰史,自慰史,手淫
去过公共游泳池,去过公共游泳池,出入公共场所
自己手撸不射，未性生活,手撸不射,手淫
这要具体看相应的检查了，过度频繁手淫，会损伤到男性生殖器的阴茎海绵体，血管以及神经，从而出现勃起障碍和早泄的情况,过度频繁手淫,手淫
有一次去宾馆发生过性生活。过些天就这样了,去宾馆发生过性生活,出入公共场所
还又熬夜,熬夜,熬夜
是不是怨精神压力大  熬夜？,怨精神压力大熬夜,压力大
"那这时间可不短了,这种情况主要考虑就是泌尿系的感染或者前列腺炎",泌尿系的感染,病菌感染
熬夜有，手淫基本没有，频繁的性爱多,频繁的性爱多,性生活频繁
每次为了避免怀孕快射精就拔出来用手算不算是手瘾,手瘾,手淫
恩 那是不排除传染导致了   一般出现这个情况多是不洁性生活或出入高危场所造成像宾馆  旅社 桑拿 浴室  温泉等,像宾馆 旅社桑拿,出入公共场所
我有常年的手淫史,手淫史,手淫
嗯，之前是手淫 性生活很频繁吗,手淫性生活很频繁,性生活频繁
是性生活后出现的  还是近期个人卫生没有注意 去过公共的酒店  浴池 宾馆 澡堂的情况呢？,浴池宾馆,出入公共场所
是不是性生活后不久出现的 ？,性生活后不久,性接触
有过不洁的性生活史吗,不洁的性生活史,不洁性生活
是压力大太累了么,压力大太累,压力大
那这种情况龟头神经存在敏感 ，有没有手淫史 久坐久站  长期熬夜 经常大量吸烟饮酒的习惯？,手淫史久坐久站  长期熬夜经常大量吸烟饮酒,手淫
像公共场所宾馆酒店，这些地方里面的环境 毛巾我相信咱们自己也是了解的 每天来来回回这么多人出入 ，病菌或病毒刺激到皮肤的粘膜组织损伤导致,公共场所宾馆,出入公共场所
撸管不到一分钟射，正常吗,撸管不到,手淫
性爱过程中，生殖器有刺疼感,性爱过程中,性接触
想问下 如果女性发现支原体泌尿感染 那发生过性行为的男性是不是也会有,支原体泌尿感染,病菌感染
你这是长期手淫诱发的前列腺炎导致的,手淫诱发,手淫
10年吧手淫,手淫,手淫
嗯 工作呢 经常熬夜 作息时间不规律 然后不怎么吃饭,熬夜作,熬夜
嗯，症状出现之前有没有发生过不洁性生活，或者去过高危公共场合，浴池，宾馆，酒店，桑拿，公共娱乐场所呢,去过高危公共场合,出入公共场所
那你可以先戒除了手淫,手淫,手淫
前几天去澡堂洗了个澡第二天就觉得不舒服,去澡堂洗了,出入公共场所
包皮拉伤有问题吗。挺害怕，出好多血,包皮拉伤,外伤
最近性欲亢进，总想手淫。是不是与激素有关。,总想手淫,手淫
但是我有陋习 经常撸管,撸管,手淫
而手淫力度过度，这也可能是一方面病因,手淫力度过度,手淫
平常久坐，熬夜，外界病菌侵入感染都可以引起,平常久坐,久坐
没有，洗澡就去澡堂，淋浴的那种,淋浴,出入公共场所
你目前的这种情况建议避免过度劳累 规律生活 禁烟酒 避免辛辣饮食 避免加重病情,过度劳累规,劳累
比如和陌生人性生活，去公共场所，浴池，宾馆，洗浴中心，用公用毛巾浴巾等,和陌生人性生活,一夜情
咱们和这个外力碰撞了还是怎么出现的？,外力碰撞,外伤
洗浴  游泳馆这种地方么或者说和女性有过性接触呢,洗浴 游泳馆,出入公共场所
过度的频繁性生活容易使阴茎海绵体受到损伤导致 这是其一,过度的频繁性生活,性生活频繁
恩，那你平时有没有熬夜，作息不规律 大量手淫等情况呢,作息不规律大量手淫,作息不规律
久站 劳累会不会加重，平卧休息会不会减轻？,久站劳累,久站
恩，您出现之前有没有出入过澡堂子、宾馆、酒店等大众场所呢？,出入过澡堂子,出入公共场所
长期不注意卫生的话是诱因 你现在已经长期滋生细菌 可能多个致病菌导致的,长期不注意卫生,不注意卫生
恩，小便黄的原因有很多种，比如上火，经常熬夜，饮酒过量，服药过程中，泌尿系统炎症可出现尿液变黄的情况，,饮酒过量,喝酒
有没有久坐久站  长期熬夜 经常大量饮酒，憋尿的习惯？,久坐久站  长期熬夜经常大量饮酒,久坐
不是因为撸管速度快，才射的快吗，做爱的时候就不会那么快,撸管速度快,手淫
不抽烟不喝酒，也不怎样熬夜，这几个月工作到是挺忙的，有点压力,压力,压力大
嗯嗯，那就是不排除生殖系统感染引起的,生殖系统感染,病菌感染
长期手浮过度怎么康复,长期手浮过度,手淫
恩 那还是比较好的  手淫力度大  容易损伤阴茎海绵体,手淫力度大,手淫
有久坐和熬夜,熬夜,熬夜
怎么自己自慰,自慰,手淫
您要是不方便也没有问题，您平时避免熬夜，久坐辛辣刺激性食物，大量饮酒，手淫，多吃苹果，做一些提肛的运动,久坐辛辣刺激性食物,久坐
这个情况出现前有过不洁的性生活或出入过高危的场所吗 像宾馆 旅社 桑拿  浴室 温泉等,宾馆旅社桑拿 浴室温泉,出入公共场所
压力大,压力大,压力大
和不洁性生活  平常卫生 或出入高危场所等有直接关系,平常卫生或出入高危场所,出入公共场所
是不是一夜做太多次  累着了,一夜做太多,性生活频繁
哦哦 有过性接触 去过宾馆 洗浴,性接触去过宾馆,性接触
那你平时工作生活压力大吗？是否经常的熬夜 久坐酗酒呢？,熬夜久坐酗酒,熬夜
我总熬夜，下班半夜1点左右，而且年轻时手淫,手淫,手淫
没有啊，就是经常撸管,撸管,手淫
常见的手淫 久坐 熬夜 吸烟 喝酒等都是可以引起,熬夜吸烟喝酒,熬夜
咱们药物有很多种 需要检查确诊的  手淫过度是可以导致还海绵体损伤从而会影响到性功能方面的,手淫过度,手淫
引起这方面有很多 比如作息不规律 久坐 熬夜等,作息不规律久坐,作息不规律
有办法吗   我还有手淫历史,手淫历史,手淫
飞机打多了,飞机打多了,手淫
前几年有手淫经历,手淫经历,手淫
你没有姓生活以前，有没有频繁多年的手淫史？ 有没有包皮过长呢,频繁多年的手淫史,手淫
就是最近总玩游戏，熬夜,熬夜,熬夜
是不是有一些不好的习惯 有手淫 过频的性生活  久坐 憋尿的习惯吗？,性生活 久坐,性接触
最近两个月压力有点大,压力有点大,压力大
一般这方面问题都是来自生活习惯上，常见的像压力大、内分泌紊乱、作息不规律、吸烟、饮酒、久坐、久站，尤其以熬夜为主。,熬夜为,熬夜
可以治愈的  这个并不是疑难杂症 很常见的疾病  因为这个情况咱们考虑是泌尿系疾病导致的 手淫熬夜久坐多吗？,手淫熬夜久坐,手淫
有过公共澡堂 三天之前,有过公共澡堂三天,出入公共场所
我弟弟手淫,弟弟手淫,手淫
恩   熬夜一般是不会导致这个症状 但是存在症状后熬夜会加重这个症状,熬夜,熬夜
有关系的，男性熬夜 吸烟饮酒  手淫  前列腺等等都是会影响到性生活的时间的,熬夜吸烟饮酒,熬夜
工作压力大不耽误你看病吗,工作压力大不耽,压力大
长期不性生活的话如果第一次射精有些疼痛的情况这个是正常一些的，如果里面有血精这个就不正常了，说明不排除是精囊炎症的表现了,长期不性生活,不洁性生活
这个一般和不洁性生活 出入高危场所 像宾馆 旅社 桑拿 浴室等有直接关系,不洁性生活出入高危场所,不洁性生活
可能和你长期熬夜 睡眠不好 或是血液循环不好都是有关系的，这个和你性功能关系也不是很大，自己也不用担心，那你早泄的问题，自己是怎么打算的呢？,熬夜睡眠,熬夜
病历程如下，一月前出差成都，集中吃麻辣，喝大酒，熬夜开会。一天突发尿急尿频尿痛，吃左氟诺沙星后第二天好转，但尿频及尿道根部小便时刺激感一直有，服药可乐必妥，保列治，外用前列安栓及中成药一个月久，一直没有根除症状，近期白天也有尿频尿不尽感。不知何因?,喝大酒,喝酒
性伴侣熟悉吗 ？因为这方面的感染主要是由于性生活传播，手上的细菌传染，以及说平时的卫生不注意造成的,性生活传播,性接触
一般主要考虑是不洁性生活，或者去公共娱乐场所，或者马桶直接接触，或者间接接触感染导致的,去公共娱乐场所,出入公共场所
这个跟压力到时没有直接的关系的，您平时吸烟 饮酒  熬夜和手淫的现象多么,吸烟饮酒 熬夜,抽烟
跟经长熬夜有关系吗？,经长熬夜,熬夜
像是熬夜 吸烟 久坐 平时会使人体内部的性激素过于紊乱 不再处于平衡线上 这也是很多病情出现的一大原因之一,熬夜吸烟久坐,熬夜
就是打飞机,打飞机,手淫
我这个是手淫过度,手淫过度,手淫
勃起后撸管撸着撸着不硬了,撸管撸着撸着不硬了,手淫
手淫力达偏大，一次手淫相当于五六次性生活，手淫会损伤阴茎海绵体阴茎血管，导致肾充血过快引起慢性前列腺炎症,手淫力达偏大,手淫
恩，怕是你们房事的时候有交叉感染导致的，怕是霉菌，滴虫，细菌侵入龟头表皮里面了，也不排除在公共场合间接接触感染导致的,在公共场合间接接触,出入公共场所
平时手淫频繁吗，一周大约有几次手淫,手淫,手淫
就是最近同房有点多，差不多每天一次,同房有点多,性生活频繁
最近总是熬夜,熬夜,熬夜
是不是有手淫 久坐   憋尿的习惯呢 ？,手淫久坐,久坐
"18年前我手淫过度连续2次,过后就觉得尿急小便一点点,痛小便不多! 到如今腰酸背痛，精神不好, 早泄,",手淫过度连续2次,手淫
是不是纵欲过度的过,纵欲过度的过,性生活频繁
没有不简洁性生活，都戴套了,不简洁性生活,不洁性生活
那不排除是性生活过后交叉感染导致的，因为这个地方离着生殖器最近，当时是不是也有佩戴安全套吧？,性生活过后交,性接触
你好  我有4  5年的手淫鸡鸡小怎么回事？,手淫鸡鸡小,手淫
恩，公共洗浴中心，因为人员比较杂，很容易感染一些问题的 。,公共洗浴中心,出入公共场所
恩，冒昧的问您一下您之前有经常出入一些公用场所 比如说宾馆  洗浴  游泳馆这种地方么？或者说有接触过陌生女性的情况？,宾馆 洗浴 游泳馆,出入公共场所
"那是挺频繁的  手淫的力度比较大，过度手淫,使阴茎,前列腺长期处于充血状态, 容易引起阳痿早泄及慢性前列腺，性腺器官炎症。",频繁的 手淫,手淫
年轻人手淫适量无害正常1-2次左右，手淫刺激强度大，一次手淫相当于5-6次性生活，会严重损伤阴茎海绵体，容易导致早泄阳痿的情况,手淫刺激强度大,手淫
有久坐 熬夜 憋尿  手淫  喝大酒这个方面的坏习惯吗,喝大酒,喝酒
我还有老爱撸管,撸管,手淫
不是，以前挺正常的，估计是我打飞机打多了,打飞机打多了,手淫
有自己撸过,撸过,手淫
以前没有啊  就这两年  和心情  熬夜有关吗,心情熬夜,熬夜
对久坐熬夜，但是不怎么手淫,手淫,手淫
熬了几年夜就这样了，很容易累,熬了几年夜,熬夜
撸过,撸过,手淫
思，是去浴室后出现的是吗,去浴室,出入公共场所
撸管特别快就射了,撸管特别快,手淫
我撸过,撸过,手淫
撸过管,撸过管,手淫
性生活中用力或用力不当容易损伤阴茎海绵体,性生活中用力或用力不当,性接触
手淫过量。 导致时间段,手淫过量,手淫
那您出现这个情况之前有过性接触，手淫，出入宾馆洗浴泡澡桑拿的情况吗？,泡澡桑拿,出入公共场所
洗澡澡堂以后开始的,洗澡澡堂,出入公共场所
这个病因比较多，像尿路感染细菌上行、长期的久坐久站熬夜抽烟都是比较常见的诱因,尿路感染细菌上行,尿路感染
性交  公共的场所 酒店浴池等  都有可能的,性交 公共的场所酒店,性接触
有去过公共澡堂，淋浴的那种，其他的没有,去过公共澡堂,出入公共场所
恩，那你出现之前有没有过性接触，手淫，洗浴泡澡桑拿的情况啊？,洗浴泡澡桑拿,出入公共场所
应该属于手淫,手淫,手淫
我这个犹豫手淫过渡  现在包皮过长 好像还发炎了。射精时间也很快,犹豫手淫,手淫
可能与你久坐 熬夜 憋尿  不良的生活饮食习惯相关的,憋尿 不良,憋尿
手脚热的一般气血热常见，腰背酸软，这个劳累 损伤，肾虚都是会导致,劳累损伤,劳累
只要不是性生活压抑，就不会出现,性生活压抑,性接触
偶尔熬夜,熬夜,熬夜
是接触姓生活 射精就快 还是后期慢慢出现的嗯,接触姓生活,性接触
恩，手淫史特别频繁是吗？,手淫史特别频繁,手淫
疝气跟干活有关系么，或者是不是干活太累引起的呢,干活太累,劳累
恩，很多青少年时期会出现频繁 大量手淫，很容易损伤到阴茎海绵体，诱发性功能障碍的情况,频繁大量手淫,手淫
是晚睡熬夜？,晚睡熬夜,熬夜
偶尔憋尿,憋尿,憋尿
因为手瘾经常担心别人发现，总是想尽快万事儿,手瘾经,手淫
恩 这个情况咱们每天都接诊很多  百分之85的患者都是有不洁手淫或不洁性生活  其次就是出入高危场所 像宾馆 旅社  桑拿 浴室等导致的,出入高危场所像宾馆旅社 桑拿,出入公共场所
年轻时有手淫史,手淫史,手淫
这个主要像是你过性生活 个人卫生不注意 接触公共浴池 温泉桑拿等公共场所携带的病菌，刺激到内部的皮下组织受损引起的,个人卫生不注意接触,不注意卫生
排尿也正常我就是手淫淫起的,手淫淫,手淫
有过频繁手淫史,频繁手淫史,手淫
正常男性如果是外在因素导致像手淫损伤   性激素异常   包皮包茎等 解决症状是可以发育到23-24岁左右,手淫损伤  性激素异常,外伤
压力大内分泌方面激素就有异常,压力大内,压力大
有一年的手淫史,手淫史,手淫
最近有过不洁性生活 去过宾馆 公共游泳池之类的地方吗,公共游泳池,出入公共场所
有没有手淫史 久坐久站  熬夜大量吸烟饮酒的习惯？,手淫史久,手淫
一周手淫俩次影响生育吗，两年了,手淫俩次,手淫
这个撸管损伤这个生殖性腺损伤的情况的  你盲目吃药肯定是不行的  需要完善相关检查 看那恢复情况 也知道下一步怎么处理的,撸管损伤,外伤
嗯 是公共的宾馆 酒店 这里睡觉吗？,公共的宾馆酒店,出入公共场所
那这种情况龟头神经存在敏感，有没有 久坐久站  长期熬夜 经常大量吸烟饮酒的习惯？,久坐久站  长期熬夜经常大量吸烟饮酒,久坐
找过小,找过小,找过小姐
这个的原因比较多，像性生活不正常，如性生活过频、手淫、性交中断、性生活过度抑制等可引起局部充血诱发炎症。,性交中断,性接触
这个引起的病因比较多，尿路感染、手淫诱发腺体炎症、久坐、久站，这都是引起男性前列腺炎的直接病因。,手淫诱发腺体炎症,手淫
近期有去公共的酒店 宾馆 浴池 这样的公共的地方 还是 几天这个没有洗澡了？,去公共的酒店,出入公共场所
恩  一般导致早泄的病因无非就是那几种 像手淫损伤  性激素异常  前列腺炎症  敏感度高,手淫损伤 性激素异常 前列腺炎,外伤
我感觉应该和手淫关系大。手淫好多年了,手淫关系大,手淫
你多大年龄了呢 ？是不是近期有和陌生女性有过性生活接触 ？,和陌生女性有过性生活接触,一夜情
主要是咱们有和陌生人有过性生活，这个是最容易感染上问题的,陌生人有过性生活,一夜情
医生，我经常撸管,撸管,手淫
是不是跟精神压力大，久坐不活动有关系,久坐不活动,久坐
是跟工作压力或者生活压力有没有关系,工作压力或者生活压力,压力大
嗯  那应该是你个人卫生没有注意好了 是不是有去公共的澡堂 浴池宾馆 这样的地方呢,去公共的澡堂浴池,出入公共场所
嗯  是你熟悉的伴侣 还是陌生的女性 一夜情的情况呢？,陌生的女性一夜情,一夜情
那这个症状很厉害了，是不是和陌生女性有性生活接触 ？,和陌生女性有性生活接触,一夜情
之前有严重撸管,撸管,手淫
吸烟，喝酒并不是直接影响的诱因，  经常熬夜的话是有一定影响，但是不是主要因素， 熬夜也会导致咱们男人内分泌紊乱，激素水平下降的，,经常熬夜,熬夜
我是不是最近性生活过手频繁了,性生活过手频繁,性生活频繁
打飞机过猛 时间长了点,打飞机过猛,手淫
一般和不洁性生活或出入高危场所不卫生等有直接关系,高危场所不卫生,出入公共场所
像宾馆  旅社  桑拿 浴室 等,宾馆 旅社,出入公共场所
这个情况主要考虑性激素 手淫或性生活中阴茎海绵体受损方面引起的,性生活中阴茎海绵体受损,性接触
如果是踢伤的话，遗精还算是轻微的， 睾丸组织可能有损伤了，多长时间了？,踢伤,外伤
怎么样阻止手淫,手淫,手淫
恩可以理解  目前这个情况就怕的是久坐 熬夜 抽烟 酗酒,久坐熬夜抽烟酗酒,久坐
压力也大,压力也大,压力大
我喜欢打飞机，可是打完了龟头有种隐隐约约的不舒服，特别是晚上睡觉的时候感觉比较强烈，做什么事都静不下心来,喜欢打飞机,手淫
引起的原因比较多，比如长时间的久坐，酗酒，生活不规律，熬夜，性生活过少，过频，受凉等等,性生活过少,性接触
像手淫损伤  或局部的血管滞留等,手淫损伤,外伤
手淫  不洁性生活   出入高危场所  像宾馆 旅社 桑拿 浴室等,手淫 不洁性生活  出入高危场所 像宾馆,手淫
都没去过洗浴场所！她上班！我也非常注意卫生！不知道是什么原因,洗浴场所,出入公共场所
是没有性生活吗  经常手淫,经常手淫,手淫
可能是我小时候手淫过多,手淫过多,手淫
你出现之前有过性接触，手淫。出入宾馆 洗浴 泡澡的情况吗？,宾馆洗浴泡澡,出入公共场所
我经常，爱手淫,爱手淫,手淫
有过什么异常接触，或者性生活剧烈，手淫情况吗 ？,性生活剧烈,性接触
会熬夜 久坐和手淫,手淫,手淫
你这个年纪通过性欲刺激的话一般会勃起15分钟以上的  你这个是典型的勃起不持久啊,性欲刺激,性接触
因为性病不仅是通过性生活传播  你接触到宾馆 不干净地方 致病菌 也可以个感染到的,性生活传播,性接触
