sentence,entity,standard_entity
正常咱们这个肾虚 分为 阴虚阳虚 气虚 血虚 这个要看你具体的实际情况,气虚,气虚
包皮发炎了,包皮发炎,包皮发红
具体是龟头痒还是阴茎痒呢,阴茎痒,阴茎痒
光滑如初。你现在是出现什么不适了吗 ？,光滑,平滑
阴茎痒是属于感染的症状，治疗方式很多,阴茎痒,阴茎痒
就是我爸包皮发炎了用什么药,包皮发炎,包皮发红
积液量一旦增多睾丸内部一旦病变时，液体的分泌与吸收失去平衡内压增高 睾丸就会出现肿大,多睾丸,多睾丸
嗯手淫的话 力度大 容易损伤阴茎海绵体或生殖腺体损伤 为性功能下降埋下隐患的,生殖腺体损伤,阴茎撕裂
我去医院检查医生说我阴茎充血不足要做系带植入手术,阴茎充血不足,阴茎充血不足
就是怀不上我想问哈,怀不上,怀不上
昨晚睡觉阴茎痒我抓了几下早上出现两块红色,阴茎痒,阴茎痒
精液平时留意过吗？有没有发黄、颗粒、带血、结晶、异味、胶冻状、果冻状这类的情况？,带血,带血
龟头上有小疙瘩，有异味,龟头上有小疙瘩,阴茎有疙瘩
不正常的   正常是光滑的皮肤 不会有异常的东西,光滑,平滑
长度是一直这样还是后来有萎缩、变小的情况？,变小,变小
有疼痛脱皮，说明是有病菌的存在，他有刺激到你皮肤内部黏膜，导致黏膜受损出现的症状，这进一步是会导致局部溃破的,黏膜受损,黏膜损伤
没看过的话就有些大意了，这方面病情持续发展造成射精管堵塞等情况，会直接影响男性性功能出现射精困难，疼痛，带血的。,带血,带血
阴茎根部痒 和前列腺炎没有直接的关系,阴茎根部痒,阴茎痒
说是什么情况？阴虚还是肾气不足、气血两虚？,气血两虚,气虚
检查出前列腺有点肥大，右侧鞘膜积液，白细胞偏高15一20HP,白细胞偏高,白细胞多
您好，阴茎周围痒还脱皮是怎么回事？,阴茎周围痒,阴茎痒
那你别手淫了 龟头有红点 瘙痒 分泌物吗,瘙痒分泌物,瘙痒
那需要重视了  如果普通的感染这样会于瘙痒疼痛的  尤其是无症状的异常 可大可小了,瘙痒疼痛,瘙痒
你多大了呢  目前是阴茎瘙痒还是这阴囊局部瘙痒的情况呢,阴茎瘙痒,阴茎痒
阴茎在尿尿和性生活的时候有些上火或发炎的灼热感和痒,发炎,发炎
海绵体是一方面，但也可能是阴茎充血不足，这个病因不同，恢复也不一样,阴茎充血不足,阴茎充血不足
潮湿是泌尿系统里面存在炎症，长期炎症刺激局部汗腺组织就会出现潮湿，时间久了也会影响到性功能问题，后期也会导致局部瘙痒,局部瘙痒,瘙痒
白细胞偏高O.4需要进一步检查吗,白细胞偏高,白细胞多
有没有瘙痒 分泌物 的情况伴随呢？,瘙痒分泌物,瘙痒
精液粘稠的情况下 是属于前列腺液出现了问题 常见是前列腺炎症导致。,精液粘稠,精液粘稠
平时除了潮湿有没有局部瘙痒 异味 红点 ，或者尿急 尿频 尿不尽 尿分叉 尿等待的情况吗？,局部瘙痒,瘙痒
恩 正常是光滑的 有一层保护膜 脱皮的话说明长期炎症刺激破坏保护膜所以才会这样的 这样的环境更容易滋生细菌,光滑,平滑
之前我阴茎根部痒,阴茎根部痒,阴茎痒
有没有瘙痒 分泌物 红肿的情况？,瘙痒分泌物,瘙痒
有没有瘙痒 分泌物  疼痛的情况呢？,瘙痒分泌物,瘙痒
像阴茎有疙瘩和睾丸有疙瘩是不能大意的 在科室接触的比较多 一般都是有病菌病毒侵入刺激出现的病化灶导致的 随着时间会越来越多的,阴茎有疙瘩,阴茎有小疙瘩
如果不是劳累造成   就需要及时的重视 多是和生殖腺体损伤或存在炎症造成,生殖腺体损伤,阴茎撕裂
恶心的这段时间以为天气热的原因，还没有去做检查。,恶心,恶心
龟头珍珠疹,龟头珍珠疹,龟头有珍珠疹
就是老是怀不上,怀不上,怀不上
那您这个不像是炎症引起的，炎症的话，时间一长自行就能恢复，就比如说咱们嗓子疼 也属于炎症导致的，时间长点不吃药自行就恢复了，但是说您这个两三年了，确实不应该,嗓子疼,嗓子疼
包皮痒怎么回事是发炎了吗,发炎,发炎
包皮脱皮 有瘙痒 红肿的情况吗,包皮脱皮,包皮脱皮
您好，生殖器痒有白色分泌物，还有异味,生殖器痒,阴茎痒
精液有颗粒是存在病因的,精液有颗粒,精子有颗粒
嗯 你今年多大了 出现几天了 生殖器瘙痒的情况,生殖器瘙痒,阴茎痒
有时候是嗓子疼。,嗓子疼,嗓子疼
阴茎根部痒，,阴茎根部痒,阴茎痒
那时间不短了啊，一般生殖器损伤性的话最 好是在12小时之内尽早解决，避免局部出现感染,生殖器损伤,阴茎撕裂
男性生殖器痒可以用碘伏吗,生殖器痒,阴茎痒
这个不会无缘无故出现的  是有原因的 这是生殖感染的症状表现的，病菌这个局部组织形成的肿大的，瘙痒异味就是病菌繁殖的症状表现的,瘙痒异味,瘙痒
房事后生殖器有红点，包皮痒怎么回事,生殖器有红点,阴茎有红点
有没有瘙痒  疼痛的情况,瘙痒 疼痛,瘙痒
我阴茎和包皮有红点咋回事啊,包皮有红点,包皮有红点
阴茎红肿,阴茎红肿,阴茎红肿
我阴茎脱皮，阴头有红疙瘩。特别的痒,阴茎脱皮,阴茎脱皮
尿痛是咱们医院的常见问题，是致病菌感染引起的皮肤黏膜损伤引起的问题。黏膜损伤，排尿刺激就会疼痛，问题一直不解决就会加重，很多就会伴随出现平时不排尿疼痛,黏膜损伤,黏膜损伤
第二天便血然后出血还不少,便血,便秘
阴茎上有小红点用什么药,阴茎上有小红点,阴茎有红点
睾丸下面起痘痘,下面起痘痘,长痘
如果睾丸扭转，急性睾丸，附睾炎，精索静脉曲张等情况,睾丸扭转,睾丸扭转
跟阴茎粗长有关吗？,阴茎粗,阴茎粗
阴茎粗短,阴茎粗,阴茎粗大
我想做阴茎增粗增长手术,阴茎增粗增长,阴茎增粗
请问可以做阴茎增粗增长的手术嘛？,阴茎增粗增长,阴茎增粗
想让阴茎增粗增长怎么办？,阴茎增粗增长,阴茎增粗
阴茎增粗延长是可以的，要看一下你具体导致的原因程度,阴茎增粗,阴茎增粗
我想阴茎增粗,阴茎增粗,阴茎增粗
你们那能做阴茎增粗吗,阴茎增粗,阴茎增粗
现在是过长还是完全包住了包茎啊？,全包住,全包住
完全包住了，是包茎吧,全包住,全包住
软的状态下  全包住了,全包住,全包住
勃起功能障碍也叫阳痿，分为三个阶段，勃起硬度不好，中途疲软，勃不起来,勃起硬度不好,硬度不够
您这个属于一个包皮长的情况,包皮长,包皮有点长
平时小便有异常吗？如尿频，尿急，尿不尽，尿滴白，尿分叉，尿无力的情况？,尿分叉,尿分叉
包皮过长只是导致龟头敏感度过高的一个原因之一，并不是直接导致性生活时间过短的病因，这样说  您明白么？,龟头敏感度过高,龟头敏感
现在硬度有勃起不坚 中度疲软或完全不能勃起吗,勃起不坚,硬度不够
有疼痛或者是瘙痒的感觉吗？,疼痛,有点疼
有疼痛或者是瘙痒的感觉吗？,瘙痒,痒
尿道管壁出现了有黄色分泌物流出的话是典型的感染表现 是细菌刺激尿道管壁破溃损伤 导致出现的,黄色分泌物,分泌物
小便有除了尿不尽，有没有尿频，尿急，排尿分叉，尿等待，尿无力，尿中断，尿后滴白等现象,尿不尽,尿不尽
您好，这是勃起时间短的情况，你多大年龄，出现多久了呢,勃起时间短,早射
嗯，包皮过长倒是有一定的影响。平时性生活的时候是不是感觉龟头特别的敏感，控制不住就射精了 ？,龟头特别的敏感,龟头敏感
有睾丸不适  腰酸乏力 失眠多梦 小腹坠涨的症状吗,睾丸不适,睾丸疼
短小早泄需要怎么治疗,短小,阴茎短小
请问你有没有尿频，尿急，尿痛，尿分叉，排尿困难，尿后滴白等等症状呢,尿频,尿频
除了早泄 是否伴随阴囊潮湿、小腹坠胀、睾丸不适、失眠多梦的症状？,阴囊潮湿,睾丸潮湿
排尿方面有异常吗？有没有尿频、尿急、尿分叉、尿不尽的情况？就是小便完了还有几滴出来？,尿频,尿频
自行购买的，包皮略微有点发红，没有其他的病症，就是抹完药有点痒，龟头的话现在痊愈了，但是由于之前一直抹药，现在有点褶皱，表皮黏膜没了，估计得恢复一段时间。,发红,红点
除了痒 有红肿 异味 分泌物的情况吗？,痒,痒
晨勃和性欲是性功能的标志 晨勃一般出现减弱，则代表性功能再逐步下降，进一步导致完全勃不起来。,勃不起来,硬不起来
嗯，勃起困难那这样咱们就很难完成性生活了，跟生活环境关系不大，,勃起困难,硬不起来
这个不是精子，这是前列腺液，属于尿滴白的情况。,尿滴白,尿道流白色液体
目前是不是在性生活过程中感觉比较敏感 控制不了射精,控制不了射精,早射
是这样，你的这个情况叫做尿滴白的症状,尿滴白,尿道流白色液体
那阴囊部位有没有潮湿，小腹坠痛，失眠多梦，盗汗，记忆力下降的情况？,潮湿,潮湿
所以不能勃起,不能勃起,硬不起来
你现在小便怎么样  有没有尿频 尿急 尿不尽 尿分叉的情况？,尿分叉,尿分叉
恩，现在有没有疼痛，瘙痒的情况呢,疼痛,有点疼
有瘙痒异味的情况吗,异味,有异味
有时候吃完饭就会觉得肚子难受，也会尿血,尿血,小便出血
腰背酸软，小腹坠胀呢,小腹坠胀,小腹坠胀
你平时有小腹坠胀，阴囊潮湿，尿滴白，射精无力，腰酸乏力的现象吗？,小腹坠胀,小腹坠胀
恩，除了这个情况平时是否有小腹坠胀，腰膝酸软，乏力，注意力不集中，精力减退等情况呢,腰膝酸软,腰酸乏力
咱们平时是否有尿频，尿等待，尿不尽，阴囊潮湿等情况呢,尿不尽,尿不尽
尿道不舒服,尿道不舒服,排尿困难
我感觉不坚，有时候中途软了,中途软了,中途疲软
龟头上有瘙痒 红点 红斑  潮湿 白色污垢的情况吗？,红点红斑,红点
红点已经没了啊,红点,红点
您多大年纪了？现在是导致性生活时间过短了么,性生活时间过短,早射
恩，那平时有没有尿急 尿频 尿不尽 尿分叉 尿等待的情况呢,尿分叉,尿分叉
那阴囊潮湿 小腹坠涨 射精无力的情况呢,阴囊潮湿,睾丸潮湿
19了。没有瘙痒和疼痛前两天有。这几天没那么严重了。,瘙痒,痒
小颗粒是单个还是多个呢,小颗粒,小颗粒
是检查发现精子少吗,精子少,精液量少
阴囊潮湿怎么办,阴囊潮湿,睾丸潮湿
咱们阴囊部位除了潮湿的情况局部是否有泛红，疙瘩，瘙痒，异味等情况呢？,泛红,红肿
咱们阴囊部位除了潮湿的情况局部是否有泛红，疙瘩，瘙痒，异味等情况呢？,疙瘩,长疙瘩
恩，你这个情况要重视的，龟头长时间处于红肿的状态，会造成龟头组织损伤，影响以后的性功能,红肿,红肿
尿痛，尿急，尿分叉，排尿烧灼的情况有吗,尿分叉,尿分叉
不然的话你每次勃起都会疼痛，裂口也会一次比一次大,疼痛,有点疼
有点尿不净的感觉,尿不净,尿不尽
有没有阴囊潮湿 小腹坠涨 腰骶部追涨 射精无力的情况呢,阴囊潮湿,睾丸潮湿
有时性交，过一会就有点短，硬度不强了,硬度不强,硬度不够
勃起不硬出现多长时间了，  有上医院看过吗？,勃起不硬,硬度不够
平时感觉尿频 尿急 尿黄 尿分叉 尿滴白  夜尿增多吗?,尿黄,尿黄
平时感觉尿频 尿急 尿黄 尿分叉 尿滴白  夜尿增多吗?,尿分叉,尿分叉
小便无力 尿等待的症状 .小腹坠胀 阴囊潮湿 腰酸乏力 睾丸不舒服的感觉   有没有?,小腹坠胀,小腹坠胀
我蛋疼,蛋疼,睾丸疼
那你睾丸疼痛的情况，大夫怎么建议的,睾丸疼痛,睾丸疼
如果患者不是包皮过长造成的时间短，那么做了手术也没有效果。建议是面诊大夫对症治疗,包皮过长,包皮有点长
有没有阴囊潮湿 小腹坠涨 睾丸不适 失眠多梦的症状？,睾丸不适,睾丸疼
恩，有没有尿等待 尿分叉 腰酸乏力 阴囊潮湿 小腹坠胀 失眠 多梦的症状？,尿分叉,尿分叉
恩，那现在出现了这个小疙瘩的情况说明咱们这个疾病在发展了,小疙瘩,长疙瘩
嗯 现在有性欲的时候是勃起不坚，勃起时间短，勃起慢，中途疲软还是不能勃起呢？,勃起时间短,早射
嗯 现在有性欲的时候是勃起不坚，勃起时间短，勃起慢，中途疲软还是不能勃起呢？,中途疲软,中途疲软
硬度不够,硬度不够,硬度不够
您现在只是说出现勃起不坚或硬度不够的情况，长期得不到治疗血流供血不足，是会导致完全无法勃起，不能进行性生活，你还这么年轻，自己肯定是需要重视起来的,无法勃起,硬不起来
你现在出现勃起功能障碍的情况主要考虑是阴茎静脉供血障碍的情况,勃起功能障碍,硬不起来
咱们是否还有尿道灼热，尿痛，尿频，尿道口红等情况呢,尿道灼热,尿有灼热感
比较射精快 或者是勃起不坚硬 不容易勃起 或是中途疲软,中途疲软,中途疲软
你多大年龄了， 现在已经确定是包皮长了是吗？,包皮长,包皮有点长
小便无力 尿等待的症状 .小腹坠胀 阴囊潮湿 腰酸乏力 睾丸不舒服的感觉  有没有?,睾丸不舒服,睾丸疼
我龟头上长了一个红色的小肉疙瘩,疙瘩,长疙瘩
你现在可以完成正常性生活吗？还是性生活一会中途疲软了，还是压根就勃不起来,中途疲软,中途疲软
刚21岁那我还是建议你做手术比较好， 因为包皮长的危害是比较大的， 一般男性发育到24岁左右， 包皮长会影响你阴茎和鬼头发育的,包皮长,包皮有点长
有长疙瘩，发红，脱皮，异味的情况吗,异味,有异味
局部是否有泛红，疙瘩，异味，脱皮，表皮增厚等情况呢,疙瘩,长疙瘩
现在尿道口有没有红肿，瘙痒，异味，疼痛的情况呢,红肿,红肿
现在红点是一个还是多个的？伴有刺痒，红肿或是脱皮吗,红肿,红肿
小便影响外阴囊潮湿 小腹坠胀 射精无力 腰酸等情况有吗,小腹坠胀,小腹坠胀
那我知道了 平时有疼痛 瘙痒 异味的情况吗  今年多大年龄？,异味,有异味
小便会疼，平常JJ也痒什么情况,小便会疼,尿痛
你好阴茎为什么不勃起,不勃起,硬不起来
是射精出血还是尿道口流血,尿道口流血,小便出血
那勃起没问题 就是时间短 咱们把性生活时间提升上来质量就可以提高了  你是否感觉到龟头比较敏感 很难控制射精那,时间短,早射
我现在怀孕了，尿痛,尿痛,尿痛
现在是勃起不坚 中度疲软 还是完全不能勃起,完全不能勃起,硬不起来
排尿的时候有没有灼热感、刺痛，尿道口有没有发现有分泌物出现？,分泌物,分泌物
频繁的尿出血还是需要重视的，无论是肾存在问题还是泌尿系统都不是好现象。那咱们为什么没去看看呢？,尿出血,小便出血
除了射精无力  有没有射精高潮  射精疼痛  小便尿频 尿急 尿不尽的情况呢？,射精疼痛,射精痛
包皮长也是影响的其中一个原因， 本身长时间包裹鬼头，导致局部组织很敏感，通过性生活摩擦不了几下就会有射精的感觉，时间久会形成习惯性的早泄的,包皮长,包皮有点长
完全不能勃起了吗,完全不能勃起,硬不起来
恩，疼痛感比较明显的话，那肯定是存在病态的， 不能大意,疼痛感,有点疼
摸着睾丸内部有没有疙瘩的存在呢？,疙瘩,长疙瘩
有检查过是什么原因导致的短小了吗,短小,阴茎短小
那阴囊部位是否有阴囊潮湿，小腹坠痛，失眠多梦，盗汗，记忆力下降的情况？,记忆力下降,记忆力减退
发现这个潮湿的情况几天了呢？,潮湿,潮湿
目前都有那些症状，勃起硬度不够，中途疲软，还是完全勃不起来？,勃起硬度不够,硬度不够
平时这个疼痛感强烈吗， 是坠痛的感觉，还是胀痛呢？,胀痛,有点疼
恩，那 小腹坠胀 阴囊潮湿 射精无力 腰酸乏力 这些症状存在吗？,小腹坠胀,小腹坠胀
嗯，一个小时连续抽查的话，也容易造成女性阴道内壁的破损，出现性交疼痛的现象,破损,伤口破裂
近几年性生活方面怎么样。有没有射精快 阴茎勃起不坚硬 不容易勃起 或者是中途疲软的情况,射精快,早射
没有精神，浑身无力！没有性欲，即使有也坚持不了几分钟！,浑身无力,腰酸乏力
平时有尿频，尿急，尿不尽，尿滴白，尿分叉，尿无力的情况吗 ？,尿滴白,尿道流白色液体
龟头性神经分布太多就容易导致龟头敏感，控制不住射精，早泄的情况,控制不住射精,早射
没有疼的感觉，就是那块特别痒痒然后痘痘上面还有那个黑点似的,痒痒,痒
就是性欲降低了,性欲降低,性欲减退
如果出现破溃和流脓的情况怕是有一些致病菌，病原体，病毒感染的情况,流脓,流脓
那除了这个小便泡沫之外，是否伴有，尿频，尿急，尿不尽，尿滴白，尿分叉，尿无力，尿等待的情况？,小便泡沫,尿里有泡沫
硬块多大呢 ？,硬块,长疙瘩
从你现在的情况来看，还好调理，病情加重导致无法勃起的话，那就麻烦了,无法勃起,硬不起来
鸡鸡小可以手术治疗吗,鸡鸡小,阴茎短小
有异味别的没有,异味,有异味
现在是自己感觉龟头比较敏感  稍一受到摩擦刺激就无法持久  大脑控制不住就射精了？,龟头比较敏感,龟头敏感
咱们之前是否有潮湿的情况呢？,潮湿,潮湿
早上起来尿道口有糊口的情况吗？也就是分泌物,分泌物,分泌物
除了这个滴白的情况，咱们平时大便用力有没有发现也有这个情况？,滴白,尿道流白色液体
腰酸乏力 小腹坠胀的情况有吗,小腹坠胀,小腹坠胀
你这处于过度性生活造成的机体负担，受损，早泄了 是不是觉得龟头十分敏感，控制不住射精时间？,控制不住射精,早射
现在有感觉龟头敏感，自己控制不住射精吗,龟头敏感,龟头敏感
嗯，现在是尿道灼烧感，有尿痛的情况，有没有尿急，尿频。尿等待，尿急的情况,尿痛,尿痛
排尿正常。就是平时，发热刺痛。,刺痛,有点疼
如果分泌物是黄色，多考虑是淋病的可能,分泌物,分泌物
您这情况考虑是被感染了，盲目的用药是没有效果的，你这情况及早的去检查化验下，避免性病感染，要是急性的炎症因为之前已经化脓，盲目的用药是不会起到根治的效果的,化脓,流脓
那现在是勃起困难，还是勃起缓慢，或者中途疲软呢？,勃起缓慢,硬不起来
现在有没有发现小便有浑浊、气泡多、异味大、有泡沫、小便前后流出白色的分泌物这类的情况？,泡沫,尿里有泡沫
小便出血，小肚子疼，以前没有过,小便出血,小便出血
这一般是包皮过长引起的感染滋生白色污垢,白色污垢,白的东西
那觉得是什么情况下有勃起异常呢？,勃起异常,硬不起来
如果红肿严重，不要外翻包皮，避免嵌顿，孩子疼痛增加，加重感染的情况,红肿,红肿
腰疼，憋胀，疼痛难忍，我应该挂什么科？,疼痛难忍,有点疼
龟头瘙痒一般是滋生病菌导致生殖感染的症状，出现多长时间了目前除了痒还有其他症状吗，红肿，脱皮等,龟头瘙痒,龟头痒
就是痒,痒,痒
有很多的患者，但是每个人的病情不一样，个红疙瘩大小是多少？颜色是深红还是血红?有没有白色分泌物？是长在毛囊位置吗？,红疙瘩,长疙瘩
尿频，小腹坠胀的情况，主要考虑是泌尿生殖系统疾病导致的,小腹坠胀,小腹坠胀
而且做爱时间特别短,时间特别短,早射
今天开始的一直痒,一直痒,痒
恩 ，你是不是包皮长呢 ？,包皮长,包皮有点长
有白色的东西是什么情况,白色的东西,白的东西
尿急尿频.感觉存不住尿,存不住尿,尿急
恩，咱们局部是否有红点，红斑，异味等情况呢？,红点,红点
恩，咱们局部是否有红点，红斑，异味等情况呢？,异味,有异味
是太敏感了我,太敏感,敏感度过高
勃起硬度不够是什么原因,勃起硬度不够,硬度不够
尿尿有疼痛感,尿尿有疼痛感,尿痛
刚出现尿血昨天下午说有点肚子疼,尿血,小便出血
这方面内部前列腺，肾，膀胱，尿道，有出血点都会尿血,尿血,小便出血
尿血可不是小事,尿血,小便出血
频繁的手淫确实是会损害咱们的阴茎海绵体导致供血不足，阳痿的症状出现,供血不足,龟头充血不足
刺痛是持续性的还是偶尔？,刺痛,有点疼
现在不光是异常勃起、疼痛，已经出现敏感度过高的情况，那这样继续发展下去，形成严重的早泄，疼痛加重，那处理就得需要手术了，小伙子,敏感度过高,敏感度过高
前列腺疾病影响性功能时间短，导致不了阴茎小,阴茎小,阴茎短小
男性阴茎的勃起，靠的是海绵体血管充血。临床检查发现70%的阳痿、勃起中途疲软，都与海绵体供血不足，或者血管疾病有关。,供血不足,龟头充血不足
时间短怎么办,时间短,早射
就是龟头痒,龟头痒,龟头痒
就是包皮太长，然后露出龟头碰就疼,包皮太长,包皮有点长
有没有红点，脱皮的情况,红点,红点
恩，有分泌物说明有化脓性感染了，出现溃疡，糜烂的情况了,分泌物,分泌物
像您这个情况，瘙痒 有小疙瘩 这种情况应该是局部感染导致的，您出现这个问题之前，有没有经常出入一些公共场所，比如说宾馆，洗浴 游泳馆这种地方么,小疙瘩,长疙瘩
恩 有没有瘙痒 红肿  疙瘩 红点的情况,红点,红点
那他们有出现排尿 尿不出的情况吗,尿尿不出,排尿困难
大概有至少一个星期多了，我洗了几次澡，有痒痛的感觉…,痒痛,痒
