,bz_bio,re_bio
181,O,O
182,O,O
183,O,O
184,O,O
185,O,O
186,O,O
187,O,O
188,O,O
189,O,O
190,B_cause,B_cause
191,I_cause,I_cause
192,O,O
193,B_symptom,B_item
194,I_symptom,I_item
195,I_symptom,I_item
196,I_symptom,I_item
197,O,O
198,O,O
199,O,O
200,O,O
201,O,O
202,O,O
203,O,O
204,O,O
205,O,O
206,O,O
207,O,O
208,O,O
209,O,O
210,O,O
211,O,O
212,O,O
213,O,O
214,O,O
215,O,O
216,O,O
217,O,O
218,O,O
219,O,O
220,O,O
221,O,O
222,O,O
223,O,O
224,O,O
225,O,O
226,O,O
227,O,O
228,O,O
229,O,O
230,O,O
231,O,O
232,B_item,B_item
233,I_item,I_item
234,O,O
235,O,O
236,O,O
237,O,O
238,O,O
239,O,O
240,O,O
241,O,O
242,B_symptom,B_item
243,I_symptom,I_item
244,O,O
245,B_symptom,B_item
246,I_symptom,I_item
247,O,O
248,O,O
249,O,O
250,O,O
251,O,O
252,O,O
253,O,O
254,O,O
255,O,O
256,O,O
257,O,O
258,O,O
259,O,O
260,O,O
261,O,O
262,O,O
263,O,O
264,O,O
265,O,O
266,B_emotion,O
267,I_emotion,O
268,O,O
269,O,O
270,O,O
271,O,O
272,O,O
273,O,O
274,O,O
275,O,O
276,O,O
277,O,O
278,O,O
279,O,O
280,O,O
281,O,O
282,O,O
283,O,O
284,O,O
285,O,O
286,B_symptom,B_symptom
287,I_symptom,I_symptom
288,I_symptom,I_symptom
289,I_symptom,I_symptom
290,I_symptom,I_symptom
291,O,O
292,B_frequency,B_frequency
293,I_frequency,I_frequency
294,I_frequency,I_frequency
295,I_frequency,I_frequency
296,I_frequency,O
297,I_frequency,O
298,I_frequency,O
299,O,O
300,O,B_symptom
301,O,I_symptom
302,O,I_symptom
303,O,I_symptom
304,B_address,B_address
305,I_address,I_address
306,I_address,I_address
307,O,I_address
308,O,I_address
309,B_address,I_address
310,I_address,I_address
311,I_address,I_address
312,O,O
313,O,O
314,B_address,O
315,I_address,O
316,O,O
317,O,O
318,O,O
319,O,O
320,O,O
321,O,O
322,O,O
323,O,O
324,B_symptom,B_symptom
325,I_symptom,I_symptom
326,I_symptom,I_symptom
327,I_symptom,I_symptom
328,I_symptom,I_symptom
329,O,O
330,O,O
331,B_symptom,B_symptom
332,I_symptom,I_symptom
333,O,O
334,O,O
335,B_item,B_item
336,I_item,I_item
337,I_item,I_item
338,I_item,I_item
339,O,O
340,O,O
341,O,O
342,O,O
343,B_cause,O
344,I_cause,O
345,O,O
346,B_symptom,B_symptom
347,I_symptom,I_symptom
348,I_symptom,I_symptom
349,I_symptom,I_symptom
350,I_symptom,I_symptom
351,O,O
352,O,O
353,O,O
354,O,O
355,O,O
356,O,O
357,O,O
358,B_medicine,B_medicine
359,I_medicine,I_medicine
360,I_medicine,B_symptom
361,I_medicine,I_symptom
362,I_medicine,I_symptom
363,O,O
364,O,O
365,O,O
366,O,O
367,O,O
368,O,O
369,O,O
370,O,O
371,O,O
372,O,O
373,O,O
374,O,O
375,O,O
376,O,O
377,O,O
378,O,O
379,O,O
380,O,O
381,O,O
382,O,O
383,O,O
384,O,O
385,O,O
386,O,O
387,O,O
388,O,O
389,O,O
390,O,O
391,O,O
392,O,O
393,O,O
394,O,O
395,O,O
396,O,O
397,O,O
398,O,O
399,O,O
400,O,O
401,O,O
402,O,O
403,O,O
404,O,O
405,O,O
406,O,O
407,O,O
408,O,O
409,O,O
410,O,O
411,O,O
412,O,O
413,O,O
414,O,O
415,B_symptom,B_symptom
416,I_symptom,I_symptom
417,I_symptom,I_symptom
418,I_symptom,I_symptom
419,B_symptom,B_symptom
420,I_symptom,I_symptom
421,I_symptom,I_symptom
422,O,O
423,O,O
424,O,O
425,O,O
426,O,O
427,O,O
428,O,O
429,O,O
430,O,O
431,O,O
432,O,O
433,B_fluid,B_fluid
434,I_fluid,I_fluid
435,I_fluid,I_fluid
436,I_fluid,I_fluid
437,O,O
438,O,O
439,O,O
440,O,O
441,B_cause,B_cause
442,I_cause,I_cause
443,O,O
444,O,O
445,O,O
446,O,O
447,O,O
448,O,O
449,O,O
450,O,O
451,O,O
452,B_item,B_item
453,I_item,I_item
454,O,O
455,B_datetime,B_datetime
456,I_datetime,I_datetime
457,I_datetime,I_datetime
458,I_datetime,I_datetime
459,I_datetime,I_datetime
460,O,O
461,B_emotion,O
462,I_emotion,O
463,O,O
464,O,O
465,O,O
466,B_datetime,B_datetime
467,I_datetime,I_datetime
468,O,O
469,O,O
470,O,O
471,B_symptom,B_symptom
472,B_symptom,B_symptom
473,I_symptom,I_symptom
474,I_symptom,I_symptom
475,I_symptom,I_symptom
476,I_symptom,I_symptom
477,I_symptom,I_symptom
478,O,I_symptom
479,O,O
480,O,O
481,O,O
482,O,O
483,O,O
484,O,O
485,B_item,B_item
486,I_item,I_item
487,B_item,B_item
488,I_item,I_item
489,O,O
490,O,O
491,O,O
492,B_age,B_datetime
493,I_age,I_datetime
494,I_age,I_datetime
495,O,O
496,O,O
497,O,O
498,O,O
499,O,O
500,O,O
501,B_item,B_item
502,I_item,I_item
503,O,O
504,B_part,B_part
505,I_part,I_part
506,O,I_part
507,O,I_part
508,O,O
509,B_symptom,B_symptom
510,I_symptom,I_symptom
511,O,I_symptom
512,B_symptom,I_symptom
513,O,O
514,O,O
515,O,O
516,O,O
517,O,O
518,O,O
519,O,O
520,O,O
521,O,O
522,O,O
523,O,O
524,O,O
525,O,O
526,O,O
527,O,O
528,O,O
529,O,O
530,O,O
531,O,O
532,O,O
533,B_symptom,B_symptom
534,B_normsymptom,O
535,I_normsymptom,O
536,B_symptom,O
537,B_normsymptom,O
538,I_normsymptom,O
539,O,O
540,O,O
541,O,O
542,O,O
543,O,O
544,O,O
545,O,O
546,O,O
547,O,O
548,O,O
549,B_surgery,B_surgery
550,I_surgery,I_surgery
551,I_surgery,I_surgery
552,I_surgery,I_surgery
553,I_surgery,I_surgery
554,I_surgery,I_surgery
555,O,O
556,B_symptom,O
557,I_symptom,O
558,I_symptom,O
559,I_symptom,O
560,O,O
561,O,O
562,B_symptom,B_symptom
563,I_symptom,I_symptom
564,I_symptom,I_symptom
565,I_symptom,I_symptom
566,B_symptom,B_symptom
567,I_symptom,I_symptom
568,I_symptom,I_symptom
569,I_symptom,I_symptom
570,B_part,B_part
571,I_part,I_part
572,O,O
573,O,B_symptom
574,O,I_symptom
575,B_symptom,I_symptom
576,I_symptom,I_symptom
577,O,O
578,O,O
579,O,O
580,O,O
581,O,O
582,O,O
583,O,O
584,O,O
585,O,O
586,O,O
587,O,O
588,O,O
589,O,O
590,O,O
591,O,O
592,O,O
593,O,O
594,O,O
595,O,O
596,O,O
597,O,O
598,O,O
599,O,O
600,O,O
601,O,O
602,O,O
603,O,O
604,O,O
605,O,O
606,O,O
607,O,O
608,O,O
609,O,O
610,O,O
611,O,O
612,B_cause,B_cause
613,I_cause,I_cause
614,O,O
615,O,O
616,O,O
617,O,O
618,O,O
619,O,O
620,O,O
621,O,O
622,O,O
623,O,O
624,O,O
625,O,O
626,O,O
627,O,O
628,O,O
629,O,O
630,O,O
631,O,O
632,O,O
633,O,O
634,O,O
635,O,O
636,O,O
637,O,O
638,O,O
639,O,O
640,B_symptom,O
641,I_symptom,O
642,I_symptom,O
643,I_symptom,O
644,O,O
645,O,O
646,B_symptom,B_symptom
647,I_symptom,I_symptom
648,I_symptom,I_symptom
649,I_symptom,I_symptom
650,I_symptom,I_symptom
651,O,O
652,O,O
653,O,O
654,O,O
655,O,O
656,O,O
657,O,O
658,O,O
659,O,O
660,O,O
661,O,O
662,O,O
663,O,O
664,O,O
665,O,O
666,O,O
667,O,O
668,B_item,B_item
669,I_item,I_item
670,B_item,B_item
671,I_item,I_item
672,O,O
673,O,O
674,O,O
675,O,O
676,O,O
677,O,O
678,O,O
679,O,O
680,O,O
681,O,O
682,B_normsymptom,B_symptom
683,I_normsymptom,I_symptom
684,I_normsymptom,I_symptom
685,I_normsymptom,I_symptom
686,O,O
687,O,O
688,O,O
689,O,O
690,O,O
691,B_fluid,B_fluid
692,I_fluid,I_fluid
693,I_fluid,I_fluid
694,I_fluid,I_fluid
695,O,O
696,O,O
697,O,O
698,O,O
699,O,O
700,B_item,B_symptom
701,I_item,I_symptom
702,I_item,I_symptom
703,I_item,I_symptom
704,O,O
705,O,O
706,O,O
707,O,O
708,O,O
709,O,O
710,O,O
711,O,O
712,O,O
713,O,O
714,O,O
715,O,O
716,O,O
717,O,O
718,O,O
719,B_pysiology,B_physiology
720,I_pysiology,I_physiology
721,O,O
722,O,O
723,O,O
724,O,O
725,O,O
726,O,O
727,O,O
728,O,O
729,O,O
730,O,O
731,O,O
732,O,O
733,O,O
734,O,O
735,O,O
736,O,O
737,O,O
738,O,O
739,O,O
740,O,O
741,B_emotion,O
742,I_emotion,O
743,O,O
744,O,O
745,O,O
746,O,O
747,O,O
748,O,O
749,O,O
750,O,O
751,O,O
752,O,O
753,O,O
754,O,O
755,O,O
756,O,O
757,O,O
758,O,O
759,O,O
760,O,O
761,O,O
762,O,O
763,O,O
764,O,O
765,O,O
766,O,O
767,O,O
768,O,O
769,O,O
770,O,O
771,O,O
772,O,O
773,O,O
774,O,O
775,O,O
776,O,O
777,O,O
778,O,O
779,O,O
780,O,O
781,O,O
782,O,O
783,O,O
784,O,O
785,O,O
786,O,O
787,O,O
788,O,O
789,O,O
790,O,O
791,O,O
792,O,O
793,O,O
794,O,O
795,O,O
796,O,O
797,O,O
798,O,O
799,O,O
800,O,O
801,O,O
802,O,O
803,O,O
804,O,O
805,O,O
806,O,O
807,O,O
808,O,O
809,O,O
810,O,O
811,O,O
812,O,O
813,O,O
814,O,O
815,O,O
816,O,O
817,O,O
818,O,O
819,O,O
820,O,O
821,B_pysiology,B_physiology
822,I_pysiology,I_physiology
823,O,O
824,O,O
825,B_part,B_part
826,I_part,I_part
827,O,O
828,O,O
829,O,O
830,B_symptom,O
831,I_symptom,O
832,O,O
833,O,O
834,O,O
835,O,O
836,O,O
837,B_emotion,O
838,I_emotion,O
839,I_emotion,O
840,I_emotion,O
841,O,O
842,O,O
843,O,O
844,O,O
845,O,O
846,O,O
847,O,O
848,O,B_symptom
849,B_symptom,I_symptom
850,I_symptom,I_symptom
851,I_symptom,I_symptom
852,I_symptom,I_symptom
853,O,O
854,O,O
855,O,O
856,O,O
857,B_symptom,O
858,I_symptom,O
859,I_symptom,O
860,B_surgery,B_surgery
861,I_surgery,I_surgery
862,I_surgery,I_surgery
863,O,O
864,O,O
865,O,O
866,O,O
867,O,O
868,O,O
869,O,O
870,O,O
871,O,O
872,O,O
873,O,O
874,O,O
875,O,O
876,B_symptom,O
877,I_symptom,O
878,I_symptom,O
879,I_symptom,O
880,I_symptom,O
881,O,O
882,O,O
883,O,O
884,O,O
885,O,O
886,B_pysiology,B_physiology
887,I_pysiology,I_physiology
888,O,O
889,B_pysiology,O
890,I_pysiology,O
891,I_pysiology,O
892,B_symptom,O
893,I_symptom,O
894,I_symptom,O
895,I_symptom,O
896,I_symptom,O
897,O,O
898,O,O
899,O,O
900,O,O
901,O,O
902,O,O
903,O,O
904,O,O
905,O,O
906,O,O
907,O,O
908,O,O
909,O,O
910,O,O
911,O,O
912,O,O
913,B_symptom,B_symptom
914,I_symptom,I_symptom
915,O,O
916,B_symptom,B_symptom
917,I_symptom,I_symptom
918,O,O
919,B_symptom,B_symptom
920,I_symptom,I_symptom
921,O,O
922,B_symptom,B_symptom
923,I_symptom,I_symptom
924,I_symptom,I_symptom
925,I_symptom,I_symptom
926,O,O
927,B_symptom,B_symptom
928,I_symptom,I_symptom
929,I_symptom,I_symptom
930,I_symptom,I_symptom
931,O,O
932,O,O
933,O,O
934,O,O
935,O,O
936,O,O
937,O,O
938,O,O
939,O,O
940,O,O
941,O,O
942,O,O
943,B_pysiology,B_symptom
944,I_pysiology,I_symptom
945,O,I_symptom
946,O,I_symptom
947,O,I_symptom
948,O,I_symptom
949,B_symptom,I_symptom
950,I_symptom,I_symptom
951,I_symptom,I_symptom
952,I_symptom,I_symptom
953,I_symptom,I_symptom
954,O,O
955,O,O
956,O,O
957,O,O
958,O,O
959,O,O
960,O,O
961,B_item,O
962,I_item,O
963,I_item,O
964,I_item,O
965,I_item,O
966,I_item,B_item
967,I_item,I_item
968,O,O
969,O,O
970,O,O
971,O,O
972,O,O
973,O,O
974,O,O
975,O,O
976,O,O
977,O,O
978,O,O
979,O,O
980,O,O
981,O,O
982,O,O
983,O,O
984,B_emotion,O
985,I_emotion,O
986,O,O
987,O,O
988,O,O
989,O,O
990,O,O
991,O,O
992,O,O
993,O,O
994,O,O
995,O,O
996,O,O
997,O,O
998,O,O
999,O,O
1000,O,O
1001,O,O
1002,O,O
1003,O,O
1004,O,O
1005,O,O
1006,O,O
1007,O,O
1008,O,O
1009,O,O
1010,O,O
1011,O,O
1012,O,O
1013,O,O
1014,B_qq,O
1015,I_qq,O
1016,I_qq,O
1017,I_qq,O
1018,I_qq,O
1019,I_qq,O
1020,I_qq,O
1021,I_qq,O
1022,I_qq,O
1023,O,O
1024,O,O
1025,O,O
1026,B_wechat,O
1027,I_wechat,O
1028,I_wechat,O
1029,I_wechat,O
1030,I_wechat,O
1031,I_wechat,O
1032,I_wechat,O
1033,I_wechat,O
1034,I_wechat,O
1035,I_wechat,O
1036,I_wechat,O
1037,O,O
1038,O,O
1039,O,O
1040,O,O
1041,O,O
1042,O,O
1043,O,O
1044,O,O
1045,O,O
1046,O,O
1047,O,O
1048,O,O
1049,O,O
1050,O,O
1051,O,O
1052,O,O
1053,O,O
1054,O,O
1055,O,O
1056,O,O
1057,O,O
1058,O,O
1059,O,O
1060,B_price,O
1061,I_price,O
1062,I_price,O
1063,I_price,O
1064,O,O
1065,O,O
1066,B_item,B_item
1067,I_item,I_item
1068,B_item,B_item
1069,I_item,I_item
1070,O,O
1071,O,O
1072,O,O
1073,O,O
1074,O,O
1075,O,O
1076,O,O
1077,O,O
1078,O,O
1079,O,O
1080,O,O
1081,O,O
1082,O,O
1083,O,O
1084,O,O
1085,O,O
1086,O,O
1087,B_emotion,O
1088,O,O
1089,O,O
1090,O,O
1091,O,O
1092,O,O
1093,O,O
1094,O,O
1095,O,O
1096,O,O
1097,O,O
1098,O,O
1099,B_pysiology,O
1100,I_pysiology,O
1101,O,O
1102,O,O
1103,O,O
1104,O,O
1105,O,O
1106,O,O
1107,O,O
1108,O,O
1109,O,O
1110,O,O
1111,O,O
1112,O,O
1113,O,O
1114,O,O
1115,O,O
1116,O,O
1117,O,O
1118,O,O
1119,O,O
1120,O,O
1121,O,O
1122,O,O
1123,O,O
1124,O,O
1125,O,O
1126,O,O
1127,O,O
1128,O,O
1129,O,O
1130,B_othertreatment,O
1131,I_othertreatment,O
1132,B_part,B_item
1133,I_part,I_item
1134,I_part,I_item
1135,O,O
1136,O,O
1137,O,O
1138,O,O
1139,O,O
1140,O,O
1141,O,O
1142,O,O
1143,O,O
1144,O,O
1145,O,O
1146,O,O
1147,O,O
1148,O,O
1149,O,O
1150,O,O
1151,O,O
1152,O,O
1153,B_surgery,B_surgery
1154,I_surgery,I_surgery
1155,I_surgery,I_surgery
1156,O,O
1157,O,O
1158,O,O
1159,B_datetime,O
1160,I_datetime,O
1161,O,O
1162,O,O
1163,O,O
1164,O,O
1165,O,O
1166,O,O
1167,O,O
1168,O,O
1169,O,O
1170,O,O
1171,O,O
1172,O,O
1173,O,O
1174,O,O
1175,O,O
1176,O,O
1177,O,O
1178,O,O
1179,O,O
1180,O,O
1181,O,O
1182,O,O
1183,O,O
1184,O,O
1185,O,O
1186,B_symptom,O
1187,I_symptom,B_symptom
1188,I_symptom,I_symptom
1189,I_symptom,I_symptom
1190,I_symptom,I_symptom
1191,O,O
1192,O,O
1193,B_symptom,B_symptom
1194,I_symptom,I_symptom
1195,O,O
1196,O,O
1197,O,O
1198,O,O
1199,O,O
1200,O,O
1201,O,O
1202,O,O
1203,O,O
1204,O,O
1205,O,O
1206,O,O
1207,O,O
1208,B_surgery,B_surgery
1209,I_surgery,I_surgery
1210,I_surgery,I_surgery
1211,O,O
1212,O,O
1213,O,O
1214,O,O
1215,O,O
1216,O,O
1217,O,O
1218,O,O
1219,O,O
1220,O,O
1221,O,O
1222,B_frequency,B_frequency
1223,I_frequency,I_frequency
1224,I_frequency,I_frequency
1225,I_frequency,I_frequency
1226,I_frequency,B_symptom
1227,I_frequency,I_symptom
1228,O,O
1229,B_name,B_name
1230,O,O
1231,O,O
1232,O,O
1233,O,O
1234,B_cause,B_cause
1235,I_cause,I_cause
1236,O,O
1237,O,O
1238,B_frequency,B_frequency
1239,I_frequency,I_frequency
1240,I_frequency,I_frequency
1241,I_frequency,I_frequency
1242,O,O
1243,B_frequency,B_frequency
1244,I_frequency,I_frequency
1245,I_frequency,I_frequency
1246,I_frequency,I_frequency
1247,O,O
1248,O,O
1249,O,O
1250,B_item,B_item
1251,I_item,I_item
1252,O,O
1253,O,O
1254,O,O
1255,O,O
1256,O,O
1257,B_cause,B_cause
1258,I_cause,I_cause
1259,O,O
1260,O,O
1261,O,O
1262,O,O
1263,O,O
1264,O,B_symptom
1265,B_symptom,I_symptom
1266,I_symptom,I_symptom
1267,O,O
1268,O,O
1269,O,O
1270,O,O
1271,O,O
1272,O,O
1273,O,O
1274,O,O
1275,O,O
1276,O,O
1277,O,O
1278,O,O
1279,O,O
1280,O,O
1281,O,O
1282,O,O
1283,O,O
1284,O,O
1285,O,O
1286,O,O
1287,O,O
1288,O,O
1289,O,O
1290,O,O
1291,O,O
1292,O,O
1293,O,O
1294,O,O
1295,O,O
1296,O,O
1297,O,O
1298,O,O
1299,O,O
1300,O,O
1301,O,O
1302,O,O
1303,O,O
1304,O,O
1305,O,O
1306,O,O
1307,O,O
1308,O,O
1309,O,O
1310,O,O
1311,O,O
1312,O,O
1313,O,O
1314,O,O
1315,O,O
1316,O,O
1317,O,O
1318,O,O
1319,O,O
1320,O,O
1321,O,O
1322,B_symptom,B_symptom
1323,I_symptom,I_symptom
1324,I_symptom,I_symptom
1325,O,O
1326,O,O
1327,O,O
1328,O,O
1329,O,O
1330,O,O
1331,O,O
1332,O,O
1333,O,O
1334,O,O
1335,O,O
1336,O,O
1337,O,O
1338,O,O
1339,O,O
1340,O,O
1341,O,O
1342,O,O
1343,B_pysiology,O
1344,I_pysiology,O
1345,I_pysiology,O
1346,O,O
1347,O,O
1348,O,O
1349,O,O
1350,O,O
1351,O,O
1352,O,O
1353,O,O
1354,O,O
1355,O,O
1356,O,O
1357,B_item,B_item
1358,I_item,I_item
1359,I_item,I_item
1360,I_item,I_item
1361,O,O
1362,O,O
1363,B_symptom,B_symptom
1364,I_symptom,I_symptom
1365,I_symptom,I_symptom
1366,I_symptom,I_symptom
1367,B_symptom,I_symptom
1368,I_symptom,I_symptom
1369,I_symptom,I_symptom
1370,I_symptom,I_symptom
1371,O,O
1372,O,O
1373,O,O
1374,O,O
1375,O,O
1376,O,O
1377,O,O
1378,O,O
1379,B_normsymptom,O
1380,I_normsymptom,O
1381,I_normsymptom,B_symptom
1382,I_normsymptom,I_symptom
1383,I_normsymptom,I_symptom
1384,I_normsymptom,I_symptom
1385,O,O
1386,O,O
1387,O,O
1388,O,O
1389,O,O
1390,O,O
1391,O,O
1392,O,O
1393,O,O
1394,O,O
1395,O,O
1396,O,O
1397,O,O
1398,B_medicine,O
1399,I_medicine,O
1400,I_medicine,O
1401,O,O
1402,B_item,B_item
1403,I_item,I_item
1404,O,O
1405,O,O
1406,O,O
1407,O,O
1408,O,O
1409,O,O
1410,O,O
1411,O,O
1412,O,O
1413,O,O
1414,O,O
1415,O,O
1416,O,O
1417,B_symptom,B_symptom
1418,I_symptom,I_symptom
1419,I_symptom,I_symptom
1420,I_symptom,I_symptom
1421,O,O
1422,O,O
1423,O,O
1424,O,O
1425,O,O
1426,B_symptom,B_symptom
1427,I_symptom,I_symptom
1428,O,O
1429,O,O
1430,O,O
1431,O,O
1432,O,O
1433,O,O
1434,O,O
1435,O,O
1436,O,O
1437,B_item,B_part
1438,I_item,I_part
1439,I_item,I_part
1440,O,O
1441,O,O
1442,O,O
1443,O,O
1444,O,O
1445,O,O
1446,O,O
1447,O,O
1448,O,O
1449,O,O
1450,O,O
1451,O,O
1452,O,O
1453,O,O
1454,O,O
1455,O,O
1456,O,O
1457,O,O
1458,O,O
1459,O,O
1460,O,O
1461,O,O
1462,O,O
1463,O,O
1464,O,O
1465,O,O
1466,O,O
1467,O,O
1468,O,O
1469,O,O
1470,O,O
1471,O,O
1472,O,O
1473,O,O
1474,O,O
1475,O,O
1476,O,O
1477,O,O
1478,O,O
1479,O,O
1480,O,O
1481,O,O
1482,O,O
1483,O,O
1484,O,O
1485,O,O
1486,O,O
1487,O,O
1488,O,O
1489,O,O
1490,O,O
1491,O,O
1492,O,O
1493,O,O
1494,O,O
1495,O,O
1496,O,O
1497,O,O
1498,O,O
1499,O,O
1500,O,O
1501,O,O
1502,O,O
1503,O,O
1504,O,O
1505,O,O
1506,O,O
1507,O,O
1508,O,O
1509,O,O
1510,O,O
1511,O,O
1512,O,O
1513,B_symptom,B_symptom
1514,I_symptom,I_symptom
1515,I_symptom,I_symptom
1516,I_symptom,I_symptom
1517,I_symptom,I_symptom
1518,O,O
1519,O,O
1520,O,O
1521,O,O
1522,O,O
1523,O,O
1524,O,O
1525,O,O
1526,B_frequency,O
1527,I_frequency,O
1528,B_symptom,B_symptom
1529,I_symptom,I_symptom
1530,I_symptom,I_symptom
1531,I_symptom,I_symptom
1532,O,O
1533,O,O
1534,B_othertreatment,O
1535,I_othertreatment,O
1536,O,O
1537,O,O
1538,O,O
1539,O,O
1540,O,O
1541,O,O
1542,B_frequency,B_frequency
1543,I_frequency,I_frequency
1544,I_frequency,I_frequency
1545,I_frequency,I_frequency
1546,O,O
1547,O,O
1548,O,O
1549,O,O
1550,O,O
1551,O,O
1552,O,O
1553,O,O
1554,O,O
1555,O,O
1556,O,O
1557,O,O
1558,O,O
1559,O,O
1560,O,O
1561,O,O
1562,O,O
1563,O,O
1564,B_part,B_part
1565,I_part,I_part
1566,O,O
1567,O,O
1568,B_symptom,B_symptom
1569,I_symptom,I_symptom
1570,I_symptom,I_symptom
1571,I_symptom,I_symptom
1572,O,O
1573,O,O
1574,O,O
1575,O,O
1576,O,O
1577,O,O
1578,O,O
1579,O,O
1580,O,O
1581,O,O
1582,O,O
1583,O,O
1584,O,O
1585,O,O
1586,B_normsymptom,O
1587,I_normsymptom,O
1588,I_normsymptom,O
1589,O,O
1590,O,O
1591,O,O
1592,O,O
1593,O,O
1594,B_othertreatment,O
1595,I_othertreatment,O
1596,O,O
1597,O,O
1598,O,O
1599,O,O
1600,O,O
1601,O,O
1602,O,O
1603,O,O
1604,O,O
1605,O,O
1606,O,O
1607,O,O
1608,O,O
1609,O,O
1610,O,O
1611,O,O
1612,O,O
1613,O,O
1614,O,O
1615,O,O
1616,O,O
1617,O,O
1618,O,O
1619,O,B_check
1620,O,I_check
1621,O,I_check
1622,O,I_check
1623,O,O
1624,O,O
1625,O,O
1626,O,O
1627,O,O
1628,O,O
1629,O,O
1630,O,O
1631,O,O
1632,O,O
1633,O,O
1634,O,O
1635,O,O
1636,O,O
1637,B_age,B_age
1638,I_age,I_age
1639,I_age,O
1640,O,O
1641,O,O
1642,O,O
1643,O,O
1644,O,B_symptom
1645,O,O
1646,O,O
1647,O,O
1648,O,O
1649,O,O
1650,O,O
1651,O,O
1652,O,O
1653,O,O
1654,O,O
1655,O,O
1656,O,O
1657,O,O
1658,O,O
1659,O,O
1660,O,O
1661,O,O
1662,B_datetime,O
1663,I_datetime,O
1664,I_datetime,O
1665,B_pysiology,O
1666,I_pysiology,O
1667,O,O
1668,O,O
1669,O,O
1670,O,O
1671,O,O
1672,O,O
1673,O,O
1674,O,O
1675,O,O
1676,O,O
1677,O,O
1678,O,O
1679,O,O
1680,O,O
1681,O,O
1682,O,O
1683,O,O
1684,O,O
1685,O,O
1686,O,O
1687,O,O
1688,O,O
1689,O,O
1690,O,O
1691,O,O
1692,O,O
1693,O,O
1694,O,O
1695,O,O
1696,O,O
1697,O,O
1698,O,O
1699,O,O
1700,O,O
1701,O,O
1702,O,O
1703,O,O
1704,O,O
1705,O,O
1706,O,O
1707,O,O
1708,O,O
1709,O,O
1710,O,O
1711,O,O
1712,O,O
1713,O,O
1714,O,O
1715,O,O
1716,O,O
1717,O,O
1718,O,O
1719,O,O
1720,O,O
1721,O,O
1722,O,O
1723,O,O
1724,O,O
1725,O,O
1726,O,O
1727,O,O
1728,O,O
1729,O,O
1730,O,O
1731,O,O
1732,O,O
1733,O,O
1734,O,O
1735,O,O
1736,B_part,B_part
1737,B_part,I_part
1738,O,O
1739,O,O
1740,O,O
1741,O,O
1742,O,O
1743,O,O
1744,O,O
1745,O,O
1746,O,O
1747,O,O
1748,O,O
1749,O,O
1750,O,O
1751,O,O
1752,O,O
1753,O,O
1754,O,O
1755,O,O
1756,O,O
1757,O,O
1758,O,O
1759,O,O
1760,O,O
1761,O,O
1762,O,O
1763,O,O
1764,O,O
1765,O,O
1766,O,O
1767,O,O
1768,O,O
