,word,bz_bio,re_bio
348,疙,I_symptom,I_symptom
349,瘩,I_symptom,I_symptom
350,疼,B_symptom,B_symptom
351,有,B_symptom,I_symptom
352,浓,I_symptom,I_symptom
353,点,I_symptom,I_symptom
354,怎,O,O
355,么,O,O
356,回,O,O
357,事,O,O
358,那,O,O
359,对,O,O
360,以,O,O
361,后,O,O
362,怀,B_physiology,B_physiology
363,孕,I_physiology,I_physiology
364,危,O,O
365,害,O,O
366,大,O,O
367,吗,O,O
368,咱,O,O
369,们,O,O
370,是,O,O
371,商,O,O
372,丘,O,O
373,妇,O,O
374,科,O,O
375,医,O,O
376,院,O,O
377,，,O,O
378,计,O,O
379,生,O,O
380,定,O,O
381,点,O,O
382,单,O,O
383,位,O,O
384,，,O,O
385,无,B_surgery,B_surgery
386,痛,I_surgery,I_surgery
387,人,I_surgery,I_surgery
388,流,I_surgery,I_surgery
389,和,O,O
390,药,B_other_treatment,B_othertreatment
391,流,I_other_treatment,I_othertreatment
392,都,O,O
393,可,O,O
394,以,O,O
395,做,O,O
396,人,B_surgery,B_surgery
397,流,I_surgery,I_surgery
398,做,O,O
399,过,O,O
400,三,O,O
401,次,O,O
402,还,O,O
403,能,O,O
404,怀,B_physiology,B_physiology
405,孕,I_physiology,I_physiology
406,吗,O,O
407,？,O,O
408,或,O,O
409,者,O,O
410,是,O,O
411,否,O,O
412,有,O,O
413,吃,O,O
414,比,O,O
415,如,O,O
416,激,B_medicine,O
417,素,I_medicine,O
418,类,I_medicine,O
419,，,O,O
420,减,B_medicine,B_medicine
421,肥,I_medicine,I_medicine
422,药,I_medicine,I_medicine
423,，,O,O
424,避,B_medicine,B_medicine
425,孕,I_medicine,I_medicine
426,药,I_medicine,I_medicine
427,等,O,O
428,等,O,O
429,？,O,O
430,做,O,O
431,修,B_surgery,O
432,付,I_surgery,O
433,手,I_surgery,O
434,术,I_surgery,O
435,，,O,O
436,怎,O,O
437,么,O,O
438,做,O,O
439,做,O,O
440,过,O,O
441,就,O,O
442,是,O,O
443,先,B_symptom,B_symptom
444,天,I_symptom,I_symptom
445,性,I_symptom,I_symptom
446,没,I_symptom,I_symptom
447,有,I_symptom,I_symptom
448,子,I_symptom,I_symptom
449,宫,I_symptom,I_symptom
450,在,O,O
451,你,O,O
452,们,O,O
453,医,O,O
454,院,O,O
455,可,O,O
456,以,O,O
457,用,O,O
458,社,O,O
459,保,O,O
460,卡,O,O
461,吗,O,O
462,每,O,O
463,次,O,O
464,来,O,O
465,也,O,O
466,就,O,O
467,三,B_datetime,B_datetime
468,天,I_datetime,I_datetime
469,就,O,O
470,完,O,O
471,事,O,O
472,儿,O,O
473,了,O,O
474,好,O,O
475,那,O,O
476,我,O,O
477,去,O,O
478,医,O,O
479,院,O,O
480,挂,O,O
481,号,O,O
482,吗,O,O
483,中,B_datetime,B_datetime
484,午,I_datetime,I_datetime
485,之,O,O
486,前,O,O
487,把,O,O
488,应,O,O
489,该,O,O
490,就,O,O
491,是,O,O
492,月,B_physiology,B_physiology
493,经,I_physiology,I_physiology
494,，,O,O
495,没,O,O
496,事,O,O
497,吧,O,O
498,2,B_age,B_age
499,8,I_age,I_age
500,岁,I_age,I_age
501,，,O,O
502,没,O,O
503,有,O,O
504,男,O,O
505,友,O,O
506,，,O,O
507,没,O,O
508,有,O,O
509,性,O,O
510,生,O,O
511,活,O,O
512,天,O,O
513,上,O,O
514,没,O,O
515,有,O,O
516,掉,O,O
517,馅,O,O
518,饼,O,O
519,的,O,O
520,外,B_symptom,B_symptom
521,阴,I_symptom,I_symptom
522,瘙,I_symptom,I_symptom
523,痒,I_symptom,I_symptom
524,红,B_symptom,B_symptom
525,肿,I_symptom,I_symptom
526,，,O,O
527,异,B_symptom,B_symptom
528,味,I_symptom,I_symptom
529,，,O,O
530,白,B_symptom,B_symptom
531,带,I_symptom,I_symptom
532,异,I_symptom,I_symptom
533,常,I_symptom,I_symptom
534,是,O,O
535,有,O,O
536,妇,B_symptom,B_sickness
537,科,I_symptom,I_sickness
538,炎,I_symptom,I_sickness
539,症,I_symptom,I_sickness
540,了,O,O
541,，,O,O
542,嗯,O,O
543,嗯,O,O
544,，,O,O
545,咱,O,O
546,们,O,O
547,现,O,O
548,在,O,O
549,正,O,O
550,在,O,O
551,开,O,O
552,展,O,O
553,妇,O,O
554,科,O,O
555,公,O,O
556,益,O,O
557,体,O,O
558,检,O,O
559,活,O,O
560,动,O,O
561,检,O,O
562,查,O,O
563,b,B_check,B_check
564,超,I_check,I_check
565,一,O,O
566,共,O,O
567,差,O,O
568,不,O,O
569,多,O,O
570,需,O,O
571,要,O,O
572,多,O,O
573,少,O,O
574,钱,O,O
575,北,B_address,B_address
576,京,I_address,I_address
577,，,O,O
578,王,O,O
579,丽,O,O
580,平,O,O
581,，,O,O
582,2,B_age,B_age
583,5,I_age,I_age
584,岁,I_age,I_age
585,，,O,O
586,没,O,O
587,有,O,O
588,性,O,O
589,生,O,O
590,活,O,O
591,，,O,O
592,一,O,O
593,直,O,O
594,有,O,O
595,月,B_physiology,B_physiology
596,经,I_physiology,I_physiology
597,而,O,O
598,且,O,O
599,很,B_symptom,O
600,多,I_symptom,O
601,，,O,O
602,持,B_symptom,O
603,续,I_symptom,O
604,一,I_symptom,B_datetime
605,个,I_symptom,I_datetime
606,多,I_symptom,I_datetime
607,月,I_symptom,I_datetime
608,了,O,O
609,，,O,O
610,现,O,O
611,在,O,O
612,胃,B_symptom,B_symptom
613,疼,I_symptom,I_symptom
614,，,O,O
615,头,B_symptom,B_symptom
616,晕,I_symptom,I_symptom
617,恶,B_symptom,B_symptom
618,心,I_symptom,I_symptom
619,怎,O,O
620,么,O,O
621,办,O,O
622,尤,O,O
623,其,O,O
624,你,O,O
625,长,B_cause,O
626,期,I_cause,O
627,炎,I_cause,B_symptom
628,症,I_cause,I_symptom
629,感,I_cause,I_symptom
630,染,I_cause,I_symptom
631,的,O,O
632,话,O,O
633,，,O,O
634,没,O,O
635,有,O,O
636,得,O,O
637,到,O,O
638,有,O,O
639,效,O,O
640,治,O,O
641,疗,O,O
642,，,O,O
643,是,O,O
644,很,O,O
645,容,O,O
646,易,O,O
647,上,B_symptom,O
648,行,I_symptom,O
649,感,I_symptom,O
650,染,I_symptom,O
651,的,O,O
652,，,O,O
653,出,O,O
654,现,O,O
655,一,O,O
656,些,O,O
657,宫,B_sickness,B_sickness
658,颈,I_sickness,I_sickness
659,炎,I_sickness,I_sickness
660,，,O,O
661,附,B_sickness,B_sickness
662,件,I_sickness,I_sickness
663,炎,I_sickness,I_sickness
664,，,O,O
665,盆,B_sickness,B_sickness
666,腔,I_sickness,I_sickness
667,炎,I_sickness,I_sickness
668,等,O,O
669,情,O,O
670,况,O,O
671,全,O,O
672,程,O,O
673,一,B_datetime,B_datetime
674,个,I_datetime,I_datetime
675,小,I_datetime,I_datetime
676,时,I_datetime,I_datetime
677,左,O,O
678,右,O,O
679,的,O,O
680,这,O,O
681,种,O,O
682,情,O,O
683,况,O,O
684,第,O,O
685,一,O,O
686,考,O,O
687,虑,O,O
688,子,B_cause,B_part
689,宫,I_cause,I_part
690,内,I_cause,O
691,有,I_cause,O
692,异,I_cause,O
693,常,I_cause,O
694,导,O,O
695,致,O,O
696,阴,B_symptom,B_symptom
697,道,I_symptom,I_symptom
698,不,I_symptom,I_symptom
699,规,I_symptom,I_symptom
700,则,I_symptom,I_symptom
701,出,I_symptom,I_symptom
702,血,I_symptom,I_symptom
703,，,O,O
704,第,O,O
705,二,O,O
706,就,O,O
707,是,O,O
708,宫,B_part,B_part
709,颈,I_part,I_part
710,方,O,O
711,面,O,O
712,的,O,O
713,疾,O,O
714,病,O,O
715,引,O,O
716,起,O,O
717,的,O,O
718,出,B_symptom,B_symptom
719,血,I_symptom,I_symptom
720,，,O,O
721,另,O,O
722,外,O,O
723,不,O,O
724,排,O,O
725,除,O,O
726,是,O,O
727,尿,B_symptom,B_sickness
728,路,I_symptom,I_sickness
729,感,I_symptom,I_sickness
730,染,I_symptom,I_sickness
731,出,I_symptom,B_symptom
732,血,I_symptom,I_symptom
733,的,O,O
734,，,O,O
735,出,B_symptom,B_symptom
736,血,I_symptom,I_symptom
737,说,O,O
738,明,O,O
739,肯,O,O
740,定,O,O
741,有,O,O
742,异,O,O
743,常,O,O
744,的,O,O
745,，,O,O
746,这,O,O
747,种,O,O
748,异,O,O
749,常,O,O
750,现,O,O
751,象,O,O
752,最,O,O
753,好,O,O
754,重,O,O
755,视,O,O
756,起,O,O
757,来,O,O
758,，,O,O
759,以,O,O
760,免,O,O
761,引,O,O
762,起,O,O
763,妇,O,O
764,科,O,O
765,其,O,O
766,他,O,O
767,并,O,O
768,发,O,O
769,症,O,O
770,这,O,O
771,情,O,O
772,况,O,O
773,如,O,O
774,果,O,O
775,不,O,O
776,制,O,O
777,止,O,O
778,会,O,O
779,怎,O,O
780,样,O,O
781,吃,B_other_treatment,B_othertreatment
782,药,I_other_treatment,I_othertreatment
783,两,B_datetime,B_datetime
784,个,I_datetime,I_datetime
785,星,I_datetime,I_datetime
786,期,I_datetime,I_datetime
787,了,O,O
788,第,B_symptom,B_symptom
789,二,I_symptom,I_symptom
790,杠,I_symptom,I_symptom
791,浅,I_symptom,I_symptom
792,我,O,O
793,之,O,O
794,前,O,O
795,看,O,O
796,过,O,O
797,中,O,O
798,医,O,O
799,他,O,O
800,说,O,O
801,我,O,O
802,是,O,O
803,受,B_symptom,B_symptom
804,凉,I_symptom,I_symptom
805,了,O,I_symptom
806,体,B_symptom,I_symptom
807,寒,I_symptom,I_symptom
808,您,O,O
809,是,O,O
810,哪,O,O
811,个,O,O
812,区,O,O
813,的,O,O
814,朋,O,O
815,友,O,O
816,呢,O,O
817,你,O,O
818,多,O,O
819,大,O,O
820,年,O,O
821,龄,O,O
822,了,O,O
823,，,O,O
824,有,O,O
825,腰,B_symptom,B_symptom
826,酸,I_symptom,I_symptom
827,腹,B_symptom,B_symptom
828,痛,I_symptom,I_symptom
829,吗,O,O
830,这,O,O
831,个,O,O
832,和,O,O
833,我,O,O
834,的,O,O
835,末,O,O
836,次,O,O
837,月,B_physiology,B_physiology
838,经,I_physiology,I_physiology
839,6,B_datetime,B_datetime
840,月,I_datetime,I_datetime
841,4,I_datetime,I_datetime
842,号,I_datetime,I_datetime
843,一,O,O
844,致,O,O
845,吗,O,O
846,？,O,O
847,我,O,O
848,爱,O,O
849,人,O,O
850,检,O,O
851,查,O,O
852,说,O,O
853,是,O,O
854,霉,B_sickness,B_sickness
855,菌,I_sickness,I_sickness
856,性,I_sickness,I_sickness
857,阴,I_sickness,I_sickness
858,道,I_sickness,I_sickness
859,炎,I_sickness,I_sickness
860,，,O,O
861,难,O,O
862,治,O,O
863,吗,O,O
864,！,O,O
865,注,O,O
866,意,O,O
867,什,O,O
868,么,O,O
869,去,O,O
870,的,O,O
871,话,O,O
872,我,O,O
873,妈,O,O
874,拿,O,O
875,着,O,O
876,检,O,O
877,查,O,O
878,单,O,O
879,就,O,O
880,不,O,O
881,用,O,O
882,在,O,O
883,检,O,O
884,查,O,O
885,了,O,O
886,吧,O,O
887,每,O,O
888,次,O,O
889,来,O,O
890,月,B_physiology,B_physiology
891,经,I_physiology,I_physiology
892,都,O,O
893,头,B_symptom,B_symptom
894,痛,I_symptom,I_symptom
895,4,B_age,B_age
896,4,I_age,I_age
897,岁,I_age,I_age
898,，,O,O
899,出,B_symptom,B_symptom
900,血,I_symptom,I_symptom
901,很,I_symptom,I_symptom
902,少,I_symptom,I_symptom
903,我,O,O
904,大,B_physiology,B_symptom
905,姨,I_physiology,I_symptom
906,妈,I_physiology,I_symptom
907,推,B_symptom,I_symptom
908,迟,I_symptom,I_symptom
909,了,O,O
910,一,B_datetime,B_datetime
911,天,I_datetime,I_datetime
912,谢,O,O
913,谢,O,O
914,了,O,O
915,不,O,O
916,用,O,O
917,了,O,O
918,白,B_symptom,B_symptom
919,色,I_symptom,I_symptom
920,，,O,O
921,没,O,O
922,有,O,O
923,。,O,O
924,每,O,O
925,次,O,O
926,过,O,O
927,性,B_physiology,B_physiology
928,生,I_physiology,I_physiology
929,活,I_physiology,I_physiology
930,的,O,O
931,时,O,O
932,候,O,O
933,老,O,O
934,公,O,O
935,弟,O,O
936,弟,O,O
937,上,O,O
938,有,O,O
939,很,B_symptom,O
940,多,I_symptom,O
941,白,I_symptom,B_symptom
942,色,I_symptom,I_symptom
943,的,I_symptom,I_symptom
944,这,O,O
945,个,O,O
946,一,O,O
947,般,O,O
948,是,O,O
949,需,O,O
950,要,O,O
951,手,O,O
952,术,O,O
953,治,O,O
954,疗,O,O
955,的,O,O
956,药,O,O
957,物,O,O
958,没,O,O
959,什,O,O
960,么,O,O
961,效,O,O
962,果,O,O
963,的,O,O
964,怎,O,O
965,么,O,O
966,个,O,O
967,做,O,O
968,法,O,O
969,？,O,O
970,费,O,O
971,用,O,O
972,。,O,O
973,好,O,O
974,的,O,O
975,，,O,O
976,是,O,O
977,阴,B_symptom,B_symptom
978,道,I_symptom,I_symptom
979,口,I_symptom,I_symptom
980,瘙,I_symptom,I_symptom
981,痒,I_symptom,I_symptom
982,么,O,O
983,过,O,O
984,几,O,O
985,次,O,O
986,是,O,O
987,不,O,O
988,是,O,O
989,性,B_cause,B_cause
990,生,I_cause,I_cause
991,活,I_cause,I_cause
992,不,I_cause,I_cause
993,卫,I_cause,I_cause
994,生,I_cause,I_cause
995,我,O,O
996,月,B_physiology,B_physiology
997,经,I_physiology,I_physiology
998,原,O,O
999,本,O,O
1000,是,O,O
1001,在,O,O
1002,一,O,O
1003,个,O,O
1004,小,O,O
1005,医,O,O
1006,院,O,O
1007,，,O,O
1008,他,O,O
1009,是,O,O
1010,专,O,O
1011,门,O,O
1012,检,O,O
1013,妇,O,O
1014,科,O,O
1015,和,O,O
1016,内,O,O
1017,科,O,O
1018,的,O,O
1019,，,O,O
1020,女,O,O
1021,医,O,O
1022,生,O,O
1023,就,O,O
1024,给,O,O
1025,我,O,O
1026,开,O,O
1027,了,O,O
1028,药,O,O
1029,，,O,O
1030,我,O,O
1031,才,O,O
1032,来,O,O
1033,的,O,O
1034,月,B_physiology,B_physiology
1035,经,I_physiology,I_physiology
1036,。,O,O
1037,嗯,O,O
1038,那,O,O
1039,你,O,O
1040,现,O,O
1041,在,O,O
1042,的,O,O
1043,话,O,O
1044,就,O,O
1045,建,O,O
1046,议,O,O
1047,检,O,O
1048,查,O,O
1049,后,O,O
1050,选,O,O
1051,择,O,O
1052,适,O,O
1053,合,O,O
1054,你,O,O
1055,服,O,O
1056,用,O,O
1057,的,O,O
1058,药,O,O
1059,物,O,O
1060,的,O,O
1061,停,B_symptom,B_symptom
1062,经,I_symptom,I_symptom
1063,三,I_symptom,B_datetime
1064,年,I_symptom,I_datetime
1065,今,B_datetime,B_datetime
1066,天,I_datetime,I_datetime
1067,出,O,O
1068,了,O,O
1069,少,B_symptom,O
1070,量,I_symptom,O
1071,的,I_symptom,O
1072,血,I_symptom,B_fluid
1073,是,O,O
1074,什,O,O
1075,么,O,O
1076,问,O,O
1077,题,O,O
1078,不,O,O
1079,知,O,O
1080,道,O,O
1081,啊,O,O
1082,，,O,O
1083,就,O,O
1084,给,O,O
1085,医,O,O
1086,生,O,O
1087,了,O,O
1088,一,O,O
1089,般,O,O
1090,怀,B_physiology,B_physiology
1091,孕,I_physiology,I_physiology
1092,三,B_datetime,B_datetime
1093,十,I_datetime,I_datetime
1094,五,I_datetime,I_datetime
1095,天,I_datetime,I_datetime
1096,左,O,O
1097,右,O,O
1098,就,O,O
1099,可,O,O
1100,以,O,O
1101,看,O,O
1102,到,O,O
1103,好,O,O
1104,像,O,O
1105,献,O,O
1106,过,O,O
1107,血,O,O
1108,之,O,O
1109,后,O,O
1110,就,O,O
1111,这,O,O
1112,样,O,O
1113,，,O,O
1114,2,O,B_symptom
1115,0,O,I_symptom
1116,0,O,I_symptom
1117,m,O,I_symptom
1118,l,O,I_symptom
1119,外,B_symptom,B_symptom
1120,阴,I_symptom,I_symptom
1121,红,I_symptom,I_symptom
1122,肿,I_symptom,I_symptom
1123,，,O,O
1124,内,B_symptom,B_symptom
1125,阴,I_symptom,I_symptom
1126,瘙,I_symptom,I_symptom
1127,痒,I_symptom,I_symptom
1128,怎,O,O
1129,么,O,O
1130,回,O,O
1131,事,O,O
1132,那,O,O
1133,说,O,O
1134,的,O,O
1135,不,O,O
1136,是,O,O
1137,不,O,O
1138,见,O,O
1139,红,O,O
1140,了,O,O
1141,再,O,O
1142,做,O,O
1143,检,O,O
1144,查,O,O
1145,吗,O,O
1146,？,O,O
1147,不,O,O
1148,会,O,O
1149,造,O,O
1150,成,O,O
1151,处,B_symptom,B_symptom
1152,女,I_symptom,I_symptom
1153,膜,I_symptom,I_symptom
1154,破,I_symptom,I_symptom
1155,损,I_symptom,I_symptom
1156,吗,O,O
1157,怎,O,O
1158,么,O,O
1159,样,O,O
1160,能,O,O
1161,调,O,O
1162,理,O,O
1163,可,O,O
1164,以,O,O
1165,当,O,O
1166,天,O,O
1167,出,O,O
1168,院,O,O
1169,吗,O,O
1170,第,O,O
1171,一,O,O
1172,次,O,O
1173,延,B_symptom,B_symptom
1174,迟,I_symptom,I_symptom
1175,[,O,O
1176,麻,O,O
1177,烦,O,O
1178,您,O,O
1179,了,O,O
1180,，,O,O
1181,等,O,O
1182,我,O,O
1183,回,O,O
1184,去,O,O
1185,啦,O,O
1186,把,O,O
1187,检,O,O
1188,查,O,O
1189,单,O,O
1190,子,O,O
1191,您,O,O
1192,给,O,O
1193,看,O,O
1194,看,O,O
1195,，,O,O
1196,怎,O,O
1197,么,O,O
1198,回,O,O
1199,事,O,O
1200,，,O,O
1201,我,O,O
1202,不,O,O
1203,怎,O,O
1204,么,O,O
1205,放,O,O
1206,心,O,O
1207,，,O,O
1208,谢,O,O
1209,谢,O,O
1210,啦,O,O
1211,那,O,O
1212,这,O,O
1213,样,O,O
1214,吧,O,O
1215,你,O,O
1216,说,O,O
1217,一,O,O
1218,下,O,O
1219,你,O,O
1220,的,O,O
1221,Q,O,O
1222,微,O,O
1223,信,O,O
1224,。,O,O
1225,我,O,O
1226,加,O,O
1227,你,O,O
1228,，,O,O
1229,也,O,O
1230,方,O,O
1231,便,O,O
1232,有,O,O
1233,什,O,O
1234,么,O,O
1235,问,O,O
1236,题,O,O
1237,你,O,O
1238,能,O,O
1239,联,O,O
1240,系,O,O
1241,到,O,O
1242,我,O,O
1243,，,O,O
1244,我,O,O
1245,是,O,O
1246,咱,O,O
1247,们,O,O
1248,医,O,O
1249,院,O,O
1250,的,O,O
1251,董,B_doctor,B_doctor
1252,医,I_doctor,I_doctor
1253,生,I_doctor,I_doctor
1254,刚,O,O
1255,好,O,O
1256,这,B_datetime,B_datetime
1257,个,I_datetime,I_datetime
1258,月,I_datetime,I_datetime
1259,打,O,O
1260,算,O,O
1261,体,O,B_check
1262,检,O,I_check
1263,白,B_fluid,B_fluid
1264,带,I_fluid,I_fluid
1265,是,O,O
1266,妇,O,O
1267,科,O,O
1268,晴,O,O
1269,雨,O,O
1270,表,O,O
1271,，,O,O
1272,白,B_fluid,B_fluid
1273,带,I_fluid,I_fluid
1274,量,O,O
1275,和,O,O
1276,颜,O,O
1277,色,O,O
1278,的,O,O
1279,改,O,O
1280,变,O,O
1281,是,O,O
1282,提,O,O
1283,示,O,O
1284,有,O,O
1285,妇,B_symptom,B_sickness
1286,科,I_symptom,I_sickness
1287,炎,I_symptom,I_sickness
1288,症,I_symptom,I_sickness
1289,这,O,O
1290,边,O,O
1291,做,O,O
1292,唐,B_check,B_check
1293,氏,I_check,I_check
1294,筛,I_check,I_check
1295,查,I_check,I_check
1296,吗,O,O
1297,排,O,B_symptom
1298,不,O,I_symptom
1299,出,O,I_symptom
1300,毒,O,I_symptom
1301,素,O,I_symptom
1302,了,O,O
1303,因,O,O
1304,为,O,O
1305,不,O,O
1306,想,O,O
1307,让,O,O
1308,我,O,O
1309,男,O,O
1310,朋,O,O
1311,友,O,O
1312,知,O,O
1313,道,O,O
1314,老,O,O
1315,公,O,O
1316,的,O,O
1317,阴,B_part,B_symptom
1318,茎,I_part,I_symptom
1319,上,O,I_symptom
1320,也,O,I_symptom
1321,有,B_symptom,I_symptom
1322,两,I_symptom,I_symptom
1323,块,I_symptom,I_symptom
1324,这,O,O
1325,个,O,O
