question,"kb_name"
" 请问老师，消息可靠吗",edupromotion
" 我想问一下，今年 园林 的专业有哪些院校在招生",edupromotion
" 为什么在北师珠的官网",edupromotion
" 是有什么专业选的呀",edupromotion
" 你好，我想请问2019年华南师范大学专插本专业有哪些？",edupromotion
" 你们会有考前提示的吗",edupromotion
" 老师，请问嘉应插本可以跨年专业嘛",edupromotion
" 这个学校专插本有插商务英语专业的吗老师",edupromotion
" 我打算过两年再考专插本，往届生能报吗",edupromotion
" 你们机构是哪里的？",edupromotion
" 我上去查的时候还没有呢？200年，但没有录入网上。",edupromotion
" 今年的成考华师的录取分数线是多少呀",edupromotion
" 属于哪种大专",edupromotion
" 介绍一下吧。。。",edupromotion
" 考试难吗",edupromotion
" 最近的考试在哪里",edupromotion
" 专插本，大专学前教育专业，能报考汉语言文学专业吗？",edupromotion
" 是中山大学自考吗",edupromotion
" 我这样回去江苏还能继续考吗？而且江苏省三月份的笔试要求上说只给师范生和补考生考",edupromotion
" 有什么区别呢",edupromotion
" 今年是不是广州体育学院接受专插本了？",edupromotion
" 有年龄上限吗",edupromotion
" 到时考试是怎么考的？",edupromotion
" 希望您能帮我介绍一些",edupromotion
" 不知道有啥专业",edupromotion
" 全职妈妈但是户籍是外省的可以报考吗",edupromotion
" 有哪些学校",edupromotion
" 以后呢？",edupromotion
" 你这里只能报东莞的吗？还是广东省内其他地区也可以",edupromotion
" 为什么我咨询的别的机构是可以一年有点又是一年半",edupromotion
" 不是说是要国家认可的专科学历么？",edupromotion
" 考专科几年",edupromotion
" 学习医学有什么专业？",edupromotion
" 电脑这一类的有什么专业？",edupromotion
" 有哪些专业可以选呢？",edupromotion
" 哪里的招生办",edupromotion
" 是成人高考吗？",edupromotion
" 考过一次了，但有门没过，是不是可以补考啊",edupromotion
" 嗯，那个培训是在暨南大学里面？",edupromotion
" 需要多久考到大专证书",edupromotion
" 还有什么学校可以跨专业招人呢 师范专业那种（英语 小学教育 学前教育 类）",edupromotion
" 中山大学可以吗",edupromotion
" 报名是截止到今天吗",edupromotion
" 国家承认学历吗",edupromotion
" 请问转专业的通过率高吗？",edupromotion
" 快速的最快多久？",edupromotion
" 证书都能查到吗？",edupromotion
" 非师范不能报考？",edupromotion
" 老师，你觉得韶关学院的行政管理录取几率高吗？",edupromotion
" 专插本可以换专业？",edupromotion
" 他怎么有两个分数线",edupromotion
" 问题是没信号，你发的通吗？",edupromotion
" 没有普通话证，能先考幼师资格证然后再考普通话吗",edupromotion
" 高技可以升本？",edupromotion
" 就是不懂报什么专业呢",edupromotion
" 要读多少年呢",edupromotion
" 韶关学院的录取分数线是多少啊",edupromotion
" 难度大吗",edupromotion
" 培训班怎么收费的",edupromotion
" 什么是成人高考和普通高考",edupromotion
" 您这边有没有和中山大学合作的呢",edupromotion
" 我听说哪个中山大学的入学考试很难",edupromotion
" 有没有学习美式英语的课",edupromotion
" 有平面设计专业么",edupromotion
" 行政管理大概要多久",edupromotion
" 你是机器人么",edupromotion
" 不是要上课的么",edupromotion
"教师证 是不是初中比小学的难考些？",edupromotion
" 请问自考与专升本有什么区别",edupromotion
" 自考学前教育专科不算吗",edupromotion
" 考试如果不过呢？",edupromotion
"教师资格证 学历太低，无法报考吗",edupromotion
" 除了暨南大学，广东还有哪个学校是全日制的呀",edupromotion
" 你们有哪些专业课程",edupromotion
" 有什么专业",edupromotion
" 应届生，专业科考你选的本科院校的题目吗？",edupromotion
" 专插本的毕业证是全日制的吗",edupromotion
" 有没有社会工作这个专业",edupromotion
" 可报考口腔执业吗",edupromotion
" 现在还有什么学校？",edupromotion
" 专插本录取了是要去上课吗",edupromotion
" 那管理专业呢",edupromotion
" 要成人的吗",edupromotion
" 南方医科大学能自考？",edupromotion
" 我就想挂一个没时间去读可以不",edupromotion
" 大专和本科有什么区别",edupromotion
" 那统考是考？",edupromotion
" 不分学历吗",edupromotion
"教师证 考小学的，难考吗",edupromotion
" 我读英语专业的呢",edupromotion
" 你是机器人还是真人呀？",edupromotion
" 艺术设计是学什么的，以后是做什么的？",edupromotion
