句子,实体,实体类别,意图,
剖宫产,$surgery:剖宫产,surgery,描述就诊史,
不痒，腹痛的话我是最近有喝过碧生源，应该不影响吧？,$symptom:腹痛,symptom,描述症状,
为啥会有阴道炎呀？,$item:阴道炎,item,描述症状,
那应该怎么办,无,无,咨询治疗方式,
咋预约,无,无,确定预约时间,
半年。  55岁,无,无,描述症状,
阴道有点瘙痒,$symptom:瘙痒,symptom,描述症状,
需要检查什么,无,无,咨询检查方式,
而且疼的不厉害,$symptom:疼,symptom,描述症状,
这个病好看不看,无,无,咨询治疗方式,
好的 谢谢您了 妈妈说明天带我去看,$datetime:明天,datetime,确定预约时间,
要痛才会有血，不痛就没有了,$symptom:要痛才会有血,symptom,描述症状,
嗯，最多错一天,无,无,描述症状,
一共手术费用下来多少,无,无,咨询价格,
都有那种情况？,无,无,描述症状,
QQ,无,无,咨询QQ,
我一直挺讲个人卫生的，就是前段时间忙着练车。晚上回来的晚了，孩子又闹。就没有天天洗！,无,无,描述症状,
生育了三个孩孑,$physiology:生育,physiology,描述症状,
一年前也是这么大,$datetime:一年前,datetime,描述症状,
我这没有白带正常吗,$fluid:白带,fluid,咨询项目介绍,
我想知道怀孕了吃什么不会发胖，谢谢,$symptom:发胖$physiology:怀孕,symptom$physiology,咨询宜吃食物,
最近在俺邓州做了个宫颈筛查,$check:宫颈筛查,check,描述就诊史,
不是上火,无,无,描述症状,
像这种病影响以后生孩子么,无,无,咨询危害,
她说可以大姨妈过去在治疗，或者现在就治疗,无,无,描述生理现象,
我已经流过一次了，这次还想流，有什么危害,无,无,咨询危害,
推迟7天正常吗大夫,$datetime:7天,datetime,描述生理现象,
当时医生说可以治好，,无,无,咨询疗效,
还腰疼,$symptom:腰疼,symptom,描述症状,
一个月来两次或三次月经   是什么引起的,$symptom:月经   ,symptom,描述生理现象,
像我这属于哪种呢,无,无,描述症状,
这是怎么回事啊,无,无,咨询病因,
这个月还没有排卵，是不是怀孕了呢,$datetime:这个月$physiology:排卵#怀孕,datetime$physiology,描述生理现象,
这上面没了,无,无,描述症状,
我每次月经过完，阴蒂就特别痒，是怎么回事,$symptom:阴蒂就特别痒$physiology:月经,symptom$physiology,咨询病因,
没服用过避孕药，,无,无,咨询药物,
月经还有一周左右来，这两天阴道有褐色的东西,$datetime:一周$symptom:阴道有褐色的东西$physiology:月经,datetime$symptom$physiology,描述生理现象,
我在百度上查的吃药流的，有百分之十的人，是三到五天才会掉下来孕囊是吗？,$datetime:三到五天,datetime,咨询药物,
之前大气一次，,无,无,描述症状,
怀孕前几天我己经查出怀孕了。,$physiology:怀孕,physiology,描述生理现象,
请问我这个毛病怎么治,无,无,咨询治疗方式,
我也不知道正常的标准是什么,无,无,咨询项目介绍,
我是不是因为吃的胖才月经不调啊,$item:月经不调,item,描述生理现象,
痒的次数也不多 ? 基本都好长时间才会痒,$symptom:痒,symptom,描述症状,
月经推迟几天能测出,$symptom:月经推迟,symptom,描述生理现象,
我就是有炎症,无,无,描述症状,
老感觉腰酸是不是环移位了,$symptom:腰酸,symptom,描述症状,
做人流一般需要多久呢！,$surgery:人流,surgery,咨询手术时长,
离月经还早着呢……我太着急了吧,$physiology:月经,physiology,描述生理现象,
如果不要你们医院有什么方法,无,无,咨询治疗方式,
有异味,$symptom:有异味,symptom,描述症状,
推迟两天了,$datetime:两天,datetime,描述生理现象,
这几年都这样,无,无,描述症状,
你确定是怀孕了吗,$physiology:怀孕,physiology,描述生理现象,
18 左外阴部,无,无,描述症状,
问题严重吗,无,无,咨询项目介绍,
一年多了，宝宝一岁两个月了,$datetime:一年多#两个月,datetime,描述症状,
今天用验孕棒测了下，一浅一深,$symptom:一浅一深,symptom,咨询材料,
最近下面老是留黄水怎么回事，内裤天天都是湿的,$symptom:留黄水#内裤天天都是湿的,symptom,咨询病因,
尿频有,$symptom:尿频,symptom,描述症状,
我的嘴里这段时间老是有白白的皮,$symptom:白白的皮,symptom,描述症状,
十几天,$datetime:十几天,datetime,描述症状,
第一条深，第二条浅是怎么回事,无,无,咨询病因,
我怀孕了   什么时候可以做b超,$check:b超$physiology:怀孕,check$physiology,描述生理现象,
时间问题,无,无,咨询项目介绍,
我之前做过hpv和那个什么,$check:hpv,check,描述就诊史,
都有点,无,无,描述症状,
白带浓,$symptom:白带浓,symptom,描述症状
月经还没有干净就同房会怀孕吗,$symptom:月经还没有干净$physiology:同房,描述症状
性交痛是怎么回事,$symptom:性交痛,symptom,咨询病因
