句子,实体,实体类别
阴道有水状白带 异味是阴道炎 宫颈糜烂的症状，刚刚出现就比较明显 说明问题不少，要重视了,$symptom:阴道有水状白带 异味$item:阴道炎 宫颈糜烂,symptom$item
嗯 那你这个月如果15号没来月经的话 可以做血检测试一下的,$symptom:没来月经$datetime:这个月#15号$check:血检,symptom$datetime$check
瘙痒是妇科炎症刺激引起的?? 白带怎么样呢,$symptom:瘙痒$fluid:白带,symptom$fluid
女士，根据我的经验看 豆腐渣是滴虫 或者是霉菌感染，细菌的话不会是豆腐渣的，你化验结果还在吗，我给你看看,$symptom:豆腐渣$item:霉菌感染,symptom$item
你的情况申请一个也倒是挺合适的,无,无
你现在在咱们南阳哪里呢，市区呢还是县城呢,无,无
你好 是想咨询哪方面的问题,无,无
之前月经规律吗,$physiology:月经,physiology
现在天气越来越热了?? 出现这个情况抓紧看吧,无,无
月经推迟了吗,$symptom:月经推迟,symptom
你做完多久了,无,无
那咱们可以先观察一下? 如果明天还有多的话? 我是建议咱们及时到医院做个复查看看,$datetime:明天,datetime
像霉菌性杂菌性 滴虫性 阴道炎等等都会出现这个情况 不同致病菌用药不同 肉眼是看不出来致病菌的 你知道自己是感染了哪种病菌吗,$symptom:感染$item:霉菌性杂菌性 滴虫性 阴道炎,symptom$item
嗯，那你需要看皮肤科,无,无
是第一次出现性交痛的情况吗,$symptom:性交痛,symptom
单做 一个白带常规 不能确定了??? 最好是结合上阴道镜看看? 在决定用什么药,$check:阴道镜#白带常规,check
嗯，前两次月经规律吗？,$physiology:月经,physiology
您好，有什么能帮助您的?我是丽人医院高医生（你Q/微信多少？我加你，一对一分析解答，我的微信是18568757681）,无,无
试纸测试需要等月经推迟一周以后才可以，你现在月经推迟了吗？,$symptom:月经推迟$datetime:一周,symptom$datetime
嗯 正常的白带是透明蛋清样的? 白带发黄就是有炎症了,$symptom:炎症#白带发黄$fluid:白带,symptom$fluid
整个手术本身就是微创的， 术后正常， 不需要做月子的,无,无
有白带发黄? 瘙痒的情况吗,$symptom:白带发黄? 瘙痒,symptom
正常的白带是蛋清样的???一旦生殖器官发生了病变? 就会出现炎症的感染了 异味发黄了,$symptom: 异味发黄$fluid:白带,symptom$fluid
你想咨询什么,无,无
您好，南阳丽人妇科医院，在的请讲,无,无
你是在南阳哪里的?,无,无
咱们女性的生殖器都是相通相连的?? 有炎症就会导致尿路的感染,$symptom:炎症#尿路的感染,symptom
月经推迟考虑的因素很多了 有性生活首先考虑是怀孕 其次内分泌失调 妇科炎症刺激 卵巢疾病等等都会引起,$symptom:月经推迟$physiology:怀孕#性生活$cause:内分泌失调 妇科炎症刺激 卵巢疾病,symptom$physiology$cause
恩张疙瘩有多长时间了呢？,$symptom:张疙瘩,symptom
嗯 是的洗液不起治疗作用 刚开始会有好转但是炎症是顽固性的,无,无
因为在月经来潮的第一天卵泡就开始发育了,$datetime:第一天$physiology:月经,datetime$physiology
"小肚子、的部位是子宫,输卵管,卵巢,盆腔内的组织",无,无
这给你说的这个的？,无,无
出现血色白带的话，一般是考虑有妇科炎症了,$symptom:血色白带$item:妇科炎症,symptom$item
白带正常吗？是否发黄，豆腐渣一样,$symptom:发黄#豆腐渣$fluid:白带,symptom$fluid
像你这个情况 平时检查下来要1.2百。咱们这个少女门诊申请后 有个炎症优惠 是36元,$symptom:炎症,symptom
嗯 末次月经是几月几号来的 我帮你计算一下孕期 看现在可不可以做,$physiology:月经#孕期,physiology
"检查套餐包括（美国GE彩超,BV.尿常规，白带常规，血常规，宫颈刮片，电子阴道镜和妇科内诊）",$check:BV#尿常规#血常规#白带常规#宫颈刮片#妇科内诊#电子阴道镜#美国GE彩超,check
那我给你开药了 你就回去吃了？,无,无
出现什么异常了吗,$symptom:异常,symptom
出现上述的症状是盆腔炎? 子宫内膜炎的现象,$item:盆腔炎#子宫内膜炎,item
你出现疼痛几天了,$symptom:疼痛,symptom
你现在的年龄还小? 一直有出血 不仅是会导致贫血 也会引起其他的妇科疾病 到时候就不好治疗了,$symptom:出血#贫血$item:妇科疾病,symptom$item
你好 是想咨询哪方面的问题,无,无
近期有检查过环的情况吗,无,无
目前这个情况 打算在当地看吗 还是来南阳了？,无,无
保守治疗就是药物治疗 孕囊在输卵管中杀死后排出来,无,无
试纸的话? 有时候是不准确的?? 你在备孕吗，,$physiology:备孕,physiology
15137774094我的微信号就是电话? 可以加微信发语音 或者打电话,无,无
患者比较多 你是在河南哪里呢？ 我方便区分,无,无
嗯? 现在建议检查一下了 确诊后针对性治疗 不治疗炎症也会加重 还影响夫妻关系,$symptom:炎症,symptom
子宫内膜炎症　或者内分泌失调　卵巢疾病　阴道炎　宫颈炎症等等都会引起产后复查了吗　？,$cause:内分泌失调　卵巢疾病　阴道炎　宫颈炎症$item:子宫内膜炎症,cause$item
嗯? 你最近白带是水状 豆腐渣样还是鼻涕样呢？发黄异味? 多不多?,$symptom:鼻涕样#豆腐渣样#发黄异味? 多$fluid:白带,symptom$fluid
之前是顺产还是剖腹产呢,$physiology:顺产$surgery:剖腹产,physiology$surgery
嗯? 现在咱们丽人医院 本月联合妇联开展关爱女性健康普查活动，网上预约好了是36元7项妇科检查套餐，其中是包括你需要检查的，比较适合你们的情况,$check:妇科检查,check
你朋友叫什么名字呢 ？,无,无
过后消炎 你可以在医院 之后费用另外出，不想在医院可以回去买药自己吃 这个不存在强制 自己决定就可以,无,无
最后一次月经是几月几号来的,$physiology:月经,physiology
你老家是山东的吗,无,无
您好， 有什么能帮助您的? 我的微信15660040159可以加微信一对一的分析解答,无,无
只要有性生活就有怀孕的可能性的,$physiology:怀孕#性生活,physiology
恩白带有异常吗 比如发黄发白 粘稠等情况,$symptom:白带有异常#发黄发白 粘稠,symptom
抱歉? 网络不指导用药,无,无
恩 人流术是咱们丽人妇科医院专科手术? 你多大了 ？ 怀孕多久了 ？,$physiology:怀孕$surgery: 人流术,physiology$surgery
你换内裤也不能换到阴道里吧,无,无
这种情况有两种可能，第一考虑子宫内有异常导致阴道不规则出血，第二就是性生活出血考虑不是月经，是宫颈方面的疾病引起的性生活接触性出血，这种异常现象最好重视起来，以免引起妇科其他并发症和引起宫腔感染，一直都没有去医院检查过吗？,$symptom:性生活出血#阴道不规则出血#性生活接触性出血$physiology:月经$item:宫腔感染,symptom$physiology$item
看看是炎症还是怎么回事,$symptom:炎症,symptom
你8月份做过HPV了是吗,$datetime:8月份$check:HPV,datetime$check
您是哪里的患者?,无,无
您好，有什么能帮助您的？我是丽人医院张医生，（你Q/微信多少？我加你，一对一分析解答，我的微信是N15137773074）,无,无
几号出血的 正常应该几号来月经? 我先屡屡你的情况,$symptom:出血$physiology:月经,symptom$physiology
嗯，像您这个情况的话，检查下来大概需要一百多的，咱们现在有个妇科体检套餐，申请上优惠以后是36元7项的，里面包括了你需要的检查 你了解过吗,$check:妇科体检,check
您末次月经哪天 我给您算一下,$physiology:月经,physiology
姑娘? 有QQ 微信吗 我加你吧 我把手术流程 注意事项?? 发你QQ 微信上 你参考对比看一下? 15137774094 我的微信 可以加下,无,无
姑娘?? 现在是否伴有异味瘙痒呢,$symptom:异味瘙痒,symptom
你是第一次出现吗 ？ 有瘙痒 异味不舒服吗 ？,$symptom:瘙痒 异味不舒服,symptom
这个上边接受不到图片　有微信吗,无,无
这么短的时间内 做了两次手术,无,无
网上不指导用药,无,无
你都已经怀孕这么大月份了? 考虑哪方面呢,$physiology:怀孕,physiology
你这个情况可以做个彩超看下确定一下是否怀孕,$physiology:怀孕$check:彩超,physiology$check
没有性生活? 那就多注意卫生,无,无
嗯，小肚子疼是肚脐以下吗,$symptom:小肚子疼,symptom
嗯，那咱们的情况可以做个妇科检查 看下身体方面有没有什么异常情况 影响了月经,$symptom:异常$physiology:月经$check:妇科检查,symptom$physiology$check
如果已经有早孕症状了 那么就要尽早做血检HCG来确诊了? 确诊怀孕后 也好早做打算,$physiology:早孕#怀孕$check:血检HCG,physiology$check
首先要明确你清楚你的病因和病情，对症施药,无,无
比如微微无痛人流是580元 如果申请这个半价援助的话是290元 术前检查套餐36元 术后消炎百八十 申请后下来四五百左右,$surgery:微微无痛人流,surgery
嗯，性生活出血较常见疾病有阴道炎 宫颈炎 子宫内膜炎宫颈糜烂、宫颈息肉、宫颈管炎、子宫粘膜下肌瘤，子宫颈癌，特别是宫颈癌早期，接触性出血是唯一的症状,$symptom:性生活出血#接触性出血$cause:宫颈癌#宫颈炎 子宫内膜炎宫颈糜烂$item:阴道炎#宫颈息肉#宫颈管炎#子宫颈癌#子宫粘膜下肌瘤,symptom$cause$item
您好，我的微信lirenyy12345? QQ408897651可以加我一对一的分析解答,无,无
嗯，她这个情况的话，可以到医院看看，我们这边的话，今明两天有北京军区过来的专家门诊,$datetime:明两天,datetime
36元全面检查包括（妇科内诊、血常规、尿常规、白带常规、数码阴道镜、腹部彩超、宫颈刮片、BV),$check:BV#血常规#尿常规#妇科内诊#白带常规#腹部彩超#宫颈刮片#数码阴道镜,check
这样吧 有微信吗 我加你吧 后期不懂的方便随时问我,无,无
你多大年龄，,无,无
好的，我加上您,无,无
那现在做完快半个月了，复查了吗,$datetime:半个月,datetime
性生活 月经期不注意卫生都可能感染,$symptom:感染$physiology:性生活$cause:月经期不注意卫生,symptom$physiology$cause
您好，我是丽人妇科医院刘医生， 有什么能帮助您的?? 可以加QQ：2518224088 微信15137774094一对一的分析解答,无,无
在南阳的话可以给你申请这个36元的彩超检查看看,$check:彩超,check
药物对症不对症需要看你的身体情况 检查结果? 有检查单吗,无,无
还不如检查的呢,无,无
是什么情况的呢,无,无
今天有这方面的专家坐诊 而且现在我院有检查套餐名额申请成功后是36元检查8项 你先初步检查一下身体情况,$datetime:今天,datetime
而且后期还会继续长的多,$symptom:长的多,symptom
您好，有什么能帮助您的？（网络不稳定，你Q/微信多少？我加你，一对一分析解答）我的微信是18338372202? QQ是2127358198,无,无
你这个情况的话，是要尽快检查和调整的，像你现在的情况的话，要做个白带常规，阴道镜和彩超检查,$check:彩超#阴道镜#白带常规,check
那你跟医生具体描述一下你怎么不舒服 从什么时候开始的,无,无
是来月经了吗 ？,$physiology:月经,physiology
嗯 咱们采用是无痛保宫微创的技术 手术是在可视的情况下 用微管轻轻吸取孕囊 一次性吸取干净 不损伤子宫的手术,$surgery:无痛保宫微创,surgery
姑娘，网络不稳，有微信或QQ吗，这边加你详细聊，这方面注意事项我给你讲讲? 15660040159，qq3124025841 这个是我的 可以加我,无,无
多大年龄了呢 这种情况多长时间了呢,无,无
你是在哪里居住呢,无,无
我是丽人萧医生，有什么可以帮助您的？我的微信15290312669QQ：3503639975可以加我一对一帮您分析,无,无
有做白带化验吗？,$check:白带化验,check
