sentence1,sentence2,label
乳晕粉嫩多少呢,想咨询乳晕变粉嫩,0
这个对以后怀孕哺乳，有没有影响，,那对以后生小孩喂奶有没有影响？,1
那个是激光   还是,是点掉的还是激光？,0
脸部肌肉松驰,脸部松驰,0
微信是多少,在微信上,0
胳膊。胸口,胳膊还有胸口,1
755皮秒？,美国的就不是，是755蜂巢皮秒,0
贴牙面多少钱,贴牙面一颗多少钱？,1
激光的话一颗多少钱,激光去一颗痣多少钱,0
去年六月长的,去年七月,0
额头有皱纹能去除吗,额头上的皱纹能不能去掉？,1
10点多可以吗,10点过来,0
瘦脸针是888？衡力的吗？,是兰州衡力吗？888,0
私处脱毛多少钱呀？,脸部脱毛多少钱?,0
我在嘉定挺远的,太远了，我在嘉定,1
是211医院整形吗？,你是211医院吗,0
好几年了吧！,四五年了吧？,0
去过皮肤科,没有去过皮肤科,0
有他的微信,可以我的微信,0
应该是槟榔吃多了,我是吃槟榔把脸吃大了,0
56岁，黄褐斑，雀斑,雀斑，也有黄褐斑,0
脸上的逗印怎么去掉啊,怎么去除脸上的疤,0
好的我同意了,也没有同意啊,0
24有一年了,我24 男,0
咋叫嘴唇变薄,嘴唇变厚这样变薄,0
暗黄出油,毛孔粗大还出油暗黄,0
全烤瓷牙套多少一颗,烤瓷牙多少瓷牙多少一颗,0
99脱一次吗？,没有，99一次吗,0
修复处女膜手术需要多少钱,哪修复处女膜多少钱,0
你们是厦门欧菲？,厦门欧菲吗,0
所以我咨询价格,所以才来咨询啊,0
方便加微信吗 ？,我微信加你了  微信聊吧,0
是地铁还是,地铁九号线,0
牙周炎手术多少钱？,治牙周炎要多少钱？,0
贴双眼皮贴，眼皮有点松弛了,眼皮贴双眼皮贴，然后松弛了,0
胳膊，腿部，大腿，小腿这个就是四肢啊？,那做大腿小腿，还有腰和手臂呢？,0
你好可以给个微信吗,可以在微信上说吗,0
一般金属托槽矫正要多少钱？,钢丝一般多少钱,0
加你微信说吧，方便么？,微信聊吧，打电话不方便,0
不知道那你们做的怎么样,但是我不知道，你们家怎么样？,0
我给你发图片,在这里能发图片不,0
鼻子上的粉刺多怎么办,鼻子上出现黑头该怎么办,0
好的我加你的微信,我加微信，你看看我的是什么斑,0
疤痕可以去的吗,治疗疤痕可以吗？,0
做双眼皮要多少钱呢,做双眼皮开眼角要多少钱？,0
那你给我发微信,加我微信给你看照片,0
是割的还是埋线,做微创好还是全切,0
qq号给您了,是上面的qq嘛,0
爱芙莱1ml价格多少呢,爱芙莱多少毫升,0
我想抽大腿小腿,腋下，大腿跟腰部,0
我不是留微信了吗,可以让她加我微信也得,0
100%可以？,可以体验？,0
额头，苹果机！太阳穴,太阳穴，泪沟,0
大牙，咬东西的,大牙都有,0
一支多少毫升？,玻尿酸多少毫升的,0
激光什么,可以激光？,0
要多久可以好,那如果治多长时间,0
是埋线？不是隔吗,埋线没有,0
之前做过埋线，,没有，做过埋线,0
还有点烧,就有时候会有点痒,0
你的微信就是你的号码,这个号码是微信,0
去年做的也是680,我买的680,0
材料叫什么,什么材料什么价格？,0
男士今年46岁,男士43年的,0
挂号费是多少？,都是 免挂号费的？,0
嗯加吧微信聊,方便聊给微信吗？,0
不能发照片啊,照片发你了,0
这两个月快回厦门了,你说呢？我在厦门能去哪,0
然后  还有痘痘,然后痘痘好了,0
一颗是吗,100一颗,0
国产和进口有什么质量上的差别吗,国产与进口有什么不一样呢？,0
也可以改善吗,只是可以改善的吗？,0
一年多了 不疼,有一个，一年多了,0
男士49岁,男士43年的,0
韩式微创全切，加去脂,说去皮全切,0
瘦脸针是国产的什么品牌,你们国产的瘦脸针是什么品牌的,0
洗眉毛眼线多少钱,纹眉和眼线大概多少钱,0
那四级四级是啥,三级到四级,0
做提眉术要多少钱啊？,提切眉术多少钱？,0
怎么加你的微信？？？,加微信给您发吧,1
这上面没法发图片,这个没法发图片,1
好的，那我明天过去,那我看上午过去下,1
营业时间是几点呢,几点开门？,1
那个医生做的好尼,好的。那个医生做得最好？,1
现在是什么价位？,那现在是什么价格的,1
你有微信吗 微信说可以嘛 我这边不稳定,可以在微信上说吗,1
遗传我老妈的,可能是遗传的，他奶奶的也是,1
有体验的吗？,可以体验的吗,1
好  我加你微信,我加一下你们的微信吧,1
和左下倒数第三颗,右上倒数第二颗,1
甘肃酒泉,甘肃嘉峪关,1
好的  我加你,我加您？还是？,1
我太宽了，可以改窄吗,要宽改窄,1
发个地址我,发个具体地址,1
我想费用上，能优惠些,价钱还能优惠吗,1
怎么发给你啊,要怎样发给你呢,1
嗯 可以加微信,我在加微信,1
请帮忙接前台的电话,给我7楼前台电话,1
就这个手机号吧,即手机号,1
99/?,一次是99吗,1
你们是正规大医院么,我还是去正规医院吧,1
脱毛部的,关于脱毛的,1
像小布袋样子,小布袋的样子,1
我加你微信发照片看一下,那我加一下陈医生的微信吧,1
你们医院在苏州吗？,你们这个医院在苏州哪里呀？,1
那都包含啥啊,都包括啥,1
我在北京美莱做过项目,之前在美莱做过其它项目,1
微信聊可以吧,具体可以加微信聊吗？,1
准备16,16啊。。,1
你们地址方便发一个给我吗,地址方便给我一个吧,1
不好意思，打错字了。,不好意思！,1
您能给我介绍一下这个吗,你先介绍一下。,1
有需要的时候联系你,噢。需要联系你。,1
谢谢！晚安💤,好的👌谢谢您了,1
来了，今天第四天,今第四天了,1
男士看28,我是男士  23,1
切口是在哪,那里切口？,1
你这里是华美对吧,您这是华美是吧,1
我发图片给你，你看看要多少钱,要我发图片你看看吗,1
那我们加微信聊吧,199 4755 3107加微信聊,1
点一颗要多少钱呢,一般点一颗要多少钱,1
这是什么原因造成的呢？,什么原因，,1
没有 大概费用在多少,嗯，大概费用是多少呢？,1
你微信号发一下。,单独发一下微信号,1
太阳穴凹陷  颧骨高,我颧骨高，所以太阳穴看上我凹陷,1
你们的医院地址在哪里的,你们医院地址在那,1
13岁，姓吴,13这样,1
然后我再考虑考虑,我考虑好了才做,1
好的，我考虑，谢谢你！,哦，谢谢你的建议,1
你们这个医院是上海的吗,你这个医院在上海吗？,1
脸上有伤疤怎么办？,我脸上指甲刮的 伤疤,1
身高160 体重100斤,身高160 体重105,1
我再了解一下，我第一次了解,让了解一下,1
她们还说一次就会有明显效果,做一次有明显的效果吗？,0
也就没有再打过,是她打过,0
不知道效果呢,不知道价格效果,0
脸上妊娠斑怎么去掉,脸上的巴怎么去掉,0
卑鄙无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流梗,卑鄙无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流无耻下流,0
伊婉大分子你们医院多少钱一针啊,伊碗Ｃ多少钱一针,0
瘦脸针衡力100u的,瘦脸针是衡力的吗！,0
失败的切眉,只做个切眉,0
没有 小时候烫伤的,我小时候烫伤了胳膊,0
体验一次9元！,之前有体验过一次,0
瑞蓝二号多少钱一支,伊婉大分子现在多少钱一支,0
李健院长填,想找李健院长修复,0
肋软骨隆鼻半价是多少钱,肋软骨隆鼻多少钱呀,0
我有会员的哎,我没有办会员,0
伊婉C多少钱一支？,伊婉大分子多少钱一只,0
请问你们做切眉手术多少钱,请问你院做提眉手术多少钱可以做,0
好治疗吧,治疗可以治疗吗？,0
那怎么才能变大啊,怎么能让胸变大？,0
有吃过调理的药,药物调理,0
等我再问问清楚吧，谢谢！,好的，谢谢！我问问她,0
大概需要多长时间打针,大概需要多长时间就能好,0
不是滴滴专车接送吗,你们那不是有滴滴接送吗,0
以前去过就不得是吗,嗯，以前去过,0
在微商城购买,商城不能购买吗,0
好的，那明天联系,那你叫医生明天联系,0
580元是怎么样的，,580是隔的吗,0
有考虑的,我在考虑一个,0
后面这个号码,就这个号码吗,0
准备三个月了,我准备过两个月去,0
我是个男士，60岁了。,我女性，60岁,0
一颗全瓷类牙套大概所需多少钱？,安一颗全瓷牙套要多少钱,0
去年我去过你家的,没有去过你家,0
静态纹也有点,我有点表情纹,0
我在上海割了双眼皮，咱们医院能给拆线吗？,双眼皮不是在医院做的可以拆线吗,0
我在华美问过,好像华美也有啊,0
种植头发一定要头上的头发吗,种植头发会掉吗,0
瘦脸针破尿酸各多少钱一只,波尿酸多少钱一只,0
还有我20,我想做20颗,0
这个详情是？,这个活动的详情是？,0
去黑头要多少钱呀,去粉刺要多少钱,0
肋软骨隆鼻半价是多少钱,软骨隆鼻多少钱呀？,0
等回上海了,上海给有分院了,0
大眼综合和小眼综合的区别,小眼综合呢,0
假体有什么好处吗,假体有什么的,0
全脸一次大概多少钱,哦，全脸吗?要多少钱?,0
牙烂掉了！,板牙掉了,0
你们的医院是在哪里了,你们是哪个医院🏥,0
下午4－5点钟吧,下午2-3点来吧,0
27女，没,25。对,0
医院说的价钱有点多，我想多咨询一下。,我想咨询一下你们医院的价钱,0
请问额头上反复长痘是怎么回事？,脸颊长痘怎么回事呢,0
小安小姐求你了，请打字,小安不会打字吗？,0
用过很多产品，觉的没用,用过没用,0
我说的是医疗卡也可以刷？,可以刷医保卡,0
牙根断了，可以慢慢修复吗,还有牙根可以修复吗？,0
有凹的有凸起的,还有凸起么,0
今天双十一不是说一折吗,不是说一折,0
那50单位多少钱,50单位多少钱，100单位多少钱,0
加不了，账号异常,你的账号异常,0
我的鼻头缩短 鼻子塌,我鼻子塌 鼻梁低  鼻头缩短,0
青春解码是仪器做吗,不是。是青春解码,0
因为怕反弹,而且反弹,0
哦！满脸痘印呢？,脸上痘印的,0
你们是用仪器还是打针,都是打针的跟仪器的吗,0
不是会员的价格呢,会员有会员价格吗,0
请问你们那里需要多少钱,请问下你们现在热吗吉是多少钱,0
咱们这都有什么品牌的玻尿酸啊,活动的玻尿酸是什么品牌,0
填充苹果肌前后对比图,卧蚕填充前后对比照片,0
你打数字就可以啦。,什么数字,0
可以安排初一或者初二？,初二可以吗,0
去眼袋多少钱，怎么去,怎么去眼袋？,0
去除一颗志需要多少钱啊,那去除一颗多少钱,0
请问衰老性眼袋去除的价格？,请问去除眼袋,0
无痛》？,没有无痛的吗,0
有去在联系你,能打电话联系吗？,0
医生，你是藏族的吧？,你是汉族医生还是藏族医生,0
修一下要多少钱？,我看一下，检查要多少钱,0
我去医院也是看图片？,医院图片有没有,0
牙齿弄过了还是有点,牙齿还是活的,0
本人女年龄31,31、本人,0
年龄20 性别女,性别男年龄15,0
脂肪胶丰太阳穴，需要多钱？,咱这脂肪胶填充额头多钱？,0
在老家补的,没 我没读书了,0
矫正还要拔牙吗,第一次矫正没拔牙,0
络腮胡脱毛要多少钱,腹部脱毛要多少钱,0
去痘坑医院,医院去痘坑多少钱,0
有时候额头也会长,有时候会长,0
用了段时间，才出现的,在几天才出现的,0
是不是需要挂号,需要先挂号吗？还是？,0
不是2880吗,2880这个呢,0
不客气，晚安,晚安晚安,0
整个鼻头宽大,我的鼻翼也宽大,0
多久恢复？,多久可以消肿？,0
带的烤瓷牙,做了烤瓷牙还可以箍牙吗,0
是在搞特价吗,特价是活动吗,0
减少身体黑色素,身体上黑色素,0
我先询问一下，我先考虑,行，我先自己查一下看看,0
性别男  23,年龄23  性别女,0
后面数倒数第三颗,就是后面的板牙倒数第三颗,0
埋线可以做几次啊,可以做埋线吗，,0
没有，眼睛小眼皮有点厚重,我的眼睛 眼皮有些下掉  有点肿,0
没有！请问一下你！,请问一下，做什么才,0
380是玻尿酸吗,瘦脸针380  玻尿酸380吗？,0
请问你们那打一针玻尿酸多少钱,请问打隆鼻的玻尿酸多少钱一针,0
牙齿整形要多少呢,矫正牙齿要多少💰,0
四肢想脱毛,想脱手臂上的毛,0
157，重155,163重,0
为什么加不上你,我的加不上的,0
您好，我想咨询祛痘方面,您好我想祛痘,0
手臂环吸费用怎么收？,腿部环吸怎么做,0
请问一下哪个医院可以吗？,请问一下，你们的医院在哪里？,0
下午两点或者三点吧,那就下午两点至三点前过来吧。,0
我是想美一下鼻子的,我想把鼻头宿一下,0
是超声波还是,是超声波做的吗,0
动手术动哪里呀,动手术的？,0
这打字有点乱了,就用打字吧！,0
做一副牙套大约多少钱。,正畸大约多少钱,0
先带牙套后拔牙怎么回事,带牙套需要拔牙吗,0
所有的医美项目,医美项目,0
755皮秒？,赛诺秀的 755皮秒,0
那边是38,就38？,0
没有牙根可以吗,有牙根可以镶牙吗？,0
牡丹江那的,牡丹江没有吗,0
不太用微信,可以QQ嘛，微信不太方便,0
那么整个疗程需要多少费用^_^,那疗程需要多少次，要多少费用,0
给个网址,好官方啊,0
你说的是需要整形吗,我想做下整形,0
你发个来我加你,你发个微信号，我加,0
脸上细小疤痕能去掉吗？,脸上有疤痕，能去掉吧,0
一次激光嫩肤多少钱？,腋下脱毛是多少钱一次,0
太冷太热，情绪激动都会红,太冷啊！,0
做完能保持多长时间呢,能保持多久，多久打完,0
痘坑是用激光吗,激光修复痘坑,0
你们中午几点上班,你们营业时间是到晚上几点,0
打了瘦脸针的,打瘦脸针在哪里打,0
女生长胡子是正常吗,女生长胡子咋么办,0
要怎么把它去掉,我脸上长了斑怎么能去掉,0
腿毛能彻底去除吗,能不能彻底去除胡子,0
我眼尾下垂三角眼,上眼皮厚肿，三角眼,0
种颗牙多少钱呢,种牙要多少钱,0
大V脸需要费用多少？,弄得话要多少费用,0
单颗矫正吗？,全口矫正,0
赶快加我吧,在吗贵........,0
注射过肉毒素,也是注射针剂吗,0
全脸填充啊,全脸填充的价格,0
为什么加不上你,加不上嘛,0
有三颗大牙,总的四颗,0
闭口粉刺在脸上,闭口豆豆，痘印痘坑,0
我明天就休息,明天没时间，要等休息,0
从2018年8月份开始贴,2018年8月开始长的,0
周六下午四点,周三上午十点半吧,0
双眼皮+开内眼角多少钱,开眼角+双眼皮大概多少钱,0
额头上有个小包,额头上长了个大包,0
都不齐，还有虎牙,龅牙，还有牙缝,0
我找谁？还是直接报我名字或电话？,我过来直接报我的名字和电话吗？,0
35岁整牙,35岁可以矫正牙齿吗？,0
小也有点下垂,胸有点下垂，有点外扩,0
请问男生可以去割双眼皮吗？,请问男生可以割吗,0
叫什么技术呢？,还有这是叫什么技术，,0
果酸用过了没有用,微针也用过了没有用,0
现在不在她身边,玲也不在身边,0
有没有那还有别的方法吗,不还有别的方法吗,0
纹眉的话,痛吗纹眉,0
主要是面部 全身也要,没有，全身？；面部？,0
吸脂后效果怎么样呢,吸脂恢复怎么样,0
做了鼻子太高怎么办，太翘,下巴太翘怎么办？,0
等你加了微信我发给你,或者加微信？发给你看,0
觉得好丑,觉得自己又黑又很丑,0
休息好了也有,那我周末再去吧,0
爱牙基金怎么用,爱牙基金怎么领取啊,0
咱这边是怎么脱的,你们这边去疤怎么去的,0
加微信就算了，上面是你的手机号吗？我就这个手机号就好了,对的，手机号是微信,0
确实有点,应该是有点松吧,0
脸上老是长痘是为什么,我脸上的痘痘老是反反复复,0
穿内衣？,c罩杯的,0
头上有痘痘,我脸上有粉刺痘痘,0
涂宇腾医生吗,涂宇腾医生注射吗,0
那痘坑怎么办,长痘了该怎么办,0
是买一送一吗,买一送一的那种呢,0
下了，再见,祝您生活愉快，再见~~~~,0
那磨骨下颚呢,磨骨就是下颚的,0
缩小鼻翼增高鼻梁,缩小鼻头，鼻孔,0
是2880元的,2880的那个,1
哪个更好呢,两种哪个更好,1
时代天使怎么收费呢？,时代天使的价格,1
可以直接报价格吗,你直接给我报价格吧,1
硅胶隆鼻需要多少费用,隆鼻硅胶的价格吗？,1
你好我的双眼皮割失败了可以修复吗,我双眼皮开失败了。想修复,1
生长阶段吧,正在生长阶段,1
那哪里去,在哪里，怎么个,1
打扰您了，谢谢,谢谢 真不用 打扰了,1
牙齿不痛，,牙齿不疼。,1
自体隆胸和假体隆胸那个好,自体隆胸好，还是假体隆胸好？,1
矫正还要拔牙吗,矫正是不是要拔牙的,1
下午4－5点钟吧,我5点半,1
如何去螨虫,如何治疗螨虫,1
身高一米七二体重165,我身高一米六，体重170,1
西大街吗,西大街那个吗？,1
好像发不了照片，,照片又发不了,1
没有 你们具体位置在哪里,你们的具体位置是在哪里,1
可以加个微信聊天,你加微信聊天,1
价格和方面,那价钱方面了,1
玻尿酸，维持时间不长吧？,玻尿酸保持时间,1
你好，我门牙中间有缝隙，,你好，我门牙中间缝有点大,1
一支的剂量是多少,用一支多少计量,1
戴牙套，费用多少,带牙套多少费用,1
是大分子好还是小分子好呢,那大分子好还是小分子的玻尿酸好呢？,1
瘦脸针多少费用,瘦脸针需要多少费用呢？,1
你给我地址到时我具体过来看看,好的我过来看看，地址？,1
您在上海的地址？,上海地址是多少,1
赣州韩美吗,是赣州韩美医院是吗，,1
159、92,159，96,1
多久恢复？,多长时间恢复？,1
3.    4年了,.2.3年了,1
现在感觉平平的,就感觉平平的,1
怎么弄掉啊,该怎么去掉,1
年龄20 性别女,年龄10岁性别女,1
大牙，最后面的那个,大牙最后一个,1
是m22吗？,是M22的嘛,1
注射费需不需要另付,不用另付注射费的，是吧,1
直接去三楼？,直接去三楼吗还是？,1
你们洗纹身什么价格,洗纹身什么价格呢,1
麻烦你尽快转告下 谢谢你了,麻烦尽快转达，谢谢,1
你医院怎么收费,那你这都是怎么收费的呢,1
双眼皮过窄,双眼皮过窄怎么办,1
本人姓魏,本人姓谢,1
163/110,我167体重110,1
38岁，没去过,去过29,1
这么晚也在线 这么晚辛苦的么,呃，这么晚还有在线啊,1
那应该不会有什么影响吧,会不会有什么影响吗？,1
脸上长痘怎么调理呢,脸上长了痘痘怎么调理?,1
怎么祛眼袋呢,怎么去眼袋啊,1
稍等一下我加你,一会儿我加你吧。,1
哦，我也在广州呢,没有啊，我在广州,1
不是滴滴专车接送吗,请问是滴滴专车接送吗,1
自身脂肪填充是永久性的吗,脂肪填充是永久性的吗,1
就直接去前台就可以了对吧,直接去前台问？,1
多钱全脸,全脸好多钱,1
还没有，现在了解一下,还没有只是了解一下,1
去眼袋一般做手术要多少钱？,一般去眼袋需要多少钱？,1
地包天能娇正吗,地包天可不可以娇正,1
女士今年35,今年47女士,1
身高1.59  体重110,身高1.58，体重110,1
这里怎么发照片啊,怎么发照片 这里发不了呀,1
未成年人可以祛痘不,未成年可以祛痘吗,1
脸上点痣多少钱一颗，痣不大,脸上点痣多少钱一颗,1
怀疑是遗传的,我怀疑是遗传,1
考虑一下吧,然后我考虑一下,1
价位不方便说吗,价格不方便说吗,1
你这样说的等于没说。,你要这样说我等于没问你,1
我想咨询一下关于埋线双眼皮,你好，我想咨询一下埋线双眼皮,1
冰点还是激光好,冰点和激光那个好,1
不用加，就这样吧,不用加，就这样聊我可以的,1
一般玻尿酸下班能维持多久？,玻尿酸一般维持多久呢？,1
您好，你们的地址在哪？,请问你们地址是哪,1
莱茵鹭湖小区,莱茵鹭湖,1
做个微笑唇m唇价格多少,你们做个微笑唇有多少价位,1
点痣价格是？,点痣啥价位,1
没有，身边的人来做过,没有，我朋友去做过,1
不是现在是红色痘印,现在就剩痘印了,1
你们能做好吗,主要你们能做好吗,1
30年龄，女,女年龄20,1
广州那里啊，,广州那里啊,1
身高170 体重120女,身高165.体重130,1
您好，请问打瘦脸针多少钱？,您好，瘦脸针多钱,1
我想了解割双眼皮的事情,我想了解双眼皮。,1
没用过，不是那么敏感,没用过，不敏感,1
你们有微针手术吗,你们有微针吗？,1
价格差不多,那价钱差不多,1
已经10多年了,有10多年。。,1
填充什么物质呢,都是什么填充？,1
牙齿稀疏了怎么办,牙齿比较稀疏怎么办,1
你好，泪沟填充多少钱？,你好 请问泪沟填充多少钱？,1
没有，我看到广告了,看到广告了,1
贴了俩年双眼皮,嗯 就是贴双眼皮弄得,1
我发了几次了,我发了，,1
我在上海松江区,我现在在上海松江区呢,1
你们有几种治疗方案,有几种治疗方案啊,1
怎样能够快速瘦腿,怎样快速瘦腿。,1
不是，就是蛀牙，只剩牙根了,我蛀牙现在只剩牙根了,1
这我知道，想了解价格,我知道，主要想了解一个价格,1
34、男士,男士   今年34,1
牙齿整形年龄,矫正牙齿年龄,1
一次是多久能做好,得多长时间能做好,1
