sentence1,sentence2,label
好几年了，,有，好几年了,0
祛斑会不会反弹,祛斑不会反弹吗,1
是割还是埋线,980双眼皮是埋线还是割的,0
有几年了呢,有有几年了,1
怎么治疗呢，,遗传性肾病怎么治疗呢？,0
戴套安全吗,开扎术安全吗,0
发际线妇女节 ,有发际线脱毛吗,0
吃药 还是？,是吃药还是？,1
那早泄怎么办,早泄那怎么办,1
治疗有好几年了,肾病好几年了,0
胎记怎么收费的,治疗胎记怎么收费,1
怀孕可以做人流吗,请问怀孕多久可以做人流,0
就是蛋会痒,就是痒怎么回事,0
肌酐138了咋办,咋办呢,0
我早泄可以治疗吗,早泄治疗吗,0
白斑会传染吗,会传染吗,0
自体脂肪填充有活动价吗,自体脂肪填充,0
阴茎勃起硬度不够怎么治疗,能勃起，硬度不够,0
末稍神经炎能治好吗,痨病能治好吗,0
射精精液黄,精液黄,1
月经不调怎么调理呢？, 怎么调理月经不调？,1
前列腺炎曾大吃什么药,吃什么药需要,0
男性性生活时间短怎么办,你好，性生活时间短怎么办,1
水仲病吃什么药好,慢性肾炎吃什么药好呢？,0
吃药吗？,单方吃药,0
这怎么说来,这怎么治疗啊？,0
多囊肾怎么治疗啊,那紫癜怎么治疗,0
就是白带是黄色的,白带略显黄色,1
有哪些症状呢,会有哪些症状,1
红班狼疮好治吗,过敏性紫癜好治吗？,0
验孕棒一深一浅，是啥情况, 验孕棒一深一浅怎么回事？,1
包皮有点长怎么办,我有包皮有点长,0
 切开好还是埋线好呢, 埋线好还是切开好啊？,1
阴道镜疼吗,您好请问做阴道镜疼吗,1
吃点什么药？,吃点什么药,1
几年了的,有几年了呢,1
需要多久,治疗需要多久,0
这几天白带有点黄,有点黄 水水的,0
右安门医院是私立医院吗,你们医院是公里还是私立,0
外阴瘙痒是怎么回事, 外阴瘙痒怎么回事,1
有什么症状,请问是什么症状,1
肾哀结是怎么引起的,是过敏性紫癜引起的,0
怎么治疗你们,是的，你们怎么治疗呢,1
这个吃什么药才好,哪该吃什么药才可以治疗呢,1
有无痛人流吗,是无痛的吗,0
是中医治疗快，还是西医,中医还是西医好,0
多少分钟才是正常的, 多少分钟正常,1
肌肝高用中药还是西药,用中药还是西药,0
iga肾病三期可以治吗,狼疮可以治吗,0
阳痿症状,肾衰竭有什么症状,0
紫癜怎样治疗,色素性紫癜怎样治疗,0
不想要怎么办, 现在不想要怎么办,1
医生您贵姓？,您是医生吗？怎么称呼？,0
请问做b超需要空腹吗？,怀孕了我想做b超需要空腹吗？,0
是怎么形成的,胎记是怎么形成的最新,0
什么叫肌酐清除率,叫什么葵,0
我就是无子宫无阴道,无子宫   无阴道,1
BV是什么,BV检查 是什么,1
始基子宫能治好？,始基子宫能治好吗，能怀孕吗,0
阴道 痒,阴道边缘痒,0
请问早泄吃什么药好呢,包皮长吃什么药好,0
用什么药好了,用什么药好呢？,1
药流可以吗？,如果药流可以吗,1
膜性肾病一期好治吗,狼疮好治吗？,0
有什么危害,做透析有什么危害,0
自体脂肪填充脸多钱,自体脂肪填充,0
遺传的肾病综合征怎么治,肾病综合怎么治,1
 凸起的痣,绝味凸起,0
tct 是什么, tct是什么,1
子宫纵膈可以怀孕吗,纵膈子宫能怀孕吗,1
有药物治疗？,治疗药物,0
xu-911-,onezxc-,0
局灶节段性肾小球硬化症好治疗吗？,肾小球治疗的好吗,0
肾压炎吃什么药？,肾病吃什么药,0
下休潮湿是什么原因,什么是阴囊潮湿吗,0
是激光脱毛的吗,是激光脱毛科吧,0
我想问问,我想问问IGA肾病,0
慢性肾炎者多久能治好,请问肾病能治好吗？,0
非经期阴道出血怎么回事,非经期出血怎么回事？,1
我痛不痒,不病不痒,0
你好，月经量少是怎么回事,月经量少是怎么回事啊,1
肌酐300有影响吗,肌肝到110有影响吗,0
在排队,爪在,0
洗纹身洗几次能干净,洗纹身能洗干净吗,0
您是医生吗？怎么称呼？,您是医生吗？,1
我腮帮有点大,奶头有点大,0
请问，先天性无子宫可以治疗吗？,先天性无子宫，可以治疗吗,1
 注射玻尿酸能维持多久,玻尿酸注射能维持多久,1
玻尿酸注射一次维持多久,姣兰玻尿酸维持多久,0
怀孕了，不想要怎么办？,怀孕不想要怎么办,1
那一场怎么办,那怎么办了？,1
系统性红斑狼疮好治吗,好治不,0
透析两年多了,肾衰竭两年有余，肌酐1000多,0
不是有永久吗,不是可以永久脱毛吗,0
是左边疼,我左边的睾丸疼  是怎么回事,0
玻尿酸注射能维持多久, 玻尿酸注射可以维持多久,1
处女膜修复费用,处女膜修复价格,1
用试纸多久可以测出怀孕,同房多久能用试纸测出怀孕,0
阳痿早泄请问吃什么药,阳痿 早泄 吃什么药,1
那时候睾丸就一大一小,睾丸一大一小特别严重是怎么回事,0
埋线双眼皮能保持多久,埋线 双眼皮 一般能保持多久,1
我早泄，怎么治啊,怎么治啊，,0
你是那位面医生,你是医生吗,0
外阴痒和疼怎么回事,外阴痒怎么办,0
那怎么可以治疗呢,那现在怎么治疗呢,1
什么牌子的瘦脸针,瘦脸针什么牌子的啊,1
怎么治疗你们？,你们是怎么治疗的呢,1
是什么原因引起的,尿毒正是什么原因引起的,0
祛疤？, 陈子怡&nbsp;13163345932&nbsp;祛疤,0
你们不也是男科吗,你们检查男科的,1
可以去除哆,可以去除胎记吗,0
一般性生活时间短，怎么办,我的时间短怎么办,0
我是幼稚子宫能治好吗,幼稚子宫能治好吗,1
早泄是什么原因呢？,什么原因呢，,0
疤痕修复可以吗,可以包皮修复疤痕吗,0
BV±,BV是什么了,0
后遗症有吗, 会有后遗症吗？,1
激光脱毛 ,肛门激光脱毛,0
透析能治好吗,肾脏炎能治好吗,0
肌酐高到800有什么办法能治疗,有什么办法吗？,0
是，需要什么检查,需要检查,0
可以永久脱毛吗, 可以永久脱毛吗,1
是始基子宫待排,推测是始基子宫,0
肾病好治吗,过敏性紫癜好治吗？,0
胎记能彻底去除吗,胎记 彻底去除吗？,1
永久脱毛是永久的吗？,能纹永久的吗？,0
你好瘦脸针是什么牌子的？, 瘦脸针什么牌子的,1
淄川可以脱唇毛吗,脱唇毛套餐,0
请问冰点脱毛是永久的吗？,冰点脱毛永久吗？,1
还有点尿不尽,尿不尽怎么回事,0
有不是永久的吗,不是永久的？,0
是怎么解决呢？,五十块钱能解决吗,0
治疗的好吗,过敏性紫癜能治疗好吗？,0
用什么药好呢？,用什么药好,1
中医还是西医治疗好,中医还是西医？,0
大便出血是怎么回事, 大便出血怎么回事,1
17835125650  姓王,微信 PLACPLASFPLA,0
彩超需要憋尿吗？,做彩超用不着憋尿,0
祛斑反弹吗？,祛斑会不会反弹,1
阴道外围痒,阴道 痒,0
紫癜用什么药,过敏性紫癜用什么药治疗？,0
能测出来,你好，请问怀孕几天能测出来,0
左边的睾丸疼怎么回事,左边睾丸坠疼,0
单眼皮，经常贴双眼皮贴，松弛, 经常贴双眼皮有点锤,0
月经一般来几天算正常？,月经呆几天算正常,1
输卵管造影是造影会痛吗,冲洗会痛吗,0
白带多发黄有异味,白带有点多，不发黄,0
洗纹身洗几次能干净,可以洗干净洗,0
那有什么好办法,那有什么治疗办法嘛,1
你是医生吗？, 你是医生吗？,1
iga如何治疗,肌肝高如何治疗,0
来月经 有血块正常吗,月经有血块,0
会不会遗传,白癜风会遗传吗,0
皿压高咋办,咋办,0
检查了 白带常规,就是白带常规检查,0
无创蕊丽,说是无子宫无阴道,0
正在吃药,吃药降到5O,0
能祛疤,可以祛斑祛疤吗？,0
我的龟头疼，怎么回事？,阴茎龟头疼,0
一坨有点大,骸骨有点大,0
肾哀竭能治愈吗？,怎么治愈,0
大概治疗要多少费用,大概治疗要多少钱,1
吃什么药好用,包皮有炎症吃什么药好,0
瘦脸针299是什么牌子的,你们的瘦脸针什么牌子的,0
咨询会传染吗？,会传染吗？,1
我想咨询血管瘤挂什么科,血管瘤治疗挂什么科,1
进口的和国产的有什么区别呢,进口玻尿酸和国产玻尿酸的区别,0
我的屌上长了小白点,请问龟头上长了小白点是怎么回事,0
咋办,肌酐138了咋办,0
什么注意事项？,洗后有什么注意事项吗,0
子宫可以人造吗,有人造子宫吗,0
肾病综合征如何治疗,如何治疗过敏性紫癫,0
会不会以后不会怀孕了？,会不会是怀孕,0
白斑是什么,糖珍是什么,0
用微信聊如何,肾病综合征如何分期,0
用什么药物, 用什么药物呢,1
怎么一个月来了两次月经,要是一个月来两次月经正常吗,0
您好，外阴瘙痒是怎么回事,外阴瘙痒是怎么回事？,1
怀孕挂什么科,请问儿童医院挂什么科,0
有几年了 椎间盘腾出,几年了的,0
我想咨询下额角,我想电话咨询下,0
肾病综合征严重吗,严重吗，太夫,0
我的外阴特别痒,外阴特别痒,1
多久能测出,怀孕多久能测出怀孕,0
我以前手淫,以前有脑血栓,0
你好👋还在吗,在不你好,1
请问你们医院是公立还是私立,请问你们的医院是公立还是私立啊,1
肾哀结是怎么引起的,是怎么引起的呢？,0
胎记多大可以治疗,胎记 多大可以治疗,1
扩散的很快,太田痣会扩散吗,0
怎样才是包皮过长,包皮怎样算过长,1
肌酐四十,四十伍,0
你们医院医保卡可以用吗, 医保卡可以用吗,1
饮食要注意什么吗, 饮食注意什么呢,1
彩超和B超有啥区别么,彩超和B超有区别吗,1
双眼皮修复可以吗,修复双眼皮的,0
冰晶脱毛是冰点脱毛吗,冰点脱毛是永久的吗？,0
月经发黑怎么回事,月经发黑是怎么回事呀,1
在门头沟永定镇石门营,不在，在江苏,0
多囊肾能不能治好？,贤病能不能治好,0
治疗黄褐斑怎么收费,你们治疗黄褐斑怎么治疗呢？,0
你好 请问早泄怎么治疗,你好，早泄怎么治疗,1
，始基子宫能治疗吗,始基子宫 能治疗吗？,1
手术了两年,己络两年多了,0
阴囊潮湿，有,阴囊潮湿,1
35男姓,35陕西榆林市,0
无痛人流呢,无痛人流可以吗？,0
需要做什么检查,没有做检查，需要做什么检查,0
早泄也能治好的吗？,怎么能治好,0
石女那治吗,石女有月经来吗？,0
有时候腰会困,有时候关节痛,0
这个需要住院治疗吗？,这个还需要住院治疗吗？？？,1
石女来月经吗请问,来月经会是石女吗,0
月经推迟什么原因？,月经推迟的原因是什么,1
中度阳痿啊,是的中度,0
套盒是什么牌子的,瘦脸针多少钱什么牌子的,0
药流怀孕多久可以,怀孕多久可以药流？,1
我是手淫好多年了,好多年了你,0
是中医还是西医,是中医还是西医治疗？,1
 588的是什么牌子,299的是什么牌子,1
龟头上有小红点是什么,龟头上有小红点什么情况,1
什么治疗方法,什么治疗方法？,1
请问双子宫能怀孕吗,双子宫能怀孕吗,1
做阳水穿刺有风险吗,穿刺手术有什么风险,0
那该怎么办？,那该怎么办,1
白癜风能治好吗？,您们能治好吗,0
我性生活时间短怎么回事,就是时间短，性生活,0
叫超就行,叫医吞,0
我不知道是不是,不知道是不是白斑,0
阴茎发言了吃什么药好,要吃什么药好？,0
多囊肾泡破了怎么处理,怎么处理？,0
这个需要怎么治疗,这个病好治疗吗,0
恢复期多久,妙桃恢复期多久,0
不确定是不是,肝门处，不确定是不是,0
不痒痛,不病不痒,0
西京医院可以移植,可以移植吗,0
月经发黑什么原因,月经量少发黑什么原因,0
会不会传染吗,会不会传染,1
激光脱毛是永久的么,是永久的脱毛吗,0
脱毛有永久的么,脱毛 是永久的么？,1
感觉龟头疼,我这龟头疼,1
肾衰竭是由什么引起的,由过敏性紫癜引起的,0
阴囊疼是咋回事,阴囊潮湿是咋回事？,0
系统性红斑狼疮严重吗,170严重吗,0
红班狼怆能治吗,多囊肾能治吗？,0
那应该怎么治疗呢？,那应该怎么治疗,1
公务园屎检查,咋天检查,0
漏尿是阴道松弛吗,阴道松弛^quCYkpfnQq^eyJwMSI6IjEwMjQwOTNwIiwicDIiOiIxMDEyODUycSIsInAzIjoiMTAyMjE4OWkiLCJwNCI6IntcImJyb3dzZXJpZFwiOlwiMTFcIixcImJhaWR1aWRcIjpcIjJDRkFERjgwNDYyOUZBMjM3RDVERkJERDRGOEZCOUVGXCJ9Iiwic2NoZW1lIjoidjEvYnJvd3Nlci9vcGVuP3VybD1odHRwcyUzQSUyRiUyRm0uYmFpZHUuY29tJTJGZnJvbSUzRDEwMTI4NTJxJTJGcyUzRndvcmQlM0QlMjVFNSUyNUI5JTI1QkYlMjVFNSUyNUI3JTI1OUUlMjVFNSUyNThGJTI1OEIlMjVFNSUyNUE1JTI1QkQlMjVFNSUyNThDJTI1QkIlMjVFOSUyNTk5JTI1QTIlMjVFNSUyNUE2JTI1ODclMjVFNCUyNUJBJTI1QTclMjVFNyUyNUE3JTI1OTElMjZzYSUzRGJyc18zX2QlMjZycSUzRCUyNUU1JTI1QjklMjVCRiUyNUU1JTI1QjclMjU5RSUyNUU1JTI1OEYlMjU4QiUyNUU1JTI1QTUlMjVCRCUyNUU1JTI1OEMlMjVCQiUyNUU5JTI1OTklMjVBMiUyNnJzZiUzRDE2MzAwMTMlMjZwcWlkJTNEMTI3MzYwNTAzNzA1OTM4ODAzNDclMjZycWlkJTNEMTI3MzYwNTAzNzA1OTM4ODAzNDclMjZwYXJhbXNfc3NydCUzRHNtYXJ0eSZuZXd3aW5kb3c9MCZzaW1wbGU9MSZmcm9td2lzZT0xIn0=,0
阴道老年性松弛,阴道松弛^quCYkpfnQq^eyJwMSI6IjEwMjQwOTNwIiwicDIiOiIxMDEyODUycSIsInAzIjoiMTAyMjE4OWkiLCJwNCI6IntcImJyb3dzZXJpZFwiOlwiMTFcIixcImJhaWR1aWRcIjpcIjJDRkFERjgwNDYyOUZBMjM3RDVERkJERDRGOEZCOUVGXCJ9Iiwic2NoZW1lIjoidjEvYnJvd3Nlci9vcGVuP3VybD1odHRwcyUzQSUyRiUyRm0uYmFpZHUuY29tJTJGZnJvbSUzRDEwMTI4NTJxJTJGcyUzRndvcmQlM0QlMjVFNSUyNUI5JTI1QkYlMjVFNSUyNUI3JTI1OUUlMjVFNSUyNThGJTI1OEIlMjVFNSUyNUE1JTI1QkQlMjVFNSUyNThDJTI1QkIlMjVFOSUyNTk5JTI1QTIlMjVFNSUyNUE2JTI1ODclMjVFNCUyNUJBJTI1QTclMjVFNyUyNUE3JTI1OTElMjZzYSUzRGJyc18zX2QlMjZycSUzRCUyNUU1JTI1QjklMjVCRiUyNUU1JTI1QjclMjU5RSUyNUU1JTI1OEYlMjU4QiUyNUU1JTI1QTUlMjVCRCUyNUU1JTI1OEMlMjVCQiUyNUU5JTI1OTklMjVBMiUyNnJzZiUzRDE2MzAwMTMlMjZwcWlkJTNEMTI3MzYwNTAzNzA1OTM4ODAzNDclMjZycWlkJTNEMTI3MzYwNTAzNzA1OTM4ODAzNDclMjZwYXJhbXNfc3NydCUzRHNtYXJ0eSZuZXd3aW5kb3c9MCZzaW1wbGU9MSZmcm9td2lzZT0xIn0=,0
那小怎么办那,我看公早泄怎么办,0
我人在昌平,五分在,0
是永久的脱毛吗,激光能脱毛吗？永久的,0
检查泌尿科需要空腹吗？,需要空腹检查吗,0
双角子宫zen me ban,双角子宫？,0
时间短，怎么回事呢,时间短怎么回事,1
打消炎针,就打了消炎针,0
盘状性红班狼狍能治好吗？,我肌酐141能治好吗？,0
8000是永久吗？,脱毛99是永久的吗，,0
 脸上的黑点,脸上去黑点,0
18798662665自体脂肪丰胸,自体脂肪丰胸什么价格,0
第三代试管不会痛吗？,不会痛的吗,0
什么原因😊,什么原因呢,1
大便有血怎么回事啊？,大便有血怎么回事？,1
我是一双一单,关键是一单一双,1
有什么治疗的方法,有什么治疗方法吗,1
无阴道，墙角子宫,无，,0
龟头疼痒的感觉,龟头疼，阴囊潮湿,0
需要检查什么吗？,我需要做什么检查,0
外阴瘙痒用什么药呢？,外阴瘙痒。用什么药？,1
会来月经的是石女吗,来月经是石女吗,1
780瘦脸针是什么牌子, 瘦脸针现在是什么牌子,0
能祛疤吗？ , 祛疤可以吗,1
是冰点脱毛,请问冰点脱毛是永久的吗？,0
正在吃药,吃药能消出吗,0
LGA肾病能治好吗,肌酐450了能治好吗,0
这怎么治啊,是那怎么治啊,1
先天性幼稚子宫能治好吗,幼稚子宫能治好怀孕吗,0
我是先天性无子宫，能治吗, 先天性无子宫能治吗,1
无痕双眼皮,日式无痕双眼皮是埋线的吗,0
祛疤价格,激光可以祛疤吗,0
是永久的脱毛吗,脱毛 有永久的吗？,1
微创手术是什么？,微创手术是什么,1
我想咨询下额角,我想咨询下眼纹,0
屌疼,肉棒疼,1
紫癜有什么症状,肾衰竭有什么症状,0
背壳壳疼,肾部疼,0
子宫切除影响性生活吗,子宫切除，对性生活有影响吗？,1
双子宫 是什么意思,双子宫什么意思,1
不痒不病,不桶不痒,0
想咨询招聘,想咨询复诊,0
你们打的瘦脸针是什么牌子的啊,瘦脸针 是什么牌子的啊,1
外阴痒，是怎么回事,我是外阴痒,0
试纸怀孕多久能测出来,试纸是多久能测出来？,1
吃点啥药好,吃点什么药？,1
先天性无子宫无阴道是怎么回事,先天性无子宫无阴道可以治愈？,0
市痔疮吗,无花果叶能治痔疮吗,0
lga肾病可以治好吗,Ig肾病可以治好吗,1
多少钱一颗,一颗多少钱,1
禹香枚13529683995绣眉,绣眉是什么,0
是永久性吗,脱毛是永久性的？,0
激光祛斑会反弹不,请问激光祛斑会反弹吗？,1
那那怎么办？,那怎么办了,1
指尖调理,多囊肾怎么调理,0
长虹医院男科看的,你们男科医院太贵,0
肾衰竭是什么症状,肾病症状,0
我尿频,尿频吗,0
有几个月吧？,这几个月没性,0
龟头上有小红点，怎么回事,阴茎上有小红点是怎么回事,0
月经量少，怎么回事, 月经量少是怎么回事,1
观音坐莲女上位就射的快,恩恩就射的快,0
来月经是石女吗,请问石女来月经吗,0
吃什么药代夫,红班狼吃什么药,0
纹身能洗干净吗, 纹身可以洗干净吗？,1
乙线炎复发,过敏性紫癜复发,0
你好，先天性无子宫无阴道,先天性无子宫可以治吗,0
什么叫化学致癌物,什么叫包皮,0
自体脂肪填充好多钱,可以自体脂肪填充吗？,0
以前有过的,我以前有过前列腺炎,0
月经一个月来两次是什么原因,一个月来了两次月经什么原因,1
emm…,肌酐160…,0
过敏性紫癜要怎么治疗,要怎么治疗？,0
 什么牌子的瘦脸针, 你们瘦脸针是什么牌子的,1
嗯，孔先生,嗯 朱,0
慢性肾炎严重吗,肌酐215严重吗,0
我就是无子宫无阴道,说是无子宫无阴道,1
外阴痒，是怎么回事, 外阴痒，是怎么回事,1
什么叫穿刺,什么叫肾病,0
请问洗纹身可以吗,洗纹身有优惠吗？,0
一般多少钱,一般多少,1
我想咨询下眼纹,我想咨询下额角,0
外阴特别痒怎么办,我外阴特别痒怎么回事,0
肌酐1157危险吗？,危险吗？,0
不是永久的？,不是永久吗,1
幼稚子宫，能治好吗？,幼稚子宫能治好吗，,1
肌酐92严重吗,肌酐138严重吗,0
阳痿早泄请问吃什么药,阳痿早泄。吃什么药,1
怎么解决呢 ？,那痒怎么解决呢,0
那小怎么办那,那怎么办😱,0
应该吃点什么药啊,可以吃点什么药,1
怀孕都有什么症状？,有什么症状？,0
洗纹身可以洗干净么,可以洗干净洗,0
无子宫好治疗吗,无阴道能治疗好吗,0
宫寒  lai,宫寒,1
"我想咨询""双向情感障碍""","我想咨询""深圳失眠抑郁症""",0
包皮手术多久可以恢复好,手术多久恢复,0
是BV，发错了,BV是什么了,0
BV 是什么,BV检测是什么,1
先天性无阴道可以治疗吗,你好，先天性无子宫无阴道,0
这个怎么治,过敏性紫癜这个怎么治,0
没有子宫还会来例假,子宫切除还会来月经吗,1
治疗费多少钱,大该费用多少钱💰,1
可以永久脱毛吗？,永久脱毛什么费用？,0
我现在吃什么药好？,阴茎发言了吃什么药好,0
红板蓝疮怎么治,肾结核怎么治？,0
会不会扩散,会扩散,0
勃起不够硬度,勃起硬度不够，早泄,0
有永久的吗, 有永久脱毛吗,0
无子宫阴道可以怀孕吗,现在无子宫无阴道可以治疗吗,0
是啊，我这个怎么治啊,怎么治一下啊,1
你好可以洗纹身吗, 可以洗纹身吗,1
没有做检查，需要做什么检查,需要做什么检查吗,0
Bv 是啥,Bv是什么呢,1
有两年了。,两年了,1
拜复乐可以治疗宫颈糜烂吗,宫颈糜烂可以治疗吗？,0
小胜子，左边疼,我左边的睾丸疼  是怎么回事,0
一分钟不到，,不到一分钟的,1
是割还是埋线,双眼皮，是割还是埋线的,1
大概治疗要多少钱,血管瘤大概要多少钱,0
666瘦脸针是什么牌子？,瘦脸针380元的是什么牌子,1
一个大一个正常,两侧睾丸一个大一个小正常吗,0
阳痿，早泄吃什么药,我阳痿吃什么药,0
时间短，怎么回事呢,时间短怎么回事,1
先天性无阴道，无子宫能治好吗？,先天性无子宫能治好吗？,0
试纸是多久能测出来？,怀孕试纸多久能测出来,1
偶尔有手肿,偶尔,0
"我想咨询""抑郁""","我想咨询""社会恐惧症""",0
脱毛99是永久的吗，,脱毛永久的吗？,0
这两年没看了,有两年了，包皮手术,0
2000的你给我介绍一下,能给我介绍一下吗,0
无子宫无卵巢能治吗？,先天性无子宫无卵巢能治吗,1
子宫腺肌症,腺肌症怎么回事,0
鞘膜积液？,睾丸鞘膜积液需要手术吗,0
怀孕多久会有反应？,怀孕多久有反应啊,1
包皮有点长，用切吗,有，包皮有点长,0
什么叫做石女,石女 是？,0
白带 有点发黄的,白带发黄希怎么回事,0
那早泄怎么办,那一场怎么办,0
小白点吗,阴经缝有小白点,0
洗眼线,可以洗眼线吗,0
需要做手术吗？,多囊肾需要做手术吗,0
怎莫戒掉手淫,怎么可以戒掉手淫,1
怎样才算包皮过长？,包皮长怎样才算,1
有什么办法降血压吗,有什么办法降下来,0
一般洗纹身多少钱,洗纹身 多少钱,1
血管瘤会有什么危害,血管瘤有什么危害吗,1
过敏性紫癜吃什么药？,头昏吃什么药,0
我叫吴子豪,我叫刘时安,1
配偶有妇科炎症会影响怀孕吗,有痛经会影响怀孕吗,0
大便有血怎么回事,大便有血是怎么回事,1
水光针多久打一次啊, 水光针多久打一次啊,1
多襄肾多襄肝能治愈吗,这个好治愈吗,0
