,uuid,sentence,sentence2,label
101,c732744a-2dcd-11ea-bed5-e0d55e7e3b80,拥什么可以,您叫什么啊,0
103,a3dd52da-2dcd-11ea-a93a-e0d55e7e3b80,买阿莫西林可以吗？,那我吃头孢可以么,0
104,a3dc1a3e-2dcd-11ea-b3a1-e0d55e7e3b80,你说我该怎么治疗,那他这个怎么治疗么,1
107,a3ddc6fa-2dcd-11ea-b725-e0d55e7e3b80,包皮手术可以社保可以报销的么,包皮手术可以社保报销么,1
109,c9f0bb55-1bf8-11ea-b396-e0d55e7e3b80,可以咨询一下吗,咨询一下,1
110,c9f488fd-1bf8-11ea-8f9c-e0d55e7e3b80,咋鉴定包皮过长,我是说包皮过长的原因,0
112,a3df73a5-2dcd-11ea-b1c0-e0d55e7e3b80,我有严重早泄怎么治疗,有啊！你们那怎么治疗早泄的,1
113,a3ded790-2dcd-11ea-975f-e0d55e7e3b80,问一下，能用医保吗,那医保能用么,1
116,a3dba595-2dcd-11ea-ad3d-e0d55e7e3b80,这种情况一般怎么治疗啊,象这种情况怎么治疗,1
117,a3dd2b81-2dcd-11ea-a778-e0d55e7e3b80,那是阳痿吗,阳痿早泄可以治？,0
119,c9f093d5-1bf8-11ea-863e-e0d55e7e3b80,你是北京曙光医院的吗,北京曙光医院如何？,0
123,a3dbf3cc-2dcd-11ea-a3dc-e0d55e7e3b80,什么叫包皮 包茎,是包皮长？,0
124,a3dd7951-2dcd-11ea-a702-e0d55e7e3b80,你值得性生活是多长时间？,那多长时间可以性生活呢,0
126,c9f17d03-1bf8-11ea-9221-e0d55e7e3b80,检查多少钱,检查大概需要多少钱,1
127,c9f1ca99-1bf8-11ea-84a6-e0d55e7e3b80,检查什么,检查要注意什么吗？,0
128,c9f3ec02-1bf8-11ea-97e7-e0d55e7e3b80,需要手术之类的吗,需要手术吗,1
131,a3dcb643-2dcd-11ea-99c4-e0d55e7e3b80,抽血检查吗,检查什么内容，就抽血？,0
136,a3de1538-2dcd-11ea-bec4-e0d55e7e3b80,我感觉没什么用,感觉也不怎么硬,0
140,a3df4c63-2dcd-11ea-8261-e0d55e7e3b80,多长时间可以恢复好啊,如果我做了多长时间会恢复正常？,1
144,c9f1a38f-1bf8-11ea-a3ca-e0d55e7e3b80,那我这情况的多少钱,得多少钱,1
147,a3dabc6b-2dcd-11ea-879b-e0d55e7e3b80,怎么出来了这个？,这个怎么解。,0
149,a3da20c1-2dcd-11ea-b93d-e0d55e7e3b80,你就说我改怎么办吧，医生,医生咋办,1
151,a3ddc715-2dcd-11ea-82b5-e0d55e7e3b80,包皮有点长割包皮多少钱,割包皮的多少钱啊,1
152,c9f35110-1bf8-11ea-b69d-e0d55e7e3b80,嗯  没有,好了没有,0
153,c9efa8d9-1bf8-11ea-9c6b-e0d55e7e3b80,我包皮多年 现在龟头上有些小颗粒 我害怕 这是怎么回事,我今年17 下边有一颗颗那种  洗不掉  什么回事？,0
158,c9f0ba96-1bf8-11ea-b3f6-e0d55e7e3b80,割包皮 要多久时间,割包皮恢复得多长时间,0
159,a3deb0d7-2dcd-11ea-bb1e-e0d55e7e3b80,那多长时间能不疼啊,多长时间时间好,0
164,cb0614ce-1bf8-11ea-a03c-e0d55e7e3b80,是不是手淫的问题?,是不是制止手淫就好了,0
165,a3dcb69a-2dcd-11ea-806f-e0d55e7e3b80,是包茎吗？,什么叫包皮 包茎,0
167,a3dc68b1-2dcd-11ea-97da-e0d55e7e3b80,您好 请问有医生在吗,您好，请问郝老师在吗，,1
169,a3dd5217-2dcd-11ea-a7a8-e0d55e7e3b80,需要多长时间来检查,怀孕多久去做检查，需要做什么检查,0
171,a3da6e1c-2dcd-11ea-8d38-e0d55e7e3b80,包皮过长也会引起吗,怎么算包皮过长啊？,0
173,a3dba575-2dcd-11ea-b5fe-e0d55e7e3b80,这样怎么治疗？,怎么治疗好了,1
176,c9f1f1bd-1bf8-11ea-af34-e0d55e7e3b80,你是男医生还是女医生,女医生？,1
177,a3df73b2-2dcd-11ea-af68-e0d55e7e3b80,我睾丸左侧疼是怎么回事,右侧睾丸疼痛怎么回事,1
180,c9f4d732-1bf8-11ea-ba01-e0d55e7e3b80,哦检查什么呢,要检查什么 ？,1
182,c9f301e4-1bf8-11ea-8027-e0d55e7e3b80,嗯，，差不多，,嗯嗯，好像差不多是这样的,1
183,a3de14fd-2dcd-11ea-a7df-e0d55e7e3b80,我也不知道鸡鸡正常是多大,jj多大算正常,1
184,cb05ee8f-1bf8-11ea-b311-e0d55e7e3b80,不清楚呀,这个我不清楚,1
188,cb05a017-1bf8-11ea-9920-e0d55e7e3b80,怎么治疗呀？,那应该怎么治疗呢,1
190,c9f4128a-1bf8-11ea-8a30-e0d55e7e3b80,做过必超  也验过尿  但是医生说不是前列腺,B超是以前肾结石  还在 膀胱钙化,0
193,a3defedc-2dcd-11ea-82b6-e0d55e7e3b80,做包皮，多少钱,包皮多少钱，包茎多少钱啊,0
195,a3dd2bee-2dcd-11ea-8cde-e0d55e7e3b80,阳痿是什么啊,阳痿什么症状，,0
197,a3dcb665-2dcd-11ea-8afa-e0d55e7e3b80,昂，治疗的话怎么治疗呢,治疗要怎么治疗,1
201,a3de153c-2dcd-11ea-bb4d-e0d55e7e3b80,我是不是阳痿,这个是不是早泄,0
205,a3ded820-2dcd-11ea-8560-e0d55e7e3b80,不知道买什么药,不知道吃什么药啊，这不是问你啊,1
206,a3ddc6d6-2dcd-11ea-a1e5-e0d55e7e3b80,前列腺液是什么意思,前列腺是什么意思呀,0
208,c9f4d6e7-1bf8-11ea-9b9c-e0d55e7e3b80,都查什么,吃什么可以弄啊,0
209,a3db57a7-2dcd-11ea-a152-e0d55e7e3b80,治疗阳痿早泄要吃药治疗吗？,治疗早泄好治疗吗,0
211,a3df7389-2dcd-11ea-bc51-e0d55e7e3b80,我属于阳痿还是早泄,这是阳痿，还是早泄,1
212,c9f218cf-1bf8-11ea-b4a5-e0d55e7e3b80,啥都没有,没有你说的其他的,0
214,a3da94c9-2dcd-11ea-955e-e0d55e7e3b80,吃什么药可以，男,那吃什么药阿,0
218,c9f17cd8-1bf8-11ea-bde2-e0d55e7e3b80,跟包皮有关系吗,和包皮有关吗,1
222,c9f156f5-1bf8-11ea-9f35-e0d55e7e3b80,什么原因啊,这是什么原因,1
223,a3deb0f3-2dcd-11ea-9c7e-e0d55e7e3b80,那您内快有仪器治疗吗,仪器有卖的吗,0
224,a3da956c-2dcd-11ea-b238-e0d55e7e3b80,喝什么药可以,7什么药啊,1
225,a3ded79e-2dcd-11ea-8529-e0d55e7e3b80,阳痿早泄，阴茎短小有治吗,阴茎短小阳痿早泄怎么办？,1
227,a3dcb687-2dcd-11ea-a3b5-e0d55e7e3b80,是什么原因引起这个病的,是什么引起的吗？,1
230,a3de3c28-2dcd-11ea-ab3f-e0d55e7e3b80,检查的话检查什么,那检查的话是怎么检查呢？,0
232,a3dcb61a-2dcd-11ea-9b92-e0d55e7e3b80,手术做什么手术？,手术疼吗，,0
233,c9f37830-1bf8-11ea-a860-e0d55e7e3b80,那早泄呢,你们那也治疗阳痿早泄是吧,0
237,c9f108b6-1bf8-11ea-82c0-e0d55e7e3b80,怎么检查呢,怎么检查的,1
242,a3dd51f8-2dcd-11ea-a006-e0d55e7e3b80,阴茎短小 如何增大增粗,阴茎短小 想问问可以增粗增大吗,0
245,c9f4134a-1bf8-11ea-b4fd-e0d55e7e3b80,这个得做啥检查啊,去那做检查,0
247,a3dabc25-2dcd-11ea-8b6e-e0d55e7e3b80,就是多少钱呢,我就想问多少钱。,1
249,c9f3ec87-1bf8-11ea-b478-e0d55e7e3b80,而且经常感到小腹胀   排尿不尽,尿频 尿急 尿不尽 尿分叉 有时候尿痛,0
250,a3deb0a1-2dcd-11ea-af78-e0d55e7e3b80,这这个需要多少钱大概,就问一下大概需要多少钱,1
252,a3dc687f-2dcd-11ea-9d73-e0d55e7e3b80,怎么治疗好的块,那你们都是怎么治疗的？,1
255,a3df7413-2dcd-11ea-ac48-e0d55e7e3b80,支原体呢？,什么是支原体？,0
256,c9f1f176-1bf8-11ea-aac9-e0d55e7e3b80,喝酒时呢,吸烟喝酒有,0
261,a3df4cb7-2dcd-11ea-bc3f-e0d55e7e3b80,容易勃起是病吗,阴茎很容易就勃起正常吗,1
263,a3dd04b7-2dcd-11ea-978a-e0d55e7e3b80,这叫早泄吗,阳痿早泄可以治？,0
264,a3dba579-2dcd-11ea-ac4d-e0d55e7e3b80,这样怎么治疗？,那怎么治疗啦,1
265,a3dc6869-2dcd-11ea-a0fa-e0d55e7e3b80,怎么检查一下精子质量,怎么检查精液质量,1
266,a3dd5209-2dcd-11ea-aaf4-e0d55e7e3b80,需要先做什么检查吗,我这都检查什么,0
271,a3da208d-2dcd-11ea-82d6-e0d55e7e3b80,你们这医院在北京什么区,你们是只有北京有医院吗,0
272,c9f266d9-1bf8-11ea-9357-e0d55e7e3b80,多少钱这个,得多少钱,1
274,a3dd2be0-2dcd-11ea-9e99-e0d55e7e3b80,阳痿早泄能治好嘛,原发性早泄能治好吗,0
275,c9f1cac4-1bf8-11ea-ba1c-e0d55e7e3b80,你们医院在哪里呀,你们是三0一医院吧,0
281,c9f351ca-1bf8-11ea-9f03-e0d55e7e3b80,病毒感染是梅毒吗？,这叫性病吗,0
286,a3dbf414-2dcd-11ea-b599-e0d55e7e3b80,你们那什么医院,你们医院都有什么主任,0
287,a3dd5275-2dcd-11ea-bb5b-e0d55e7e3b80,26也就几天，一星期。,26，前几天出现的,0
289,a411d7dc-2dcd-11ea-8fb0-e0d55e7e3b80,什么检查我都做了恰恰相反,请问，这样，做什么检查啊，,0
291,c9f3ec5b-1bf8-11ea-9662-e0d55e7e3b80,做包茎手术多少钱,请问做包皮手术多少钱,0
292,a3de14d2-2dcd-11ea-924d-e0d55e7e3b80,您就告诉我这个是怎么治疗的？,那你说我这个怎么治疗啊,1
293,a3deff4d-2dcd-11ea-a138-e0d55e7e3b80,包皮多少钱，包茎多少钱啊,割一个包皮多少钱能呢,0
295,c9f43b62-1bf8-11ea-9ae0-e0d55e7e3b80,嗯 正常吗,这种正常吗？,1
302,a3dd2b9c-2dcd-11ea-a309-e0d55e7e3b80,那还一拆线吗,不需要拆线吗？,1
303,c9f4128e-1bf8-11ea-b606-e0d55e7e3b80,一般需要怎么调理,怎么调理,1
304,a3dd2b8c-2dcd-11ea-b4c2-e0d55e7e3b80,那治疗期大概是多久呢,这大概需要治疗多长时间,1
312,a3dba578-2dcd-11ea-85f6-e0d55e7e3b80,这样怎么治疗？,哈怎么治疗？,1
313,a3dc68c2-2dcd-11ea-bbd8-e0d55e7e3b80,您怎么称呼和您联糸、,怎么能呀,0
314,c9f0bae2-1bf8-11ea-b65c-e0d55e7e3b80,做什么检查？,不检查那,0
319,a3d9f969-2dcd-11ea-95f4-e0d55e7e3b80,不晓得去哪家医院,忘了哪家医院，反正看过,0
321,c9f1f13f-1bf8-11ea-b114-e0d55e7e3b80,什么原因造成的,请问是什么原因呢,1
322,a3df73b5-2dcd-11ea-aee1-e0d55e7e3b80,我知道你们医院在哪了,你们是3甲医院吗？,0
324,c9f2db5e-1bf8-11ea-9991-e0d55e7e3b80,现在说可以吗,那现在可以吗,0
325,c9f17c95-1bf8-11ea-93ae-e0d55e7e3b80,我这个事前列腺出问题了吗,前列腺没问题,0
326,c9f2db19-1bf8-11ea-9e35-e0d55e7e3b80,是什么原因,是什么导致的,1
330,c9f24078-1bf8-11ea-a0fc-e0d55e7e3b80,22  还没有性生活,还没性生活,0
332,c9f26730-1bf8-11ea-827d-e0d55e7e3b80,性生活不正常了，,性生活早泄,0
335,a3df2654-2dcd-11ea-a6d3-e0d55e7e3b80,噢那怎么治疗呢,怎么可以治疗了,1
336,a3da205b-2dcd-11ea-891f-e0d55e7e3b80,以前有手淫习惯，这和手淫有关系吗,这和经常手淫有关系？？,0
341,c9f06bbe-1bf8-11ea-b88f-e0d55e7e3b80,要怎么检查呢,要怎么检查？,1
344,a3da4749-2dcd-11ea-a88a-e0d55e7e3b80,做包皮长吗,不知道包皮吧！包茎是啥,0
345,a3dbcd4d-2dcd-11ea-a24a-e0d55e7e3b80,需要怎么治疗，或者用什么药呢,需要做什么治疗,0
349,cb05c76a-1bf8-11ea-a157-e0d55e7e3b80,把包皮做了需要多少钱？,包皮手术多少钱啊,1
351,a3dd2bab-2dcd-11ea-bcbc-e0d55e7e3b80,那这该怎么治疗？,那他这个怎么治疗么,1
354,c732744a-2dcd-11ea-bed5-e0d55e7e3b80,早泄哪怎么版,早泄，短小，怎么办,0
356,c9efa949-1bf8-11ea-af1f-e0d55e7e3b80,这个是要药物治疗吗,这个治疗快？,0
358,a3deff52-2dcd-11ea-a3f6-e0d55e7e3b80,包皮多少钱，包茎多少钱啊,做包皮，多少钱,0
367,c9f09424-1bf8-11ea-a5a2-e0d55e7e3b80,治疗是吃药，还是做别的呢！,治疗是吃药还是。。。,1
376,a3dd52cb-2dcd-11ea-9618-e0d55e7e3b80,不需要去医院检查下吗？,那我要去医院检查吗？,1
379,c9f39ec7-1bf8-11ea-87de-e0d55e7e3b80,21   性生活后,是性生活出现的,0
380,a3dc1a55-2dcd-11ea-aaf4-e0d55e7e3b80,做一个手术多长时间？,这个手术得多长时间,1
382,c9f17d15-1bf8-11ea-aa1f-e0d55e7e3b80,这个药物能治疗吗,药物治疗还是？,0
383,a3dd04af-2dcd-11ea-8883-e0d55e7e3b80,这个需要怎么补,需要怎么医,0
384,a3dbf411-2dcd-11ea-8060-e0d55e7e3b80,你们能治疗早泄吗,请一下那你治疗早泄阳痿吗,0
386,a3ddc76b-2dcd-11ea-931c-e0d55e7e3b80,吃什么药可以好。,都是什么药,1
388,c9f4627d-1bf8-11ea-b973-e0d55e7e3b80,做一个什么检查,那需要做什么检查呢,1
390,a3df2576-2dcd-11ea-bd1d-e0d55e7e3b80,医院检查需要做什么项目呢,需要去医院检查嘛,0
392,a3dd2b8b-2dcd-11ea-9b14-e0d55e7e3b80,那治疗期大概是多久呢,大概的治疗周期是多长,1
393,c9f39f94-1bf8-11ea-a241-e0d55e7e3b80,阳痿早泄怎么治,就是我是早泄,0
396,c9f4d6ba-1bf8-11ea-9c04-e0d55e7e3b80,什么情况就属于呢,什么情况呢,1
397,a3dc4192-2dcd-11ea-a0b8-e0d55e7e3b80,嗯怎么办才好,噢噢  那这个该怎么办啊,1
398,c9f3c68b-1bf8-11ea-b340-e0d55e7e3b80,是包皮垢吗,嗯，包皮也不能割吗,0
400,a3da6dff-2dcd-11ea-b188-e0d55e7e3b80,包皮手术怎么做疼吗,作一个包皮手术么？,0
402,a3dc8f43-2dcd-11ea-81dd-e0d55e7e3b80,我做爱几分钟就完事了,啪啪啪也就几分钟,1
404,a3da9574-2dcd-11ea-84bb-e0d55e7e3b80,嗯    打胎多少钱啊,我就问问打胎多少钱,1
405,a3de62f1-2dcd-11ea-995a-e0d55e7e3b80,药物可以治疗好么？,哦 药物治疗吗？,0
409,c9f2184c-1bf8-11ea-96d7-e0d55e7e3b80,你看什么情况,是什么情况就好,0
416,a3df7365-2dcd-11ea-82c8-e0d55e7e3b80,您那里做包皮多少钱,那要是切包皮的多少钱,1
417,c9f3c5fb-1bf8-11ea-8a5a-e0d55e7e3b80,今天去看看,我去看看,1
418,c9f488ba-1bf8-11ea-a7bf-e0d55e7e3b80,就是想问你,想问你了,1
420,a3db30d4-2dcd-11ea-b17f-e0d55e7e3b80,是不是老婆有什么问题,那我女朋友是不是也有什么,0
422,c9f488cb-1bf8-11ea-b0bb-e0d55e7e3b80,波不起来是怎么回事,那是怎么回事？？,0
424,a3dbf42d-2dcd-11ea-a749-e0d55e7e3b80,你才取手术治疗吗,治疗需要坐手术吗？,1
428,a3dc68bd-2dcd-11ea-9a7e-e0d55e7e3b80,您怎么称呼和您联糸、,那我得怎么去？,0
429,c9f350f6-1bf8-11ea-9fa7-e0d55e7e3b80,这个是什么症状,这种情况是什么病？,0
435,a3d9f979-2dcd-11ea-8d9f-e0d55e7e3b80,不知道包皮吧！包茎是啥,能上翻是包皮吗,0
442,c9f1091b-1bf8-11ea-9c91-e0d55e7e3b80,是不是包皮过长呢,是不是包皮过长的原因,0
444,c9f1a3d1-1bf8-11ea-bd17-e0d55e7e3b80,都检查什么项目,还能检查那些项目,1
447,c732744a-2dcd-11ea-bed5-e0d55e7e3b80,怎么质料呢还是,这需要怎么治疗呢,1
450,a3dc1ace-2dcd-11ea-99d3-e0d55e7e3b80,包皮手术多少钱呢？,做包茎手术。多少钱，,0
451,c9f46227-1bf8-11ea-a537-e0d55e7e3b80,还需要检查什么呢,去什么科检查啊,0
453,a3dc6899-2dcd-11ea-977a-e0d55e7e3b80,性生活多长时间正常的啊,多长时间以后就可以正常性生活了,0
454,a3dba5a1-2dcd-11ea-8d4d-e0d55e7e3b80,这种问题会导致什么？,这种事什么原因导致的,0
455,a3de1593-2dcd-11ea-bea3-e0d55e7e3b80,手术费多少呢？,好的需要手术费多少啊,1
457,c9efd071-1bf8-11ea-b953-e0d55e7e3b80,这个是什么原因导致呢？,这是什么引起的?,1
458,c9f302b3-1bf8-11ea-8ba1-e0d55e7e3b80,嗯，您怎么称呼,怎么问?,0
462,c9f1306a-1bf8-11ea-8d4d-e0d55e7e3b80,要花多少钱,要多少钱啊,1
463,cb05ee36-1bf8-11ea-be1d-e0d55e7e3b80,最近几天吧，不确定呢,最近几天,1
464,a3ded77d-2dcd-11ea-8518-e0d55e7e3b80,都是什么药,什么药可以补,0
467,c9ef8220-1bf8-11ea-9c72-e0d55e7e3b80,这是什么情况啊？,我这是什么情况,1
471,a3dc8f21-2dcd-11ea-94a7-e0d55e7e3b80,您说应该吃些什么药呢,您看得吃些什么药,1
472,c9f2b3fa-1bf8-11ea-b0e6-e0d55e7e3b80,哦检查什么呢,那检查什么,1
473,c9f39f3c-1bf8-11ea-8e71-e0d55e7e3b80,就是吃阳痿早泄的药？,阳痿早泄怎么办啊？,0
477,a3dcb637-2dcd-11ea-ab16-e0d55e7e3b80,手淫造成的嘛,手淫会造成你说的那种吗？,1
479,a3dd2bec-2dcd-11ea-ab6b-e0d55e7e3b80,阳痿是什么啊,什么叫早泄了,0
480,c9f266d8-1bf8-11ea-b0f9-e0d55e7e3b80,需要做什么检查,检查需要空腹什么的吗？,0
482,c9eff6ce-1bf8-11ea-9458-e0d55e7e3b80,那我要去哪里治疗呢,那个怎么治疗？,0
483,a3dd04f9-2dcd-11ea-b62f-e0d55e7e3b80,这需要检查那些？,是需要做检查？,0
493,c9f35191-1bf8-11ea-97fb-e0d55e7e3b80,该做什么检查？,这个要做什么检查,1
496,c9efd035-1bf8-11ea-b638-e0d55e7e3b80,图片发不了呀,发不了照片,1
499,c9f1a407-1bf8-11ea-867f-e0d55e7e3b80,怎样治疗尼？,那怎么治疗？,1
500,c9f30285-1bf8-11ea-a774-e0d55e7e3b80,去哪检查,我们想在检查检查,0
502,a3de630e-2dcd-11ea-bb61-e0d55e7e3b80,要做什么检查嘛,要是检查检查什么,0
505,a3dd0489-2dcd-11ea-acfe-e0d55e7e3b80,这个是怎么治疗能说一下么，,那他这个怎么治疗么,1
511,a3df9a86-2dcd-11ea-a5c6-e0d55e7e3b80,是男医生还是女医生做呀,你是男医生不,0
516,c9f4d655-1bf8-11ea-8ff7-e0d55e7e3b80,我很怕他有什么事,我这挺害怕的,0
517,a3ddee58-2dcd-11ea-80ae-e0d55e7e3b80,小便尿血是什么症状,小便尿血是什么原,0
521,c9eff6cd-1bf8-11ea-907f-e0d55e7e3b80,你是医院的人吗,去医院挂什么科？,0
522,c9f4d6d7-1bf8-11ea-adc5-e0d55e7e3b80,还没有去医院,我还没有去医院,1
526,a3dd0480-2dcd-11ea-bd87-e0d55e7e3b80,这个手术得多长时间,手术得多久啊,1
531,a3df4cad-2dcd-11ea-9e07-e0d55e7e3b80,如果去医院会做什么检查,不知道去什么医院检查,0
532,a3ddeea3-2dcd-11ea-aba8-e0d55e7e3b80,怎么可以调理。。。,能怎么调理么,1
533,a3dc41e1-2dcd-11ea-ac1e-e0d55e7e3b80,奥！是手术的一种对吗？,两种的手术都是随做随走的吗,0
538,c9f0baa0-1bf8-11ea-b572-e0d55e7e3b80,我想咨询一下阳痿早泄的问题,阳痿早泄可以治？,0
539,a3df9adb-2dcd-11ea-a24d-e0d55e7e3b80,检查这几项多钱,做几项检查，需要多少钱,1
543,c9f0bb5c-1bf8-11ea-9a5b-e0d55e7e3b80,严重吗  这种？,像这种情况严重吗,1
544,a3dcb6b0-2dcd-11ea-90f0-e0d55e7e3b80,是早泄吗，还是阳痿呀,看阳痿早泄，是看哪个科？,0
545,a3ded832-2dcd-11ea-a3e6-e0d55e7e3b80,为什么会早泄？？？,早泄算吗,0
546,c9f1ca8c-1bf8-11ea-96d2-e0d55e7e3b80,不是微信,是微信吗,0
549,c9f218e5-1bf8-11ea-9a42-e0d55e7e3b80,怎么治疗好啊,老师怎么治疗,1
550,a3da6e49-2dcd-11ea-8215-e0d55e7e3b80,医生，您说这是怎么回事,你就说我改怎么办吧，医生,0
553,c9f4b01e-1bf8-11ea-88ce-e0d55e7e3b80,是不是也是肾虚原因造成的呢,不是肾虚引起的吗,1
554,c9f3023e-1bf8-11ea-9feb-e0d55e7e3b80,怎么治疗。,你们这怎么治疗,1
559,c9f461d9-1bf8-11ea-9df1-e0d55e7e3b80,你们家医院在哪里,你们医院在那里,1
563,c9f10962-1bf8-11ea-b68a-e0d55e7e3b80,那这个需要多少钱啊,做一次需要多少钱,0
564,a3dc8f2d-2dcd-11ea-9012-e0d55e7e3b80,您那医院在什么地?,你们那什么医院,0
567,c9f3025b-1bf8-11ea-b342-e0d55e7e3b80,4  5天了,3    5年了,1
572,c9f0e223-1bf8-11ea-9255-e0d55e7e3b80,哦，，这样啊,哦，这样,1
575,a3df7386-2dcd-11ea-a00f-e0d55e7e3b80,我尿路感染导致阳痿早泄怎么治,阳痿早泄是怎么导致的,1
578,c9f108a3-1bf8-11ea-b450-e0d55e7e3b80,这个需要怎么治疗，要多少钱,我这个情况怎么治疗的多少钱了,1
580,c9f46197-1bf8-11ea-b280-e0d55e7e3b80,QQ可以么,QQ吧，微信号我忘了,1
581,c9f2400b-1bf8-11ea-99c5-e0d55e7e3b80,什么医院,医院在哪？,0
582,a3db7e80-2dcd-11ea-9046-e0d55e7e3b80,请问吃什么药好呢,那吃什么药好的快一些,1
583,a3ddc746-2dcd-11ea-92a0-e0d55e7e3b80,去医院做什么检查么？精子检查？,去医院都检查什么呀,0
585,a3dc6829-2dcd-11ea-b51d-e0d55e7e3b80,属于肾阳虚，还是肾阴虚,不知道自己是肾阴虚还是肾阳虚啊,1
587,a3de6370-2dcd-11ea-8de0-e0d55e7e3b80,请问能有方法治疗吗,嗯，什么方法治疗,1
590,c9f30217-1bf8-11ea-8643-e0d55e7e3b80,那应该怎么治疗呢,嗯，那怎么治疗,1
591,cb05edb5-1bf8-11ea-953b-e0d55e7e3b80,微信给你我加你,你给我微信我加你,1
