sentence,sentence2,label
怎么回事,是怎么回事,1
点痣会留疤不,点痣会不会留疤？,1
跟手淫有关系吗,那这个跟手淫有关系吗,1
皮肤松弛有一点吧 经常贴双眼皮贴,经常贴双眼皮贴有点松弛了,1
月经量少是怎么回事呢，,月经量少怎么回事？,1
宫外孕什么症状啊,宫外孕有什么症状,1
用什么药物能好呢？,用什么药物呢,1
怎样治疗,需要怎样治疗？,1
男人做爱多久算正常,男人多久算正常,1
请问外阴瘙痒用什么药,你好，我的外阴瘙痒用什么药,1
水光针299是什么,水光针是什么,0
咱们是公立还是私立医院,咱们这医院是公立的还是私立的,1
大慨要多少钱,多少钱,1
用试纸能测出来吗,用试纸能测出来吗现在？,1
是什么原因引起的,什么原因引起的,1
大便出血是怎么回事,大便出血，怎么回事,1
祛斑一般要几次,脱毛 一般要几次,0
可以保密吗,能保密吗,1
注射瘦脸针有什么副作用吗？,瘦脸针 有什么副作用吗？,1
费用大概多少钱,大概多少钱,1
黄褐斑要怎么治疗,黄褐斑怎么治疗,1
前列腺什么症状呢,前列腺什么症状,1
你们是大医院吗,你们是大医院吗,1
白带发黄，多，异味,白带有点发黄，还多有异味,1
冰点脱毛是永久吗？,是冰点永久脱毛吗,1
你们瘦脸针是什么牌子的,你们瘦脸针是什么牌子的,1
可以点痣吗,现在可以点痣吗,1
月经发黑怎么回事,月经发黑 是怎么回事,1
这个治疗是怎么治疗的啊,这个治疗怎么治疗啊？,1
你好始基子宫能治疗怀孕吗？,你好，始基子宫能治疗吗,0
子宫纵膈能怀孕吗？,纵膈子宫能怀孕吗,1
医生双角子宫能怀孕吗,双角子宫能怀孕吗,1
可以治疗的吗,可以治疗吗,1
脱毛可以永久脱毛吗？,可以永久脱毛吗,1
你好始基子宫可以治疗吗,你好，始基子宫能治疗吗,1
血管瘤应该挂什么科,血管瘤应该挂什么科,1
可以勃起硬度不够,勃起硬度不够,1
时间短怎么治疗呢,时间短怎么治疗,1
祛斑会不会反弹呢,祛斑 会不会反弹,1
那吃什么药可以呢,那吃什么药呢,1
这个怎么治疗？,这个治疗怎么治疗啊？,1
是公立还是私立，,请问公立还是私立？,1
这个应该怎么治疗呢,应该怎么治疗呢？,1
私立医院是吗,你们医院是私立的吗,1
一般洗纹身要多少钱,洗纹身 一般多少钱,1
那国产和进口的有什么区别,哦，国产的和进口的有什么区别,1
来月经有血块正常吗？,月经有血块，正常吗？,1
国产瘦脸针和进口的区别是什么,瘦脸针 进口的和国产的有什么区别呢,1
手淫多以前,手淫  以前多,1
胎记可以去除吗？,胎记 胎记可以去除吗,1
吸脂手术有危险吗,你好 吸脂手术危险吗,1
多少钱一颗,多少钱一颗,1
前列腺都什么症状,前列腺什么症状,1
怀孕了，不想要怎么办？,怀孕了 不想要怎么办,1
要吃什么药呢,吃什么药呢,1
玻尿酸可以保持多久,玻尿酸 能保持多久,1
白癜风能根治吗？,白癜风 能根治吗？,1
月经不调是怎么回事？,月经不调 怎么回事呢,1
是包皮长的,是的 包皮长,1
980双眼皮是埋线还是割的,双眼皮 你是割还是埋线,0
现在怎么降低敏感度,怎么降低敏感度,1
药物可以治疗吗,药物可以治疗吗？,1
要住院吗？,要住院吗？,1
我感觉是肾虚,我感觉我肾虚,1
可以修复处女膜吗,请问可以做处女膜修复吗？,1
瘦脸针可以维持多久？,瘦脸针可以维持多久,1
做祛斑可以吗,祛斑可以吗？,1
吃药治疗呢 还是,是吃药治疗还是什么,1
白带发黄是什么原因呢,白带发黄的原因是什么,1
是冰点脱毛吗 ,这个是冰点脱毛吗,1
吃啥药,吃啥药呢,1
子宫切除以后还能过性生活吗？,切除子宫还能过性生活吗？,1
外阴瘙痒用什么药治疗,你好，我的外阴瘙痒用什么药,1
你们是正规医院吗,是正规医院吗,1
外阴痒用什么药,外阴痒用什么药,1
血管瘤什么样子,血管瘤是什么样子的？,1
可以祛斑吗？ ,祛斑可以吗？,1
那怎么解决呢,怎么解决,1
这个怎么能治疗啊,这个怎么治疗啊,1
外阴瘙痒是怎么回事,外阴瘙痒怎么回事,1
一般洗纹身要多少钱,洗纹身要多少钱,1
要住院的吗？,要住院吗,1
你好，龟头上有小红点是怎么回事？,龟头上有小红点是怎么回事？,1
月经不调是什么原因？,月经不调 是什么原因呢,1
怎样才算包皮过长？,怎样才算包皮过长,1
龟头上有小红点，怎么回事,龟头上有小红点怎么回事,1
我想问一下瘦脸针298吗,我想问一下瘦脸针,0
可以永久脱毛吗,脱毛，可以永久？,1
你好    早泄怎么治疗,你好早泄怎么治疗呢,1
你们可以洗纹身吗,你们可以洗纹身吗,1
双角子宫能治疗吗？,双角子宫可以治疗吗,1
正常子宫多大,正常子宫多大,1
这个治疗是怎么治疗的啊,这个怎么治疗啊,1
注射瘦脸针有什么副作用吗？,瘦脸针 有什么副作用,1
阴道炎怎么引起的呢,阴道炎 怎么引起的,1
看胎记是挂什么科,看胎记在医院挂什么科,1
那宫颈糜烂怎么治疗呢,宫颈糜烂 怎么治疗,1
你好 还在吗,你好在吗？,1
正常多少分钟,多少分钟正常,1
 永久脱毛吗？,脱毛 能永久吗？,1
怎么治啊,那怎么治啊,1
那怎么可以治疗呢,那怎么治疗呢,1
正常的子宫是多大,正常子宫有多大,1
吃药可以吗，,吃药可以吗,1
乳头内陷怎么办,内陷乳头 怎么办,1
阴道炎用什么药？,阴道炎 用什么药治疗？,1
这个是三甲医院吗,你们是三甲医院吗,1
外阴瘙痒，用什么药？,外阴瘙痒，用什么药,1
割了有什么好处吗,割了有怎么好处,1
验孕棒一深一浅是怎么回事,验孕棒一深一浅是什么情况,1
瘦脸针有副作用吗？ ,瘦脸针 有什么副作用吗？,1
洗纹身多少钱嘞,洗纹身 一般多少钱,1
请问白癜风会传染吗,白癜风 会传染吗,1
阳痿早泄应该吃什么药呢,早泄应该吃什么药,0
请问可以药流吗,可以药流吗,1
药吃什么呢,那吃什么药呢,1
那该怎么办呢？,那该怎么办,1
需要住院吗？,治疗需要住院吗,1
双子宫是什么意思？,双子宫是什么意思,1
洗纹身需要多少钱,洗纹身 多少钱,1
月经黑色的是怎么回事,月经有黑色是怎么回事,1
龟头上出现小红点是怎么回事？,龟头上有小红点，是怎么回事？,1
血管瘤能治愈吗,血管瘤能治愈吗？,1
血管瘤有危险吗,血管瘤危险吗,1
瘦脸针有副作用吗？ ,瘦脸针 有什么副作用,1
祛痘印可以吗,请问可以祛痘印吗,1
纹身能洗干净吗？,纹身可以洗干净吗？,1
请问一下幼稚子宫可以治疗吗？,请问是幼稚子宫可以治疗吗？,1
大便出血是怎么回事？,大便出血怎么回事？,1
是永久性的脱毛吗,这个是永久性脱毛吗,1
两个子宫能怀孕吗,两个子宫可以怀孕吗,1
纹身能洗干净吗,纹身能洗干净吗,1
进口的和国产的区别？,进口的和国产的有什么区别,1
请问白癜风会传染吗,白癜风 请问会传染吗,1
请问怀孕多久可以做人流,怀孕多久可以做人流？,1
白斑会传染吗，,白癜风 会传染吗,0
是的，是无痛人流吗？,人流都是无痛的吗？,0
幼稚子宫能治好 吗,你好，幼稚子宫能治好吗,1
石女是什么意思啊？,石女是什么意思？,1
是包皮长的,是的 包皮长,1
可以祛斑吗？ ,可以祛斑吗？,1
验孕棒一深一浅怎么回事？,我用的验孕棒一深一浅是怎么回事,1
那宫颈糜烂怎么治疗呢,宫颈糜烂怎么治疗,1
早泄能治好的吗,早泄  能治好吗,1
吃什么药了,吃什么药啊？,1
怎么治疗这个,这个治疗怎么治疗啊？,1
脸上黑点,脸上有黑点,1
冰点脱毛永久吗？,你们冰点脱毛是永久脱毛吗,1
怎样治疗？,怎样治疗啊？,1
什么是物理治疗,物理治疗是什么？,1
包皮痒是咋回事呢,阴囊痒是咋回事？,0
请问你们是公立还是私立,请问公立还是私立？,1
阴囊潮湿是什么原因引起的,阴囊潮湿是什么原因,1
先天性无子宫，能治疗吗,请问先天性无子宫能治疗吗？,1
用什么治疗药,用什么药可以治疗,1
玻尿酸保持多久,注射玻尿酸能保持多久,1
始基子宫能治好嘛,始基子宫能治好吗？,1
龟头上出现小红点是怎么回事？,龟头上有小红点是怎么回事？,1
我便血是怎么回事,便血 是怎么回事,1
严重吗？这个病,这个病严重吗？,1
激光会有副作用吗,激光 有副作用吗,1
同房多久能测出怀孕,请问同房多久可以测出怀孕,1
幼稚子宫可以治吗？,幼稚子宫可以治吗,1
脱毛可以是永久性？,脱毛 是永久性的吗,1
会遗传吗？,有遗传吗？,1
请问早泄吃什么药，？,早泄吃什么药,1
你好 是三甲医院吗,是三甲医院吗,1
咱是公立还是私立的,你们是公立还是私立,1
你好，子宫切除对性生活有影响吗,子宫切除对性生活有影响吗？,1
打美白针有副作用吗,脱毛 有副作用吗,0
您好 白带发黄是什么原因,白带发黄 是什么原因呢,1
肠镜痛苦吗,肠镜 痛苦吗,1
小腹胀痛是怎么回事,小腹胀痛是怎么回事呀,1
埋线的能保持多久,埋线能保持多久,1
无子宫能治吗？,无子宫能治吗,1
彩超和B超有区别吗,彩超和B超有什么区别,1
时间短怎么治疗呢,时间短怎么治疗,1
一般要多少钱,一般多少钱,1
怀孕多久有反应啊,怀孕多久有反应啊,1
胎记可以 去除吗,胎记 可以去除吗,1
没有子宫对性生活有影响吗,无子宫 对性生活有影响吗？,1
那早泄怎么办。,早泄 那怎么办,1
要多久才能恢复,多久才能恢复,1
物理治疗是什么？,物理治疗是什么？,1
眼睛经常贴双眼皮贴有点松弛,经常贴双眼皮贴 松弛,1
一颗痣要多少钱一颗,痣 多少钱一颗？,1
去胎记大概多少钱,去胎记大概多少钱,1
那胎记会长大吗,胎记会长大吗,1
瘦脸针有什么副作用,瘦脸针 有什么副作用,1
你好？在吗,你好在吗,1
白癜风怎么治？,有白癜风怎么治,1
您好始基子宫能治疗吗,您好，请问始基子宫能治疗好吗？,0
怀孕多久可以做药物流产,怀孕多久可以做药物流产,1
大便有血怎么回事？,大便有血是怎么回事,1
是那怎么治啊,怎么治啊,1
吃什么药好，没有,吃什么药好呢？,1
黑色的月经是怎么回事,月经有黑色是怎么回事,1
我想咨询"儿童血管瘤怎么治最好",我想咨询"大人血管瘤怎么治最好",0
盆腔炎都有什么症状？,盆腔炎有什么症状,1
前列腺？有什么症状,前列腺有什么症状,1
脱毛有永久性的吗？,可以永久性脱毛吗,1
月经一个月两次是什么原因,我想问的是一个月来两次月经是什么原因呢,1
你好始基子宫能治疗怀孕吗？,始基子宫能治疗吗？,0
下巴短,下巴短,1
 激光祛斑会反弹吗？,激光祛斑 会反弹吗,1
子宫正常是多大的,正常的子宫是多大？,1
如何治疗,如何治疗。,1
怎么收费的？,怎么收费，,1
龟头上有小红点是怎么回事呀,龟头上有小红点怎么回事,1
可以洗纹身吗，？请问,可以洗纹身吗？,1
冰晶脱毛是冰点脱毛吗,你们冰点脱毛是永久脱毛吗,0
始基子宫能治疗好吗？,您好，请问始基子宫能治疗好吗？,1
验孕棒一浅一深，是怀孕了吗,验孕棒一深一浅是怀孕吗？,1
验孕棒一深一浅，是怀孕么？,您好  验孕棒一深一浅是怀孕了吗？,1
治疗胎记大概多少钱,胎记 治疗大概需要多少钱？,1
生殖器上有白色东西,龟头上有白色的东西,0
那宫颈糜烂怎么治疗呢,宫颈糜烂 一般怎么治疗呢,1
这个会传染吗,会传染吗,1
月经一般来几天算正常？,月经来几天算正常呢,1
这个病好治疗吗,这个怎么治疗,0
会不会怀孕呢？,会不会怀孕啊？,1
299的瘦脸针是什么牌子的,瘦脸针是什么牌子的,0
脱毛是永久性的？,脱毛 是永久性的吗,1
那怎么办？,那怎么办,1
一般正常子宫多大？,正常子宫多大？,1
 会不会留疤,会留疤吗,1
瘦脸针有副作用吗？ ,瘦脸针有什么副作用？,1
饮食要注意什么吗,饮食注意什么呢,1
一般月经推迟几天算正常的,月经一般几天算正常,1
盆腔积液是什么,盆腔积液是什么？,1
处女膜破了会怀孕吗,处女膜 破了会怀孕吗,1
我外阴瘙痒用什么药,你好，我的外阴瘙痒用什么药,1
阳痿怎么治疗啊,阳痿  怎么治疗,1
子宫纵膈可以怀孕吗,纵膈子宫可以怀孕吗,1
用妇炎洁洗洗可以吗,用妇炎洁洗洗可以吗,1
瘦脸针我想问一下,我想问一下瘦脸针,1
一般月经推迟几天算正常的,月经 一般几天算正常,1
会有什么副作用吗,有什么副作用吗,1
男人多久射精才算正常,男人多久才正常,0
应该怎么资治疗,应该怎么治疗,1
我的月经发黑是怎么回事,月经 发黑怎么回事,1
怀孕试纸多久能测出来,早孕试纸 怀孕多久能测出来,1
有永久脱毛吗,有永久脱毛吗？,1
白带黄色有异味,白带有点黄色的异味,1
什么是子宫腺肌症,子宫腺肌症是什么,1
曾经有过手淫,以前有过手淫,1
怀孕都有什么症状,怀孕有什么症状,1
纹身能洗干净吗,纹身可以洗干净吗？,1
血管瘤是什么样,血管瘤什么样,1
可以洗纹身吗，？请问,可以洗纹身吗，？请问,1
你好， 我是幼稚子宫 能治好吗,你好，幼稚子宫能治好吗,1
请问是公立还是私立,咱们是公立还是私立,1
微创手术是什么,微创手术是什么呢？,1
白癜风怎么治,白斑怎么治,0
那有什么办法嘛？,那有什么办法吗,1
胎记多少钱,胎记 多少钱？,1
血管瘤是什么样,什么样是血管瘤,1
水光针多久打一次？,水光针多久打一次啊,1
子宫切除对性生活有什么影响？,子宫切除了对性生活有影响吗,1
什么时候容易怀孕,什么时候容易怀孕,1
包皮割了有什么好处,割了包皮 有什么好处啊？,1
